Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500,B,101,"RESRCE&ENV WKSHP","",4,83.25,0.5,84,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500,W,201,"RESRCE&ENV WKSHP","Harris, Leila",9,88,1.66,90,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,500, ,OVERALL,"RESRCE&ENV WKSHP"," ",19,86.72,4.31,93,75,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,5
UBC,2013,W,RMES,501, ,101,"DVL ENVRN THOGHT","Robinson, John",22,85.14,2.85,90,80,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,2
