Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,SOWK,200, ,001,"INTR SOC WELFARE","Rivkin, Shelley",66,74.13,10.41,91,33,60,2,2,0,2,0,0,0,2,0,2,0,1,4,2,9,16,7,12,6,3
UBC,2013,W,SOWK,200, ,OVERALL,"INTR SOC WELFARE"," ",66,74.13,10.41,91,33,60,2,2,0,2,0,0,0,2,0,2,0,1,4,2,9,16,7,12,6,3
UBC,2013,W,SOWK,201, ,001,"INTR SOC WORK","Kruk, Edward Andrew",47,75.19,12.48,87,0,46,1,0,0,0,1,0,0,0,0,1,0,0,0,3,3,13,8,14,5,0
UBC,2013,W,SOWK,201, ,OVERALL,"INTR SOC WORK"," ",47,75.19,12.48,87,0,46,1,0,0,0,1,0,0,0,0,1,0,0,0,3,3,13,8,14,5,0
UBC,2013,W,SOWK,305, ,001,"SOWK PRACTICE I","Charles, Grant;Jones, Elizabeth;McNicoll, Paule",54,86.09,3.04,93,79,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,35,5
UBC,2013,W,SOWK,305, ,OVERALL,"SOWK PRACTICE I"," ",54,86.09,3.04,93,79,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,35,5
UBC,2013,W,SOWK,310, ,001,"INTERVIEWING SKL","Jones, Elizabeth",19,84.53,2.78,89,77,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0
UBC,2013,W,SOWK,310, ,002,"INTERVIEWING SKL","Allison, Kelly",20,84.15,2.25,88,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
UBC,2013,W,SOWK,310, ,003,"INTERVIEWING SKL","Medjuck, Melissa",15,82.2,4.83,88,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,4,0
UBC,2013,W,SOWK,310, ,OVERALL,"INTERVIEWING SKL"," ",54,83.74,3.4,89,68,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,28,23,0
UBC,2013,W,SOWK,315, ,001,"PRACTICUM I","",57,,,,,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,SOWK,315, ,OVERALL,"PRACTICUM I"," ",58,,,,,0,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,SOWK,316, ,001,"INT SEM IN SW TH","Nickel, Wayne",17,84.81,2.48,89,80,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0
UBC,2013,W,SOWK,316, ,002,"INT SEM IN SW TH","O'Neill, Brian",22,92.23,2.16,96,87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
UBC,2013,W,SOWK,316, ,003,"INT SEM IN SW TH","Oliver, Carolyn",18,85.83,3.68,90,75,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,3
UBC,2013,W,SOWK,316, ,OVERALL,"INT SEM IN SW TH"," ",58,88.04,4.35,96,75,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,20,24
UBC,2013,W,SOWK,320, ,99C,"INTR SOWK RESRCH","Marshall, Janet Vaughan",30,82.83,6.68,93,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,11,7,5
UBC,2013,W,SOWK,320, ,99D,"INTR SOWK RESRCH","Marshall, Janet Vaughan",28,81.81,5.9,95,68,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,11,6,2
UBC,2013,W,SOWK,320, ,OVERALL,"INTR SOWK RESRCH"," ",58,82.35,6.28,95,68,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,22,13,7
UBC,2013,W,SOWK,335, ,001,"SOC ANL SOWK","Clark, Natalie;O'Connor, Deborah;O'Neill, Brian;Stainton, Timothy;Tester, Frank",54,84.87,4.23,94,76,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,21,8
UBC,2013,W,SOWK,335, ,OVERALL,"SOC ANL SOWK"," ",54,84.87,4.23,94,76,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,21,8
UBC,2013,W,SOWK,337, ,002,"CULT&RACE SOWK","Dhebar, Meera;Quinn, Alyson",55,83.11,11.93,92,0,54,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,22,22,6
UBC,2013,W,SOWK,337, ,OVERALL,"CULT&RACE SOWK"," ",55,83.11,11.93,92,0,54,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,22,22,6
UBC,2013,W,SOWK,400, ,001,"CAN SOCI PLCY","Tester, Frank",45,86.16,4.35,91,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,26,10
UBC,2013,W,SOWK,400, ,OVERALL,"CAN SOCI PLCY"," ",45,86.16,4.35,91,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,26,10
