Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,WOOD,120, ,201,"INTR WD PR&FR MG","Cohen, David;Ellis, Simon",46,66.54,11.41,85,41,40,6,0,0,0,0,0,0,0,6,6,1,5,4,5,6,8,7,2,2,0
UBC,2013,W,WOOD,120, ,OVERALL,"INTR WD PR&FR MG"," ",46,66.54,11.41,85,41,40,6,0,0,0,0,0,0,0,6,6,1,5,4,5,6,8,7,2,2,0
UBC,2013,W,WOOD,244, ,001,"QUANT METH WOOD","Avramidis, Stavros",22,84.38,9.71,95,59,21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,5,1,10
UBC,2013,W,WOOD,244, ,OVERALL,"QUANT METH WOOD"," ",23,84.38,9.71,95,59,21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,5,1,10
UBC,2013,W,WOOD,280, ,101,"WOOD ANAT & ID","Ellis, Simon",30,67.23,12.97,84,25,28,2,0,0,0,0,0,1,0,1,2,1,3,4,4,2,5,4,5,0,0
UBC,2013,W,WOOD,280, ,OVERALL,"WOOD ANAT & ID"," ",30,67.23,12.97,84,25,28,2,0,0,0,0,0,1,0,1,2,1,3,4,4,2,5,4,5,0,0
UBC,2013,W,WOOD,282, ,201,"WOOD-PHY DRYG ","Avramidis, Stavros;Tannert, Thomas",25,57.04,10.19,77,27,23,2,0,0,0,0,0,1,1,0,2,6,7,5,2,1,1,1,0,0,0
UBC,2013,W,WOOD,282, ,OVERALL,"WOOD-PHY DRYG "," ",25,57.04,10.19,77,27,23,2,0,0,0,0,0,1,1,0,2,6,7,5,2,1,1,1,0,0,0
UBC,2013,W,WOOD,290, ,201,"SEC WOOD PRD MAN","Fuerst, Robert",29,71.19,13.33,90,31,25,2,0,0,2,0,0,0,1,1,2,1,0,1,6,2,4,3,4,3,1
UBC,2013,W,WOOD,290, ,OVERALL,"SEC WOOD PRD MAN"," ",29,71.19,13.33,90,31,25,2,0,0,2,0,0,0,1,1,2,1,0,1,6,2,4,3,4,3,1
UBC,2013,W,WOOD,292, ,201,"2-&SOLID C GRPHC","TBA",23,73.26,18.51,94,15,21,2,0,0,0,0,1,0,0,1,2,0,3,1,0,1,3,2,4,3,4
UBC,2013,W,WOOD,292, ,OVERALL,"2-&SOLID C GRPHC"," ",23,73.26,18.51,94,15,21,2,0,0,0,0,1,0,0,1,2,0,3,1,0,1,3,2,4,3,4
UBC,2013,W,WOOD,310, ,101,"CO-OP WORK PLCMT","Ellis, Simon",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,WOOD,310, ,OVERALL,"CO-OP WORK PLCMT"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,WOOD,311, ,101,"COOP PLACMENT II","Ellis, Simon",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,WOOD,311, ,OVERALL,"COOP PLACMENT II"," ",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,WOOD,330, ,101,"INDUSTRIAL ENG","Sowlati, Taraneh",42,79.86,9.15,97,58,42,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,8,7,8,7
UBC,2013,W,WOOD,330, ,OVERALL,"INDUSTRIAL ENG"," ",42,79.86,9.15,97,58,42,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,8,7,8,7
UBC,2013,W,WOOD,341, ,101,"PROBLEM SOLVING","Smith, Gregory",35,68.94,8.01,84,51,35,0,0,0,0,0,0,0,0,0,0,2,3,3,3,9,6,6,3,0,0
UBC,2013,W,WOOD,341, ,201,"PROBLEM SOLVING","Smith, Gregory",11,69.36,11.19,87,50,11,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,1,2,1,0
UBC,2013,W,WOOD,341, ,OVERALL,"PROBLEM SOLVING"," ",46,69.04,8.74,87,50,46,0,0,0,0,0,0,0,0,0,0,3,5,3,4,11,7,7,5,1,0
UBC,2013,W,WOOD,376, ,101,"MECHNCS WOOD PRD","Lam, Frank",25,70.71,16.3,93,22,22,2,1,0,0,0,0,1,0,1,2,0,3,2,2,1,3,5,2,1,3
UBC,2013,W,WOOD,376, ,OVERALL,"MECHNCS WOOD PRD"," ",26,70.71,16.3,93,22,22,2,2,0,0,0,0,1,0,1,2,0,3,2,2,1,3,5,2,1,3
UBC,2013,W,WOOD,386, ,101,"APPL MECH MATRLS","Lam, Frank",39,74.44,6.68,93,57,39,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,11,6,7,0,2
UBC,2013,W,WOOD,386, ,OVERALL,"APPL MECH MATRLS"," ",39,74.44,6.68,93,57,39,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,11,6,7,0,2
UBC,2013,W,WOOD,412, ,101,"COOP PLCMNT V","Ellis, Simon",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,WOOD,412, ,OVERALL,"COOP PLCMNT V"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,WOOD,440, ,101,"JOB COSTG&ENG EC","Sowlati, Taraneh",23,80,13.49,97,37,22,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,3,2,4,5,5
UBC,2013,W,WOOD,440, ,OVERALL,"JOB COSTG&ENG EC"," ",23,80,13.49,97,37,22,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,3,2,4,5,5
UBC,2013,W,WOOD,449,A,201,"DIR ST WD PR PRC","",16,82.5,17.17,92,20,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,4,5
UBC,2013,W,WOOD,449, ,OVERALL,"DIR ST WD PR PRC"," ",61,80.89,10.21,95,20,60,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,8,11,20,9,10
