Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,S,FNH ,200, ,921,"EXPLOR OUR FOOD","",113,72.48,15.69,98,21,106,4,1,0,0,0,0,3,1,0,4,11,8,5,6,7,9,18,17,12,13
UBC,2014,S,FNH ,200, ,942,"EXPLOR OUR FOOD","",105,77.78,17.2,99,0,99,3,2,0,0,1,2,0,0,0,3,5,3,7,3,5,5,11,13,18,29
UBC,2014,S,FNH ,200, ,98B,"EXPLOR OUR FOOD","",43,72,21.09,93,11,34,5,2,0,1,0,2,1,1,1,5,1,2,1,2,0,4,4,6,11,3
UBC,2014,S,FNH ,200, ,OVERALL,"EXPLOR OUR FOOD"," ",261,74.56,17.37,99,0,239,12,5,0,1,1,4,4,2,1,12,17,13,13,11,12,18,33,36,41,45
UBC,2014,S,FNH ,250, ,920,"NUTR CONC & CONT","",57,74.72,11.31,93,31,52,2,1,0,0,0,0,0,1,1,2,0,2,4,2,3,15,6,9,9,2
UBC,2014,S,FNH ,250, ,98A,"NUTR CONC & CONT","",41,77,11.68,91,50,40,0,1,0,0,0,0,0,0,0,0,3,2,3,0,4,1,2,13,9,3
UBC,2014,S,FNH ,250, ,OVERALL,"NUTR CONC & CONT"," ",98,75.69,11.46,93,31,92,2,2,0,0,0,0,0,1,1,2,3,4,7,2,7,16,8,22,18,5
UBC,2014,S,FNH ,330, ,951,"INTRO WINE SCIE","",80,71.39,9.65,90,53,66,0,1,0,0,0,0,0,0,0,0,3,7,5,6,12,8,9,10,5,1
UBC,2014,S,FNH ,330, ,OVERALL,"INTRO WINE SCIE"," ",81,71.39,9.65,90,53,66,0,2,0,0,0,0,0,0,0,0,3,7,5,6,12,8,9,10,5,1
UBC,2014,S,FNH ,355, ,921,"INTERNAT'L NUTRI","",189,77.95,8.84,95,50,186,0,2,0,0,0,0,0,0,0,0,3,5,5,10,13,27,39,36,37,11
UBC,2014,S,FNH ,355, ,OVERALL,"INTERNAT'L NUTRI"," ",189,77.95,8.84,95,50,186,0,2,0,0,0,0,0,0,0,0,3,5,5,10,13,27,39,36,37,11
UBC,2014,S,FNH ,381, ,921,"PRO DIET PRAC II","",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,FNH ,381, ,OVERALL,"PRO DIET PRAC II"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,FNH ,460, ,921,"INT NUT FLD STDY","",4,90.75,3.86,95,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2014,S,FNH ,460, ,OVERALL,"INT NUT FLD STDY"," ",4,90.75,3.86,95,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2014,S,FNH ,480, ,921,"PROF DIET PR III","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,FNH ,480, ,OVERALL,"PROF DIET PR III"," ",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,FNH ,482, ,921,"DIET INTRNSHP II","",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,FNH ,482, ,941,"DIET INTRNSHP II","",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,FNH ,482, ,OVERALL,"DIET INTRNSHP II"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
