Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,ARST,500, ,002,"INFO TECH&ARCHVS","",21,88.85,5.15,96,76,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,9
UBC,2014,W,ARST,500, ,OVERALL,"INFO TECH&ARCHVS"," ",21,88.85,5.15,96,76,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,9
UBC,2014,W,ARST,510, ,001,"ARCHIVAL DPLMTCS","Rogers, Corinne",28,84.04,4.73,93,75,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,10,3
UBC,2014,W,ARST,510, ,OVERALL,"ARCHIVAL DPLMTCS"," ",28,84.04,4.73,93,75,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,10,3
UBC,2014,W,ARST,515, ,001,"ARR/DESC ARCH","Douglas, Jennifer",30,84.59,1.68,87,82,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
UBC,2014,W,ARST,515, ,OVERALL,"ARR/DESC ARCH"," ",30,84.59,1.68,87,82,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
UBC,2014,W,ARST,516, ,001,"MGMT CURR RECRDS","Evans, Lois",29,79.18,5.34,91,70,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,10,2,1
UBC,2014,W,ARST,516, ,OVERALL,"MGMT CURR RECRDS"," ",29,79.18,5.34,91,70,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,10,2,1
UBC,2014,W,ARST,520, ,001,"SEL&ACQ ARCH DOC","Duranti, Luciana",29,83.71,7.34,96,60,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,6,11,5
UBC,2014,W,ARST,520, ,OVERALL,"SEL&ACQ ARCH DOC"," ",29,83.71,7.34,96,60,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,6,11,5
UBC,2014,W,ARST,540, ,002,"ARCH PUBLIC SERV","Douglas, Jennifer",21,83.24,2.26,87,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,5,0
UBC,2014,W,ARST,540, ,OVERALL,"ARCH PUBLIC SERV"," ",21,83.24,2.26,87,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,5,0
UBC,2014,W,ARST,545, ,002,"ADVANCD ARC DOCS","Douglas, Jennifer",14,83.5,2.31,86,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,0
UBC,2014,W,ARST,545, ,OVERALL,"ADVANCD ARC DOCS"," ",14,83.5,2.31,86,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,0
UBC,2014,W,ARST,550, ,001,"AUD&NON-TXT ARCH","Bushey, Jessica",16,83.5,2.28,88,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0
UBC,2014,W,ARST,550, ,OVERALL,"AUD&NON-TXT ARCH"," ",16,83.5,2.28,88,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0
UBC,2014,W,ARST,555, ,002,"PRESRV DIG RECDS","Duranti, Luciana",13,89,4.4,98,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
UBC,2014,W,ARST,555, ,OVERALL,"PRESRV DIG RECDS"," ",13,89,4.4,98,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
UBC,2014,W,ARST,560, ,002,"RCRDS&INFO GOVRN","",7,82.71,2.87,88,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
UBC,2014,W,ARST,560, ,OVERALL,"RCRDS&INFO GOVRN"," ",7,82.71,2.87,88,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
UBC,2014,W,ARST,565, ,001,"FOIP&PRIV RCRDS","",13,81.15,4.18,90,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,2,1
UBC,2014,W,ARST,565, ,OVERALL,"FOIP&PRIV RCRDS"," ",13,81.15,4.18,90,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,2,1
UBC,2014,W,ARST,570, ,OVERALL,"MANGMT INFO ORGS"," ",5,86.6,3.36,92,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2014,W,ARST,573, ,002,"ARCH SYS & PROF","Douglas, Jennifer",21,83.52,2.77,88,78,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0
UBC,2014,W,ARST,573, ,OVERALL,"ARCH SYS & PROF"," ",21,83.52,2.77,88,78,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0
UBC,2014,W,ARST,575,H,001,"TPCS MGMT RECRDS","Arias Hernandez, Richard",6,81.17,4.83,86,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0
UBC,2014,W,ARST,575, ,OVERALL,"TPCS MGMT RECRDS"," ",28,83.32,3.5,90,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,10,1
UBC,2014,W,ARST,575,J,002,"TPCS MGMT RECRDS","",5,82.8,2.95,86,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
UBC,2014,W,ARST,575, ,OVERALL,"TPCS MGMT RECRDS"," ",28,83.32,3.5,90,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,10,1
UBC,2014,W,ARST,575,K,001,"TPCS MGMT RECRDS","Douglas, Jennifer",16,83.88,2.58,88,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
UBC,2014,W,ARST,575, ,OVERALL,"TPCS MGMT RECRDS"," ",28,83.32,3.5,90,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,10,1
UBC,2014,W,ARST,575, ,OVERALL,"TPCS MGMT RECRDS"," ",28,83.32,3.5,90,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,10,1
