Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,ASIA,100, ,001,"INTR TRDTL ASIA","Toleno, Robban",125,69.46,15.94,97,12,110,9,3,1,2,0,3,1,1,4,9,7,10,9,12,14,11,16,9,13,9
UBC,2014,W,ASIA,100, ,OVERALL,"INTR TRDTL ASIA"," ",129,69.46,15.94,97,12,110,9,6,2,2,0,3,1,1,4,9,7,10,9,12,14,11,16,9,13,9
UBC,2014,W,ASIA,101, ,001,"INTR MODERN ASIA","Baker, Donald Leslie",154,68.56,13.5,88,0,133,10,9,2,0,1,2,0,2,5,10,4,9,13,21,17,21,25,14,9,0
UBC,2014,W,ASIA,101, ,OVERALL,"INTR MODERN ASIA"," ",164,68.56,13.5,88,0,133,10,18,3,0,1,2,0,2,5,10,4,9,13,21,17,21,25,14,9,0
UBC,2014,W,ASIA,222, ,001,"ENCOUNTERNG ASIA","Bryant, Kenneth;Burk, Stefania",42,70.2,9.68,93,53,41,0,1,0,0,0,0,0,0,0,0,3,2,4,8,8,4,1,9,1,1
UBC,2014,W,ASIA,222, ,OVERALL,"ENCOUNTERNG ASIA"," ",42,70.2,9.68,93,53,41,0,1,0,0,0,0,0,0,0,0,3,2,4,8,8,4,1,9,1,1
UBC,2014,W,ASIA,223, ,001,"WRITING ASIA","Bryant, Kenneth;Burk, Stefania",8,71,14.5,92,48,7,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1
UBC,2014,W,ASIA,223, ,OVERALL,"WRITING ASIA"," ",8,71,14.5,92,48,7,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1
UBC,2014,W,ASIA,250, ,001,"INTRO BUDDHISM","Main, Jessica",43,74.88,9.15,91,55,43,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,7,8,9,3,2
UBC,2014,W,ASIA,250, ,OVERALL,"INTRO BUDDHISM"," ",43,74.88,9.15,91,55,43,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,7,8,9,3,2
UBC,2014,W,ASIA,258, ,001,"RELIGION S ASIA","Sathaye, Adheesh",38,73.78,11.81,97,50,36,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,3,4,7,2,4
UBC,2014,W,ASIA,258, ,002,"RELIGION S ASIA","Main, Jessica;Murphy, Anne",83,71.28,17.14,95,5,75,6,1,0,0,1,1,2,0,2,6,5,4,3,5,8,9,13,15,7,6
UBC,2014,W,ASIA,258, ,OVERALL,"RELIGION S ASIA"," ",121,72.05,15.69,97,5,111,6,1,1,0,1,1,2,0,2,6,6,7,8,8,12,12,17,22,9,10
UBC,2014,W,ASIA,300, ,001,"WRTG&CULT E ASIA","Rusk, Bruce",50,72.93,14.71,91,0,43,1,5,0,0,1,0,0,0,0,1,1,4,2,4,1,5,11,9,5,1
UBC,2014,W,ASIA,300, ,OVERALL,"WRTG&CULT E ASIA"," ",50,72.93,14.71,91,0,43,1,5,0,0,1,0,0,0,0,1,1,4,2,4,1,5,11,9,5,1
UBC,2014,W,ASIA,305, ,001,"ASIAN HORR CINEM","Citizen, Robyn",70,77.89,15.05,96,0,63,3,1,0,0,1,0,0,0,2,3,0,1,3,4,8,6,2,14,13,12
UBC,2014,W,ASIA,305, ,OVERALL,"ASIAN HORR CINEM"," ",70,77.89,15.05,96,0,63,3,1,0,0,1,0,0,0,2,3,0,1,3,4,8,6,2,14,13,12
UBC,2014,W,ASIA,308, ,001,"MYTH RIT&EPIC ","Sathaye, Adheesh",95,71.34,16.72,93,6,85,5,4,0,0,2,1,0,1,1,5,5,5,5,9,10,7,12,14,10,8
UBC,2014,W,ASIA,308, ,OVERALL,"MYTH RIT&EPIC "," ",95,71.34,16.72,93,6,85,5,4,0,0,2,1,0,1,1,5,5,5,5,9,10,7,12,14,10,8
UBC,2014,W,ASIA,309, ,001,"S ASIANS BEYOND","Oberoi, Harjot Singh",45,76.8,14.13,85,0,42,2,1,0,0,1,0,0,1,0,2,0,0,2,0,0,4,4,31,1,0
UBC,2014,W,ASIA,309, ,OVERALL,"S ASIANS BEYOND"," ",45,76.8,14.13,85,0,42,2,1,0,0,1,0,0,1,0,2,0,0,2,0,0,4,4,31,1,0
UBC,2014,W,ASIA,314, ,001,"PREMODERN JAPAN","OKAWA, EIJI",45,78.73,12.42,94,19,40,1,2,0,0,0,1,0,0,0,1,0,1,0,0,5,6,5,13,4,6
UBC,2014,W,ASIA,314, ,OVERALL,"PREMODERN JAPAN"," ",45,78.73,12.42,94,19,40,1,2,0,0,0,1,0,0,0,1,0,1,0,0,5,6,5,13,4,6
UBC,2014,W,ASIA,315, ,002,"JAPN FDL TO MOD","Orihara, Minami",53,75.4,9.05,93,51,52,0,1,0,0,0,0,0,0,0,0,1,3,2,3,4,11,10,9,7,2
UBC,2014,W,ASIA,315, ,OVERALL,"JAPN FDL TO MOD"," ",53,75.4,9.05,93,51,52,0,1,0,0,0,0,0,0,0,0,1,3,2,3,4,11,10,9,7,2
UBC,2014,W,ASIA,316, ,001,"R&E JPN LIT FILM","Yi, Christina",52,71.88,15.73,86,0,50,2,0,0,0,2,0,0,0,0,2,0,1,1,7,5,11,13,9,3,0
UBC,2014,W,ASIA,316, ,OVERALL,"R&E JPN LIT FILM"," ",52,71.88,15.73,86,0,50,2,0,0,0,2,0,0,0,0,2,0,1,1,7,5,11,13,9,3,0
UBC,2014,W,ASIA,317, ,001,"RISE KOREAN CIVL","Park, Jeongeun",35,70.94,13.05,86,22,32,2,1,0,0,0,0,1,0,1,2,1,2,1,3,4,6,8,5,2,0
UBC,2014,W,ASIA,317, ,OVERALL,"RISE KOREAN CIVL"," ",35,70.94,13.05,86,22,32,2,1,0,0,0,0,1,0,1,2,1,2,1,3,4,6,8,5,2,0
