Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,EECE,210, ,101,"PRN SOFTWR DSGN","Gopalakrishnan, Sathish",217,76.12,12.61,96,20,207,7,2,0,1,0,0,2,2,3,7,7,6,11,12,14,29,32,48,29,19
UBC,2014,W,EECE,210, ,OVERALL,"PRN SOFTWR DSGN"," ",222,76.12,12.61,96,20,207,7,7,0,1,0,0,2,2,3,7,7,6,11,12,14,29,32,48,29,19
UBC,2014,W,EECE,230, ,201,"TPCS BIOMED ENG","Abolmaesumi, Purang",21,89.52,4.98,100,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15
UBC,2014,W,EECE,230, ,OVERALL,"TPCS BIOMED ENG"," ",21,89.52,4.98,100,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15
UBC,2014,W,EECE,251, ,101,"CIRCUIT ANLY I","Linares, Luis",110,72.73,17.39,98,3,99,9,2,0,0,1,0,1,6,1,9,4,7,5,10,8,8,6,22,13,16
UBC,2014,W,EECE,251, ,102,"CIRCUIT ANLY I","Agharebparast, Farshid",79,71.16,19.25,100,33,70,9,0,0,0,0,0,0,3,6,9,12,5,3,5,4,5,4,7,8,17
UBC,2014,W,EECE,251, ,201,"CIRCUIT ANLY I","Motavas, Saloome",121,77.12,14.66,100,33,117,2,1,0,1,0,0,0,2,0,2,16,1,4,2,8,9,8,26,15,28
UBC,2014,W,EECE,251, ,OVERALL,"CIRCUIT ANLY I"," ",316,74.03,17.04,100,3,286,20,9,0,1,1,0,1,11,7,20,32,13,12,17,20,22,18,55,36,61
UBC,2014,W,EECE,252, ,101,"LINEAR CIRCUITS","Mirabbasi, Shahriar",66,79.98,11.14,98,51,66,0,0,0,0,0,0,0,0,0,0,2,1,2,5,4,4,6,17,5,20
UBC,2014,W,EECE,252, ,OVERALL,"LINEAR CIRCUITS"," ",66,79.98,11.14,98,51,66,0,0,0,0,0,0,0,0,0,0,2,1,2,5,4,4,6,17,5,20
