Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,FREN,101, ,101,"BEGINNER FREN I","O'Brien, Juliet",31,75.79,16.36,97,21,28,1,2,0,0,0,0,1,0,0,1,1,1,4,0,3,2,4,4,3,6
UBC,2014,W,FREN,101, ,102,"BEGINNER FREN I","O'Brien, Juliet",31,78.11,10.16,91,54,28,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,3,7,4,7,2
UBC,2014,W,FREN,101, ,103,"BEGINNER FREN I","Phan, Chantal",32,67.66,17.05,92,24,24,5,2,0,0,0,0,1,2,2,5,1,2,0,4,2,2,5,4,3,1
UBC,2014,W,FREN,101, ,104,"BEGINNER FREN I","",33,79.47,16.05,97,31,30,2,1,0,0,0,0,0,1,1,2,0,1,0,4,1,1,4,5,4,10
UBC,2014,W,FREN,101, ,105,"BEGINNER FREN I","O'Brien, Juliet",32,76.16,10.74,92,50,31,0,0,1,0,0,0,0,0,0,0,1,1,2,3,3,3,5,6,4,3
UBC,2014,W,FREN,101, ,106,"BEGINNER FREN I","Bascou Vallarino, Sylvia",36,74.66,14.19,95,39,33,2,0,0,0,0,0,0,1,1,2,2,1,3,0,4,5,4,3,8,3
UBC,2014,W,FREN,101, ,107,"BEGINNER FREN I","O'Brien, Juliet",34,78.29,10.11,93,55,34,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,4,7,6,5,5
UBC,2014,W,FREN,101, ,108,"BEGINNER FREN I","",30,77.45,7.07,87,60,29,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,5,7,0
UBC,2014,W,FREN,101, ,109,"BEGINNER FREN I","",32,77.04,9.83,92,51,27,0,2,2,0,0,0,0,0,0,0,1,1,1,1,3,2,5,6,6,1
UBC,2014,W,FREN,101, ,110,"BEGINNER FREN I","O'Brien, Juliet",33,77.06,14.76,93,25,29,2,1,0,1,0,0,1,0,1,2,0,1,1,2,1,2,6,7,4,5
