Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,MRNE,400,A,611,"DIRECTED STUDIES","",4,78.5,4.73,85,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
UBC,2014,W,MRNE,400, ,OVERALL,"DIRECTED STUDIES"," ",4,78.5,4.73,85,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
UBC,2014,W,MRNE,400, ,OVERALL,"DIRECTED STUDIES"," ",4,78.5,4.73,85,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
UBC,2014,W,MRNE,415, ,610,"STR&FNC MRNE ANL","",4,83.5,5.45,91,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
UBC,2014,W,MRNE,415, ,OVERALL,"STR&FNC MRNE ANL"," ",4,83.5,5.45,91,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
UBC,2014,W,MRNE,425, ,610,"ECO ADP SEAWEEDS","",4,86.75,2.06,89,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2014,W,MRNE,425, ,OVERALL,"ECO ADP SEAWEEDS"," ",4,86.75,2.06,89,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2014,W,MRNE,437, ,610,"POP&COMM EC MR O","",4,80.5,2.38,83,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
UBC,2014,W,MRNE,437, ,OVERALL,"POP&COMM EC MR O"," ",4,80.5,2.38,83,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
UBC,2014,W,MRNE,480, ,610,"SEM&PPRS MRNE SC","",4,85,1.63,87,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2014,W,MRNE,480, ,OVERALL,"SEM&PPRS MRNE SC"," ",4,85,1.63,87,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
