Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,VANT,140, ,OVERALL,"CONTENT LANG TUT"," ",184,59.26,14.25,89,3,130,31,23,0,0,1,1,1,11,17,31,21,20,23,20,22,7,4,10,3,0
UBC,2014,W,VANT,140,C,V01,"CONTENT LANG TUT","Walsh Marr, Jennifer",20,54.88,10.24,70,32,13,3,4,0,0,0,0,0,1,2,3,4,3,3,2,1,0,0,0,0,0
UBC,2014,W,VANT,140,C,V02,"CONTENT LANG TUT","Walsh Marr, Jennifer",16,60.4,11.22,72,31,13,2,1,0,0,0,0,0,1,1,2,1,3,2,1,5,1,0,0,0,0
UBC,2014,W,VANT,140,C,V03,"CONTENT LANG TUT","Walsh Marr, Jennifer",24,58.5,12.89,82,36,19,5,0,0,0,0,0,0,3,2,5,4,3,2,5,1,2,0,2,0,0
UBC,2014,W,VANT,140,C,V04,"CONTENT LANG TUT","Walsh Marr, Jennifer",16,56.77,19.57,77,3,10,3,3,0,0,1,0,0,0,2,3,1,2,1,3,0,1,2,0,0,0
UBC,2014,W,VANT,140, ,OVERALL,"CONTENT LANG TUT"," ",184,59.26,14.25,89,3,130,31,23,0,0,1,1,1,11,17,31,21,20,23,20,22,7,4,10,3,0
UBC,2014,W,VANT,140, ,OVERALL,"CONTENT LANG TUT"," ",184,59.26,14.25,89,3,130,31,23,0,0,1,1,1,11,17,31,21,20,23,20,22,7,4,10,3,0
UBC,2014,W,VANT,140,E,V01,"CONTENT LANG TUT","",14,55,11.31,70,35,9,3,2,0,0,0,0,0,1,2,3,4,1,0,1,3,0,0,0,0,0
UBC,2014,W,VANT,140,E,V02,"CONTENT LANG TUT","Gradin, Christopher",14,66.27,11.69,84,51,11,0,3,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,3,0,0
UBC,2014,W,VANT,140,E,V03,"CONTENT LANG TUT","",25,67.24,11.45,85,46,19,2,4,0,0,0,0,0,0,2,2,0,3,4,2,4,0,1,4,1,0
UBC,2014,W,VANT,140,E,V04,"CONTENT LANG TUT","",22,65.94,12.45,89,41,15,3,4,0,0,0,0,0,0,3,3,0,0,4,2,4,3,0,0,2,0
UBC,2014,W,VANT,140,E,V09,"CONTENT LANG TUT","Shaw, Amber",11,64.2,9.9,83,47,9,1,1,0,0,0,0,0,0,1,1,0,2,3,1,1,0,1,1,0,0
UBC,2014,W,VANT,140,E,V10,"CONTENT LANG TUT","",10,52.9,11.62,70,30,8,2,0,0,0,0,0,0,1,1,2,5,1,0,1,1,0,0,0,0,0
UBC,2014,W,VANT,140, ,OVERALL,"CONTENT LANG TUT"," ",184,59.26,14.25,89,3,130,31,23,0,0,1,1,1,11,17,31,21,20,23,20,22,7,4,10,3,0
UBC,2014,W,VANT,148, ,V02,"VANT COL PROJECT","Rieger, Georg",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,VANT,148, ,V95,"VANT COL PROJECT","Lam, Mark;Landry, Dana;Pickren, Graham",21,65.52,12.45,88,36,18,3,0,0,0,0,0,0,1,2,3,0,2,1,6,3,2,1,2,1,0
UBC,2014,W,VANT,148, ,V96,"VANT COL PROJECT","Lam, Mark;Peterson, Jenny;Pickren, Graham;Rea, Jaclyn",21,63.67,18.03,81,12,18,3,0,0,0,0,1,1,0,1,3,0,1,2,6,1,2,4,2,0,0
UBC,2014,W,VANT,148, ,V97,"VANT COL PROJECT","Barnes, Steven;Lam, Mark;Pickren, Graham",21,66.37,13.21,77,18,18,1,2,0,0,0,1,0,0,0,1,1,1,1,2,6,6,1,0,0,0
UBC,2014,W,VANT,148, ,V98,"VANT COL PROJECT","Lam, Mark;McPhee, Siobhan;Pickren, Graham",18,62.07,20.67,75,7,13,2,3,0,0,1,1,0,0,0,2,0,0,1,4,2,6,0,0,0,0
UBC,2014,W,VANT,148, ,VGP,"VANT COL PROJECT","",103,71.98,11.25,91,31,86,2,15,0,0,0,0,0,2,0,2,4,4,7,7,13,14,15,12,9,1
UBC,2014,W,VANT,148, ,OVERALL,"VANT COL PROJECT"," ",199,68.53,14.05,91,7,153,11,35,0,0,1,3,1,3,3,11,5,8,12,25,25,30,21,16,10,1
