Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482,E,001,"SPECIAL TOPICS","Fujita, Mari;Satterfield, Blair",9,83.11,4.81,90,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482,F,001,"SPECIAL TOPICS","Perlmutter, MIchael",4,79,8.76,91,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482,H,001,"SPECIAL TOPICS","Satterfield, Blair",13,75.75,5.58,88,70,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,1,0
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
UBC,2015,S,ENDS,482, ,OVERALL,"SPECIAL TOPICS"," ",40,80.77,6.27,91,70,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,12,8,4
