Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,S,ENGL,100, ,921,"READ, WRITE LIT","Roberts, Duff",19,71.19,15.75,85,18,15,1,3,0,0,0,1,0,0,0,1,0,0,0,3,1,3,3,3,2,0
UBC,2015,S,ENGL,100, ,OVERALL,"READ, WRITE LIT"," ",19,71.19,15.75,85,18,15,1,3,0,0,0,1,0,0,0,1,0,0,0,3,1,3,3,3,2,0
UBC,2015,S,ENGL,110, ,JL1,"INTRO LITERATURE","James, Suzanne",38,71.47,4.4,80,64,38,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,11,9,1,0,0
UBC,2015,S,ENGL,110, ,JL2,"INTRO LITERATURE","Roberts, Duff",34,71.76,7.99,82,53,34,0,0,0,0,0,0,0,0,0,0,1,1,4,2,7,5,5,9,0,0
UBC,2015,S,ENGL,110, ,JL3,"INTRO LITERATURE","Fox, Lorcan Francis",37,76.24,4.02,83,68,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,16,9,0,0
UBC,2015,S,ENGL,110, ,MA1,"INTRO LITERATURE","Stewart, Fenn",35,73.03,5.18,81,58,35,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,12,6,6,0,0
UBC,2015,S,ENGL,110, ,MA2,"INTRO LITERATURE","Morgan, George",33,74.58,7.14,90,55,33,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,12,4,4,3,1
UBC,2015,S,ENGL,110, ,MA3,"INTRO LITERATURE","Saunders, Mary Ann",34,72.27,8.92,87,42,32,1,1,0,0,0,0,0,0,1,1,0,3,1,1,6,7,9,4,1,0
UBC,2015,S,ENGL,110, ,MA4,"INTRO LITERATURE","HART, ALEXANDER",34,70.45,8.01,91,46,32,1,1,0,0,0,0,0,0,1,1,0,1,3,4,8,7,6,2,0,1
UBC,2015,S,ENGL,110, ,MA5,"INTRO LITERATURE","Endo, Paul",30,70,7.49,82,45,29,1,0,0,0,0,0,0,0,1,1,0,1,3,3,9,8,2,3,0,0
UBC,2015,S,ENGL,110, ,OVERALL,"INTRO LITERATURE"," ",275,72.54,6.97,91,42,270,3,2,0,0,0,0,0,0,3,3,1,8,12,21,58,69,57,38,4,2
UBC,2015,S,ENGL,112, ,98A,"UNIVRSTY WRITING","James, Suzanne",29,67.34,17.89,85,0,27,2,0,0,0,1,1,0,0,0,2,0,2,2,2,5,10,0,5,1,0
UBC,2015,S,ENGL,112, ,JL1,"UNIVRSTY WRITING","Trainor, Kimberley",34,74.56,7.57,84,43,33,1,0,0,0,0,0,0,0,1,1,0,0,1,1,4,9,11,7,0,0
UBC,2015,S,ENGL,112, ,JL2,"UNIVRSTY WRITING","Jerome, Gillian",30,77.13,4.17,84,69,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,10,0,0
UBC,2015,S,ENGL,112, ,JL3,"UNIVRSTY WRITING","Parry, Sarah",31,70.76,7.92,85,51,29,0,1,0,1,0,0,0,0,0,0,1,1,3,2,7,7,4,3,1,0
UBC,2015,S,ENGL,112, ,MA1,"UNIVRSTY WRITING","Biermann, Wilhelmina Georgina",32,76.03,6.78,88,63,32,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,6,6,7,3,0
