Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,S,VANT,140,A,V01,"CONTENT LANG TUT","Shaw, Amber",19,62.11,10.24,85,39,17,2,0,0,0,0,0,0,1,1,2,1,3,5,4,0,3,0,0,1,0
UBC,2015,S,VANT,140,A,V02,"CONTENT LANG TUT","Leveridge, Aubrey",18,61.56,17.12,77,5,16,2,0,0,0,1,0,0,1,0,2,1,2,1,3,6,1,2,0,0,0
UBC,2015,S,VANT,140,A,V03,"CONTENT LANG TUT","Johnson, Kayli",20,61.2,8.4,77,47,18,2,0,0,0,0,0,0,0,2,2,1,6,4,2,2,2,1,0,0,0
UBC,2015,S,VANT,140,A,V06,"CONTENT LANG TUT","Leveridge, Aubrey",5,36,19.54,53,11,2,2,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0
UBC,2015,S,VANT,140,A,V09,"CONTENT LANG TUT","Gradin, Christopher",17,56.71,15.28,74,4,15,2,0,0,0,1,0,0,0,1,2,3,2,5,4,0,1,0,0,0,0
UBC,2015,S,VANT,140, ,OVERALL,"CONTENT LANG TUT"," ",81,59.28,14.11,85,4,70,10,1,0,0,2,1,0,3,4,10,8,14,15,14,8,7,3,0,1,0
UBC,2015,S,VANT,149, ,V02,"RESEARCH PROJECT","Rieger, Georg",14,74.58,8.06,83,63,12,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,3,4,0,0
UBC,2015,S,VANT,149, ,V03,"RESEARCH PROJECT","Gilley, Brett",12,70.33,24.89,90,0,11,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,2,1,2,2
UBC,2015,S,VANT,149, ,V04,"RESEARCH PROJECT","Allen, Meghan",16,78.38,5.56,86,64,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,2,0
UBC,2015,S,VANT,149, ,V05,"RESEARCH PROJECT","Lekhi, Priya",21,74.86,8.31,85,58,21,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,1,9,1,0
UBC,2015,S,VANT,149, ,V06,"RESEARCH PROJECT","Leung, Fok-Shuen",16,74.81,14,89,50,16,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,5,4,0
UBC,2015,S,VANT,149, ,V96,"RESEARCH PROJECT","Rea, Jaclyn",24,66.25,15.92,83,22,21,3,0,0,0,0,0,2,0,1,3,0,1,4,1,3,4,6,2,0,0
UBC,2015,S,VANT,149, ,V97,"RESEARCH PROJECT","Rea, Jaclyn",22,65.5,7.39,80,48,21,1,0,0,0,0,0,0,0,1,1,0,2,5,7,2,3,1,1,0,0
UBC,2015,S,VANT,149, ,V99,"RESEARCH PROJECT","Landry, Dana",27,52.26,25.7,85,0,20,7,0,0,0,4,0,2,1,0,7,1,3,5,4,2,3,0,0,2,0
UBC,2015,S,VANT,149, ,OVERALL,"RESEARCH PROJECT"," ",152,68.03,17.84,90,0,138,12,0,0,2,5,0,4,1,2,12,3,9,21,18,13,14,18,29,11,2
