Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,CAPS,200, ,001,"BIOM RSRCH SKILL","Moore, Edwin D;Osborne, Salma;Roskelley, Calvin;Yule, Heather",7,84.71,5.06,90,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2
UBC,2015,W,CAPS,200, ,OVERALL,"BIOM RSRCH SKILL"," ",7,84.71,5.06,90,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2
UBC,2015,W,CAPS,301, ,01D,"HUMAN PHYSIOLOGY","Kwok, Yin Nam Kenny",316,69.65,15.21,97,0,282,29,5,0,0,1,0,0,3,25,29,24,30,30,23,30,29,24,28,29,35
UBC,2015,W,CAPS,301, ,OVERALL,"HUMAN PHYSIOLOGY"," ",316,69.65,15.21,97,0,282,29,5,0,0,1,0,0,3,25,29,24,30,30,23,30,29,24,28,29,35
UBC,2015,W,CAPS,303, ,001,"HNRS HUMAN PHYL","Baimbridge, Kenneth;Clee, Susanne Michelle;Courneya, Carol-Ann;Haas, Kurt;Horne, Andrew;Kehl, Steven;Kwok, Yin Nam Kenny;Mason, Barry;Moukhles, Hakima;Osborne, Salma;Tanentzapf, Guy",21,88.86,5.92,97,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11
UBC,2015,W,CAPS,303, ,OVERALL,"HNRS HUMAN PHYL"," ",21,88.86,5.92,97,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11
UBC,2015,W,CAPS,390, ,001,"INTR MCR HUM ANT","Kopp, Janel;Loewen, Christopher;Moukhles, Hakima;O'Connor, Timothy;Roskelley, Calvin;Tanentzapf, Guy;Viau, Victor",376,74.61,14.32,100,32,364,6,6,0,0,0,0,0,2,4,6,24,21,38,37,38,32,26,38,35,75
UBC,2015,W,CAPS,390, ,OVERALL,"INTR MCR HUM ANT"," ",376,74.61,14.32,100,32,364,6,6,0,0,0,0,0,2,4,6,24,21,38,37,38,32,26,38,35,75
UBC,2015,W,CAPS,391, ,001,"INTR GRS HUM ANT","Alimohammadi, Majid",442,69.71,14.15,97,9,402,29,10,0,0,2,1,2,6,18,29,34,37,38,33,39,48,58,56,39,20
UBC,2015,W,CAPS,391, ,OVERALL,"INTR GRS HUM ANT"," ",442,69.71,14.15,97,9,402,29,10,0,0,2,1,2,6,18,29,34,37,38,33,39,48,58,56,39,20
UBC,2015,W,CAPS,399, ,001,"COOP WORK II","Osborne, Salma",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,CAPS,399, ,OVERALL,"COOP WORK II"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,CAPS,421, ,001,"ADV CEL&MOL PHYS","Nabi, Ivan Robert;Underhill, Tully Michael",34,86.56,9.58,94,40,33,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,9,17
UBC,2015,W,CAPS,421, ,OVERALL,"ADV CEL&MOL PHYS"," ",34,86.56,9.58,94,40,33,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,3,9,17
UBC,2015,W,CAPS,422, ,001,"CARDIO&RESP PHYL","Courneya, Carol-Ann;Kehl, Steven;Moore, Edwin D;Osborne, Salma",25,86.84,6.93,96,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8,10
UBC,2015,W,CAPS,422, ,OVERALL,"CARDIO&RESP PHYL"," ",25,86.84,6.93,96,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8,10
UBC,2015,W,CAPS,423, ,001,"RENL&GASTRO PHYL","Clee, Susanne Michelle;Kieffer, Tim;Kwok, Yin Nam Kenny;Lynn, Francis",23,84.91,6.08,92,70,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,10,4
