Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,COEC,126, ,001,"DATA DESC DISPL","SUN, XIA0NON",20,74.15,6.86,88,60,20,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,3,4,1,0
UBC,2015,W,COEC,126, ,OVERALL,"DATA DESC DISPL"," ",20,74.15,6.86,88,60,20,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,3,4,1,0
UBC,2015,W,COEC,293, ,001,"FINANCIAL ACCOUN","Chung, Tran Khue",77,75.61,9.61,94,47,75,1,1,0,0,0,0,0,0,1,1,1,3,3,5,11,10,10,18,9,5
UBC,2015,W,COEC,293, ,002,"FINANCIAL ACCOUN","Chung, Tran Khue",83,74.29,16.86,98,0,80,3,0,0,0,1,1,1,0,0,3,3,3,5,6,9,13,0,14,14,13
UBC,2015,W,COEC,293, ,OVERALL,"FINANCIAL ACCOUN"," ",160,74.92,13.85,98,0,155,4,1,0,0,1,1,1,0,1,4,4,6,8,11,20,23,10,32,23,18
UBC,2015,W,COEC,298, ,001,"INTRO FINANCE","Degraaf, Darren",45,82.77,6.13,93,69,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,12,17,4
UBC,2015,W,COEC,298, ,002,"INTRO FINANCE","Degraaf, Darren",36,80.64,6.53,91,55,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,17,7,1
UBC,2015,W,COEC,298, ,OVERALL,"INTRO FINANCE"," ",81,81.81,6.36,93,55,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,8,10,29,24,5
UBC,2015,W,COEC,371, ,001,"INVEST THEORY","Skoulakis, Georgios",45,79.77,9.38,96,60,44,0,1,0,0,0,0,0,0,0,0,0,0,3,3,5,2,7,10,6,8
UBC,2015,W,COEC,371, ,002,"INVEST THEORY","Skoulakis, Georgios",36,77.61,9.28,90,54,36,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,4,4,10,8,1
UBC,2015,W,COEC,371, ,OVERALL,"INVEST THEORY"," ",81,78.8,9.34,96,54,80,0,1,0,0,0,0,0,0,0,0,1,1,3,7,8,6,11,20,14,9
UBC,2015,W,COEC,394, ,001,"GOVT & BUSINESS","Minns, Steven",45,77.25,7.31,91,64,44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,3,8,11,3,5
UBC,2015,W,COEC,394, ,002,"GOVT & BUSINESS","Minns, Steven",36,76.11,7.08,91,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,8,8,3,2
UBC,2015,W,COEC,394, ,OVERALL,"GOVT & BUSINESS"," ",81,76.74,7.19,91,64,80,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,6,16,19,6,7
