Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,EDCP,210, ,301,"MUSIC EDUCATION","Lee, Karen",25,86.44,7.21,100,68,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,2,10
UBC,2015,W,EDCP,210, ,OVERALL,"MUSIC EDUCATION"," ",25,86.44,7.21,100,68,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,2,10
UBC,2015,W,EDCP,301, ,101,"ART ELEM CRC&PED","de Cosson, Alexander",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,102,"ART ELEM CRC&PED","Shields, Alison",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,104,"ART ELEM CRC&PED","de Cosson, Alexander",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,105,"ART ELEM CRC&PED","Berard, Marie-France",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,107,"ART ELEM CRC&PED","MacLennan, Nancy",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,108,"ART ELEM CRC&PED","de Cosson, Alexander",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,109,"ART ELEM CRC&PED","Shields, Alison",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,110,"ART ELEM CRC&PED","Berard, Marie-France",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,640,"ART ELEM CRC&PED","Burns, Geoffrey",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301, ,OVERALL,"ART ELEM CRC&PED"," ",283,,,,,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,302,A,301,"ART SEC CRC&PED","Han, Hsiao-Cheng",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,302, ,OVERALL,"ART SEC CRC&PED"," ",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,303, ,001,"CERAMICS: ART ED","de Cosson, Alexander",20,89.9,6.72,97,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,12
UBC,2015,W,EDCP,303, ,OVERALL,"CERAMICS: ART ED"," ",20,89.9,6.72,97,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,12
UBC,2015,W,EDCP,304, ,001,"TEXTILES: ART ED","Jordan, Nane",23,86.7,3.3,93,81,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6
UBC,2015,W,EDCP,304, ,OVERALL,"TEXTILES: ART ED"," ",23,86.7,3.3,93,81,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6
UBC,2015,W,EDCP,305, ,301,"DIGTL MED: INTRO","Bakan, Daniel",20,85.7,3.71,92,79,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,4
UBC,2015,W,EDCP,305, ,OVERALL,"DIGTL MED: INTRO"," ",20,85.7,3.71,92,79,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,4
UBC,2015,W,EDCP,308, ,101,"MUS ELEM CRC&PED","Ryu, Jee Yeon",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,308, ,102,"MUS ELEM CRC&PED","Anderson, Robin",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,308, ,104,"MUS ELEM CRC&PED","Anderson, Robin",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,308, ,105,"MUS ELEM CRC&PED","Lamonde, Anne-Marie",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,308, ,107,"MUS ELEM CRC&PED","Anderson, Robin",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,308, ,108,"MUS ELEM CRC&PED","Ryu, Jee Yeon",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
