Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,ELEC,201, ,101,"CIRCUIT ANLYS 1","Linares, Luis",91,72.6,19.05,100,6,78,9,1,0,3,1,0,2,3,3,9,5,4,7,2,6,6,9,15,7,17
UBC,2015,W,ELEC,201, ,102,"CIRCUIT ANLYS 1","Calvino-Fraga, Jesus",89,67.89,20.13,100,2,74,13,0,0,2,1,0,1,4,7,13,12,3,6,11,5,6,2,7,7,15
UBC,2015,W,ELEC,201, ,201,"CIRCUIT ANLYS 1","Motavas, Saloome",135,73.28,14.02,100,21,127,3,0,0,5,0,0,1,1,1,3,11,10,5,8,19,15,13,17,13,16
UBC,2015,W,ELEC,201, ,OVERALL,"CIRCUIT ANLYS 1"," ",315,71.54,17.53,100,2,279,25,1,0,10,2,0,4,8,11,25,28,17,18,21,30,27,24,39,27,48
UBC,2015,W,ELEC,202, ,101,"CIRCUIT ANLYS 2","Linares, Luis",37,65.67,17.72,100,37,31,5,0,0,1,0,0,0,1,4,5,7,3,3,5,3,0,2,0,2,6
UBC,2015,W,ELEC,202, ,201,"CIRCUIT ANLYS 2","Linares, Luis",79,74.27,16.99,100,36,72,5,2,0,0,0,0,0,1,4,5,7,8,4,3,6,7,8,8,2,19
UBC,2015,W,ELEC,202, ,202,"CIRCUIT ANLYS 2","Yan, Joseph",71,65.21,17.2,100,17,61,9,0,0,1,0,1,2,1,5,9,6,7,13,5,9,3,4,3,3,8
UBC,2015,W,ELEC,202, ,OVERALL,"CIRCUIT ANLYS 2"," ",189,69.11,17.68,100,17,164,19,4,0,2,0,1,2,3,13,19,20,18,20,13,18,10,14,11,7,33
UBC,2015,W,ELEC,203, ,101,"BSC CIRC ANALY","Mallick, Shankhanaad",53,75.02,14.4,96,26,52,1,0,0,0,0,0,1,0,0,1,5,1,4,2,4,5,7,9,8,7
UBC,2015,W,ELEC,203, ,OVERALL,"BSC CIRC ANALY"," ",53,75.02,14.4,96,26,52,1,0,0,0,0,0,1,0,0,1,5,1,4,2,4,5,7,9,8,7
UBC,2015,W,ELEC,204, ,101,"LINEAR CIRCUITS","Motavas, Saloome",113,82.12,13.94,100,34,110,2,1,0,0,0,0,0,2,0,2,2,4,5,3,9,6,5,16,12,48
UBC,2015,W,ELEC,204, ,OVERALL,"LINEAR CIRCUITS"," ",114,82.12,13.94,100,34,110,2,2,0,0,0,0,0,2,0,2,2,4,5,3,9,6,5,16,12,48
UBC,2015,W,ELEC,205, ,L1A,"ELECTRONICS LAB","Motavas, Saloome",28,93.93,7.31,99,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,22
