Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,EOSC,110, ,101,"THE SOLID EARTH","Porritt, Lucy",188,73.15,12.53,97,2,181,3,4,0,0,1,1,0,0,1,3,3,12,15,18,22,18,26,30,25,12
UBC,2015,W,EOSC,110, ,201,"THE SOLID EARTH","Porritt, Lucy;Sutherland, Stuart",214,74.75,12.35,95,5,207,5,2,0,0,1,0,0,1,3,5,3,9,19,22,26,22,21,34,27,24
UBC,2015,W,EOSC,110, ,V01,"THE SOLID EARTH","Gilley, Brett",18,78.76,7.43,90,65,17,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,4,5,2,2
UBC,2015,W,EOSC,110, ,OVERALL,"THE SOLID EARTH"," ",420,74.21,12.31,97,2,405,8,6,0,1,2,1,0,1,4,8,6,21,34,42,49,41,51,69,54,38
UBC,2015,W,EOSC,111, ,L1A,"LAB EXPL EARTH","",23,82.78,9.87,92,51,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,13,3
UBC,2015,W,EOSC,111, ,L1B,"LAB EXPL EARTH","",22,83.73,8.32,93,62,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,9,5
UBC,2015,W,EOSC,111, ,L1C,"LAB EXPL EARTH","",24,85.23,6.21,94,70,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,9,6
UBC,2015,W,EOSC,111, ,L1E,"LAB EXPL EARTH","",20,79.61,11.62,95,50,18,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3,7,2
UBC,2015,W,EOSC,111, ,L1F,"LAB EXPL EARTH","",26,81.38,12.81,94,30,23,1,2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,5,9,4
UBC,2015,W,EOSC,111, ,L2B,"LAB EXPL EARTH","",12,79.25,15.83,94,38,11,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,2,0,5
UBC,2015,W,EOSC,111, ,L2C,"LAB EXPL EARTH","",20,82.55,10.36,94,57,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,2,6,6
UBC,2015,W,EOSC,111, ,L2D,"LAB EXPL EARTH","",29,84.72,7,96,60,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,10,6
UBC,2015,W,EOSC,111, ,L2F,"LAB EXPL EARTH","",23,84.26,10.6,98,57,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,6,8
UBC,2015,W,EOSC,111, ,L2H,"LAB EXPL EARTH","",27,85.07,8.78,93,54,27,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,6,6,11
UBC,2015,W,EOSC,111, ,OVERALL,"LAB EXPL EARTH"," ",226,83.19,10,98,30,218,2,6,0,0,0,0,0,2,0,2,3,3,4,5,7,9,19,37,75,56
UBC,2015,W,EOSC,112, ,101,"FLUID EARTH","Block, Stephanie;Harris, Sara",321,77.11,13.57,98,14,301,11,8,1,0,0,1,0,2,8,11,7,14,16,19,28,29,23,62,52,51
UBC,2015,W,EOSC,112, ,201,"FLUID EARTH","Francois, Roger",281,74.19,17.36,100,14,253,22,6,0,0,0,1,1,11,9,22,23,12,14,14,19,31,8,45,31,56
UBC,2015,W,EOSC,112, ,OVERALL,"FLUID EARTH"," ",602,75.74,15.52,100,14,554,33,14,1,0,0,2,1,13,17,33,30,26,30,33,47,60,31,107,83,107
UBC,2015,W,EOSC,114, ,101,"CATASTROPH EARTH","Gilley, Brett;Lipsen, Michael;Porritt, Lucy;Stull, Roland;Ver, Leah May",341,74.33,11.05,97,39,329,8,2,0,0,0,0,0,1,7,8,5,15,25,30,33,38,49,63,48,23
UBC,2015,W,EOSC,114, ,102,"CATASTROPH EARTH","Gilley, Brett;Lipsen, Michael;Porritt, Lucy;Stull, Roland;Ver, Leah May",314,73.12,11.61,97,0,305,4,3,0,0,1,1,0,1,1,4,7,17,24,33,29,42,50,49,42,12
