Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,FMED,421, ,001,"BLOOD&LYMPHATICS","",290,,,,,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,421, ,002,"BLOOD&LYMPHATICS","",49,,,,,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,421, ,OVERALL,"BLOOD&LYMPHATICS"," ",341,,,,,0,0,1,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,422, ,001,"INTEGUMENT","",290,,,,,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,422, ,002,"INTEGUMENT","",48,,,,,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,422, ,SUP,"INTEGUMENT","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,422, ,OVERALL,"INTEGUMENT"," ",342,,,,,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,423, ,001,"MUSCLSK&LOCOMOTR","",290,,,,,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,423, ,002,"MUSCLSK&LOCOMOTR","",49,,,,,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,423, ,OVERALL,"MUSCLSK&LOCOMOTR"," ",340,,,,,0,0,1,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,424, ,001,"GI/NUTRITION","",290,,,,,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,424, ,002,"GI/NUTRITION","",49,,,,,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,424, ,OVERALL,"GI/NUTRITION"," ",340,,,,,0,0,1,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,425, ,001,"ENDOCRINE&METABL","",290,,,,,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,425, ,002,"ENDOCRINE&METABL","",49,,,,,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,425, ,OVERALL,"ENDOCRINE&METABL"," ",340,,,,,0,0,1,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,426, ,001,"BRAIN&BEHAVIOUR","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,426, ,002,"BRAIN&BEHAVIOUR","",48,,,,,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,426, ,OVERALL,"BRAIN&BEHAVIOUR"," ",339,,,,,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,427, ,001,"Reproduction","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,427, ,OVERALL,"Reproduction"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,428, ,001,"NUTR, GROWTH&DEV","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,428, ,002,"NUTR, GROWTH&DEV","",48,,,,,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FMED,428, ,OVERALL,"NUTR, GROWTH&DEV"," ",336,,,,,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
