Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,INDE,420, ,001,"CLIN SKLS SYS II","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,420, ,OVERALL,"CLIN SKLS SYS II"," ",289,,,,,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,440, ,001,"SENIOR CLERKSHIP","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,440, ,OVERALL,"SENIOR CLERKSHIP"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,441, ,001,"SENIOR CLERKSHIP","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,441, ,OVERALL,"SENIOR CLERKSHIP"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,442, ,001,"SENIOR CLERKSHIP","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,442, ,OVERALL,"SENIOR CLERKSHIP"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,443, ,001,"SENIOR CLERKSHIP","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,443, ,OVERALL,"SENIOR CLERKSHIP"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,450, ,001,"SENIOR CLERKSHIP","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,450, ,OVERALL,"SENIOR CLERKSHIP"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,451, ,001,"CLIN SKILLS IV","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,451, ,OVERALL,"CLIN SKILLS IV"," ",290,,,,,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,452, ,001,"CLINICAL 3RD YR","",271,,,,,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,452, ,OVERALL,"CLINICAL 3RD YR"," ",271,,,,,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,453, ,001,"PREP MD PRACTICE","",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,453, ,OVERALL,"PREP MD PRACTICE"," ",288,,,,,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,455, ,001,"SENIOR CLERKSHIP","",286,,,,,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,INDE,455, ,OVERALL,"SENIOR CLERKSHIP"," ",286,,,,,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
