Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,ITST,110, ,101,"INTR LIT & CULTR","Testa, Carlo",17,84.94,4.51,91,73,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,1
UBC,2015,W,ITST,110, ,OVERALL,"INTR LIT & CULTR"," ",17,84.94,4.51,91,73,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,1
UBC,2015,W,ITST,231, ,101,"INTR ITAL CULT I","Boccassini, Daniela",21,76.05,12.23,92,45,20,1,0,0,0,0,0,0,0,1,1,0,1,1,1,3,2,4,2,3,3
UBC,2015,W,ITST,231, ,OVERALL,"INTR ITAL CULT I"," ",21,76.05,12.23,92,45,20,1,0,0,0,0,0,0,0,1,1,0,1,1,1,3,2,4,2,3,3
UBC,2015,W,ITST,234, ,901,"INTR ITAL CINEMA","Testa, Carlo",9,81,6.91,90,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1
UBC,2015,W,ITST,234, ,OVERALL,"INTR ITAL CINEMA"," ",9,81,6.91,90,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1
UBC,2015,W,ITST,333, ,101,"NOVELLA IN LIT","Segnini, Elisa",11,77,6.76,88,64,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0
UBC,2015,W,ITST,333, ,OVERALL,"NOVELLA IN LIT"," ",11,77,6.76,88,64,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0
UBC,2015,W,ITST,345, ,101,"ITALIAN FASCISM","Testa, Carlo",19,77.58,10.38,92,51,19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,4,5,1
UBC,2015,W,ITST,345, ,OVERALL,"ITALIAN FASCISM"," ",19,77.58,10.38,92,51,19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,4,5,1
UBC,2015,W,ITST,385, ,101,"CINEMA: NEOREAL","Testa, Carlo",12,78.67,8.19,93,61,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,4,1,1
UBC,2015,W,ITST,385, ,OVERALL,"CINEMA: NEOREAL"," ",12,78.67,8.19,93,61,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,4,1,1
UBC,2015,W,ITST,413, ,101,"DIV COMEDY TRANS","Boccassini, Daniela",11,82.67,5.63,90,71,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1
UBC,2015,W,ITST,413, ,OVERALL,"DIV COMEDY TRANS"," ",11,82.67,5.63,90,71,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1
UBC,2015,W,ITST,419, ,201,"ITAL LIT CULT","Benimeo, Maria",8,92.75,6.71,97,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
UBC,2015,W,ITST,419, ,OVERALL,"ITAL LIT CULT"," ",8,92.75,6.71,97,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
