Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,LIBE,461, ,63C,"ADMIN OF SCH LRC","Powell, Gordon",25,86.88,4.02,95,79,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,6
UBC,2015,W,LIBE,461, ,OVERALL,"ADMIN OF SCH LRC"," ",25,86.88,4.02,95,79,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,6
UBC,2015,W,LIBE,463, ,63A,"SELECT LIBR RES","Cho, Allan",30,81.53,15.63,89,0,29,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,12,15,0
UBC,2015,W,LIBE,463, ,OVERALL,"SELECT LIBR RES"," ",30,81.53,15.63,89,0,29,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,12,15,0
UBC,2015,W,LIBE,465, ,63C,"ORG LRN RES","",19,85.42,2.14,91,83,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1
UBC,2015,W,LIBE,465, ,OVERALL,"ORG LRN RES"," ",19,85.42,2.14,91,83,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1
UBC,2015,W,LIBE,467, ,63C,"INFO SERVICES I","Mueller, Aaron",18,90.22,3.69,96,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11
UBC,2015,W,LIBE,467, ,OVERALL,"INFO SERVICES I"," ",18,90.22,3.69,96,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11
UBC,2015,W,LIBE,477,B,63A,"SP TPCS TCH LIBR","Mueller, Aaron",23,88.43,5.12,95,76,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,10
UBC,2015,W,LIBE,477, ,OVERALL,"SP TPCS TCH LIBR"," ",23,88.43,5.12,95,76,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,10
