Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,LIBR,504, ,001,"INFO ORG MGMT","Broadley, Louise;Olsen, Anne",34,88.03,5.24,96,67,33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,20,10
UBC,2015,W,LIBR,504, ,002,"INFO ORG MGMT","Broadley, Louise;Olsen, Anne",30,87.97,3.73,97,83,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,9
UBC,2015,W,LIBR,504, ,OVERALL,"INFO ORG MGMT"," ",64,88,4.56,97,67,62,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,34,19
UBC,2015,W,LIBR,505, ,001,"RSRCH METHODS","Arias Hernandez, Richard",26,86.68,4.08,96,76,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,4
UBC,2015,W,LIBR,505, ,OVERALL,"RSRCH METHODS"," ",26,86.68,4.08,96,76,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,4
UBC,2015,W,LIBR,506, ,001,"HUMAN-INFRMATION","O'Brien, Heather",41,85.18,3.24,91,78,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,21,3
UBC,2015,W,LIBR,506, ,002,"HUMAN-INFRMATION","O'Brien, Heather",33,84.41,1.9,88,80,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,0
UBC,2015,W,LIBR,506, ,OVERALL,"HUMAN-INFRMATION"," ",74,84.83,2.74,91,78,72,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,35,3
UBC,2015,W,LIBR,507, ,001,"METHS OF RESRCH","Freund, Luanne",41,82.6,2.73,88,74,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,10,0
UBC,2015,W,LIBR,507, ,002,"METHS OF RESRCH","Kopak, Richard",33,83,2.32,87,78,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,9,0
UBC,2015,W,LIBR,507, ,OVERALL,"METHS OF RESRCH"," ",74,82.77,2.55,88,74,70,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,46,19,0
UBC,2015,W,LIBR,508, ,001,"INFO PRACTICES","Nathan, Lisa",42,83.38,1.64,86,78,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,9,0
UBC,2015,W,LIBR,508, ,002,"INFO PRACTICES","Nathan, Lisa",33,83.76,1.44,87,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,0
UBC,2015,W,LIBR,508, ,OVERALL,"INFO PRACTICES"," ",75,83.55,1.55,87,78,73,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,19,0
