Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,LING,100, ,001,"INTR LANG&LING","Rullmann, Hotze",274,77.09,11.61,93,0,262,7,3,0,0,2,0,1,1,3,7,2,4,10,10,19,39,41,78,45,14
UBC,2015,W,LING,100, ,003,"INTR LANG&LING","Wiltschko, Martina",256,80.27,14.69,100,0,244,5,7,0,0,2,1,1,0,1,5,5,6,4,11,24,25,23,40,34,72
UBC,2015,W,LING,100, ,OVERALL,"INTR LANG&LING"," ",539,78.62,13.26,100,0,506,12,19,0,0,4,1,2,1,4,12,7,10,14,21,43,64,64,118,79,86
UBC,2015,W,LING,101, ,002,"LANG OF WORLD","Burton, Strang",256,77.43,9.64,98,37,255,1,0,0,0,0,0,0,1,0,1,5,9,9,13,20,32,48,61,40,18
UBC,2015,W,LING,101, ,003,"LANG OF WORLD","Burton, Strang",287,75.42,11.92,99,21,278,8,1,0,0,0,0,2,2,4,8,6,12,16,14,38,34,42,50,45,21
UBC,2015,W,LING,101, ,OVERALL,"LANG OF WORLD"," ",543,76.37,10.94,99,21,533,9,1,0,0,0,0,2,3,4,9,11,21,25,27,58,66,90,111,85,39
UBC,2015,W,LING,140, ,002,"CHALLG LANG MYTH","Brinton, Laurel;Vatikiotis-Bateson, Eric",31,77.28,9.44,96,53,29,0,2,0,0,0,0,0,0,0,0,1,0,2,1,2,7,3,6,6,1
UBC,2015,W,LING,140, ,OVERALL,"CHALLG LANG MYTH"," ",31,77.28,9.44,96,53,29,0,2,0,0,0,0,0,0,0,0,1,0,2,1,2,7,3,6,6,1
UBC,2015,W,LING,200, ,001,"LING THRY&ANL I","Hansson, Gunnar",141,74.62,9.64,91,50,131,0,8,0,2,0,0,0,0,0,0,7,4,6,12,8,29,21,24,16,4
UBC,2015,W,LING,200, ,OVERALL,"LING THRY&ANL I"," ",149,74.62,9.64,91,50,131,0,16,0,2,0,0,0,0,0,0,7,4,6,12,8,29,21,24,16,4
