Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,PCTH,201, ,001,"DRUGS & SOCIETY","Bernatchez, Pascal;Horne, Andrew;Leung, Joanne Y T;Pang, Catherine C;Shabbits, Jennifer Anne;Warriner, Charles Brian",57,81.85,8.43,95,62,55,0,2,0,0,0,0,0,0,0,0,0,0,1,2,5,5,8,11,11,12
UBC,2015,W,PCTH,201, ,OVERALL,"DRUGS & SOCIETY"," ",57,81.85,8.43,95,62,55,0,2,0,0,0,0,0,0,0,0,0,0,1,2,5,5,8,11,11,12
UBC,2015,W,PCTH,300, ,001,"INTRO TO PCOL","Abadi, Shirin S.A.;Barr, Alasdair;Godin, David;Horne, Andrew;Leung, Joanne Y T;Pang, Catherine C;Schwarz, Stephan;Wright, James",23,86.32,6.75,95,67,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,6,9
UBC,2015,W,PCTH,300, ,OVERALL,"INTRO TO PCOL"," ",23,86.32,6.75,95,67,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,6,9
UBC,2015,W,PCTH,302, ,001,"INTRO PHARMACLGY","Fedida, David;Horne, Andrew;Leung, Joanne Y T;Pang, Catherine C",23,83.68,3.4,90,77,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,2
UBC,2015,W,PCTH,302, ,OVERALL,"INTRO PHARMACLGY"," ",23,83.68,3.4,90,77,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,2
UBC,2015,W,PCTH,305, ,001,"HUMAN PHARMCLGY","Abadi, Shirin S.A.;Barr, Alasdair;Godin, David;Horne, Andrew;Leung, Joanne Y T;Pang, Catherine C;Schwarz, Stephan;Wright, James",10,74.44,11.39,90,50,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,1
UBC,2015,W,PCTH,305, ,OVERALL,"HUMAN PHARMCLGY"," ",10,74.44,11.39,90,50,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,1
UBC,2015,W,PCTH,325, ,001,"RNL BS DRUG THER","Abadi, Shirin S.A.;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Leung, Joanne Y T;Pang, Catherine C;Shabbits, Jennifer Anne;Warriner, Charles Brian;Wright, James",177,84.06,9.24,100,54,176,0,1,0,0,0,0,0,0,0,0,1,2,4,3,8,11,16,31,43,57
UBC,2015,W,PCTH,325, ,OVERALL,"RNL BS DRUG THER"," ",177,84.06,9.24,100,54,176,0,1,0,0,0,0,0,0,0,0,1,2,4,3,8,11,16,31,43,57
UBC,2015,W,PCTH,398, ,001,"COOP WORK PL I","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,398, ,OVERALL,"COOP WORK PL I"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,399, ,001,"COOP WORK PL II","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,399, ,002,"COOP WORK PL II","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,399, ,OVERALL,"COOP WORK PL II"," ",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,400, ,001,"SYSTEMATIC PCOL","Ansermino, John Mark;Barr, Alasdair;Bernatchez, Pascal;Bhagavatula, Sastry;Choi, Peter Tsz Lung;Etminan, Mahyar;Griesdale, Donald E;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Preston, Roanne;Schwarz, Stephan;Warriner, Charles Brian;Wright, James",20,83.85,6.91,97,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,5
UBC,2015,W,PCTH,400, ,OVERALL,"SYSTEMATIC PCOL"," ",20,83.85,6.91,97,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,5
UBC,2015,W,PCTH,404, ,001,"DRUG ASSAY&PHRMC","Barr, Alasdair;Bernatchez, Pascal;Horne, Andrew",20,84.4,8.64,94,52,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,8,4
UBC,2015,W,PCTH,404, ,OVERALL,"DRUG ASSAY&PHRMC"," ",20,84.4,8.64,94,52,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,8,4
UBC,2015,W,PCTH,448, ,OVERALL,"DST PHARMACOLOGY"," ",4,86.25,9.6,93,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
UBC,2015,W,PCTH,448, ,OVERALL,"DST PHARMACOLOGY"," ",4,86.25,9.6,93,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
UBC,2015,W,PCTH,498, ,002,"COOP WORK PL III","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,498, ,OVERALL,"COOP WORK PL III"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,502, ,001,"DRUGS &INTERCELL","Bhagavatula, Sastry",4,90.25,1.71,92,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2015,W,PCTH,502, ,OVERALL,"DRUGS &INTERCELL"," ",4,90.25,1.71,92,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2015,W,PCTH,514, ,001,"SEMINAR PCTH","",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,514, ,OVERALL,"SEMINAR PCTH"," ",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,PCTH,548, ,OVERALL,"DIRECTED STUDIES"," ",8,92,0,92,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,PCTH,548, ,OVERALL,"DIRECTED STUDIES"," ",8,92,0,92,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,PCTH,548, ,OVERALL,"DIRECTED STUDIES"," ",8,92,0,92,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,PCTH,548, ,OVERALL,"DIRECTED STUDIES"," ",8,92,0,92,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,PCTH,548, ,OVERALL,"DIRECTED STUDIES"," ",8,92,0,92,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,PCTH,548,F,001,"DIRECTED STUDIES","Fedida, David",7,92,0,92,92,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
UBC,2015,W,PCTH,548, ,OVERALL,"DIRECTED STUDIES"," ",8,92,0,92,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,PCTH,549, ,001,"MS THESIS","Bhagavatula, Sastry",5,93,0,93,93,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,2015,W,PCTH,549, ,OVERALL,"MS THESIS"," ",7,91.5,2.12,93,90,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
