Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,S,ADHE,327, ,93Q,"TEACH ADULT","Smulders, Dave",28,82.48,14.21,96,20,24,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,8,7,6
UBC,2016,S,ADHE,327, ,93S,"TEACH ADULT","Palacios, Carolina",35,73.45,14.21,91,29,29,2,2,0,0,0,0,1,0,1,2,0,3,0,3,2,3,5,6,4,3
UBC,2016,S,ADHE,327, ,93T,"TEACH ADULT","Regmi, Kapil",35,88.18,6.54,99,68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,10,16
UBC,2016,S,ADHE,327, ,OVERALL,"TEACH ADULT"," ",98,81.52,13.35,99,20,87,3,4,0,0,0,0,2,0,1,3,0,3,0,3,3,5,8,19,21,25
UBC,2016,S,ADHE,328, ,93Q,"INST ADUL EDUC","Aijazi, Omer",33,83.14,8.41,95,61,29,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,4,11,6
UBC,2016,S,ADHE,328, ,OVERALL,"INST ADUL EDUC"," ",33,83.14,8.41,95,61,29,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,4,11,6
UBC,2016,S,ADHE,329, ,93Q,"DEV WKSHP/SEM","Bishundayal, Deonarine",27,91.17,7.83,99,64,23,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,16
UBC,2016,S,ADHE,329, ,93S,"DEV WKSHP/SEM","Smulders, Dave",34,80.42,9.46,95,58,31,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,8,3,8
UBC,2016,S,ADHE,329, ,93T,"DEV WKSHP/SEM","Palacios, Carolina",35,70.67,14.64,93,43,28,2,2,0,0,0,0,0,0,2,2,3,2,3,4,2,1,2,4,2,5
UBC,2016,S,ADHE,329, ,OVERALL,"DEV WKSHP/SEM"," ",96,79.88,13.77,99,43,82,2,4,0,0,0,0,0,0,2,2,3,3,4,6,5,4,5,14,9,29
UBC,2016,S,ADHE,330, ,93Q,"COM ADULT EDUC","Bishundayal, Deonarine",24,89.83,8.53,100,67,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,15
UBC,2016,S,ADHE,330, ,93S,"COM ADULT EDUC","Bishundayal, Deonarine",32,90.32,10.24,99,52,28,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,4,18
UBC,2016,S,ADHE,330, ,951,"COM ADULT EDUC","Bishundayal, Deonarine",24,88.96,7.46,100,71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,13
UBC,2016,S,ADHE,330, ,OVERALL,"COM ADULT EDUC"," ",80,89.73,8.8,100,52,75,0,4,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,9,13,46
UBC,2016,S,ADHE,412, ,93Q,"ADUL EDUC","Palacios, Carolina",34,77.27,10.59,97,55,30,0,1,0,0,0,0,0,0,0,0,0,1,2,1,4,7,4,1,5,5
UBC,2016,S,ADHE,412, ,93S,"ADUL EDUC","Palacios, Carolina",35,79.12,12.78,94,52,26,0,6,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,3,3,9
UBC,2016,S,ADHE,412, ,OVERALL,"ADUL EDUC"," ",69,78.13,11.59,97,52,56,0,7,0,0,0,0,0,0,0,0,1,2,4,3,5,9,6,4,8,14
