Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,S,RSOT,519, ,001,"PRO PRCT I","Drynan, Donna",52,86.9,4.71,99,75,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,18
UBC,2016,S,RSOT,519, ,OVERALL,"PRO PRCT I"," ",52,86.9,4.71,99,75,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,18
UBC,2016,S,RSOT,538, ,001,"FIELDWORK EDUC 2","",52,,,,,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,S,RSOT,538, ,OVERALL,"FIELDWORK EDUC 2"," ",52,,,,,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,S,RSOT,545, ,001,"THRY,PRAC SKILLS","Jarus, Tal",50,82.86,4.22,91,73,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,20,18,2
UBC,2016,S,RSOT,545, ,OVERALL,"THRY,PRAC SKILLS"," ",50,82.86,4.22,91,73,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,20,18,2
UBC,2016,S,RSOT,547, ,001,"PRACT PROJECT","Forwell, Susan",100,86.2,5.43,97,68,49,0,1,0,50,0,0,0,0,0,0,0,0,0,0,1,0,3,12,22,11
UBC,2016,S,RSOT,547, ,OVERALL,"PRACT PROJECT"," ",100,86.2,5.43,97,68,49,0,1,0,50,0,0,0,0,0,0,0,0,0,0,1,0,3,12,22,11
UBC,2016,S,RSOT,549, ,001,"PRO PRACTICE II","Drynan, Donna",52,85.2,4.4,93,73,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,21,14,11
UBC,2016,S,RSOT,549, ,OVERALL,"PRO PRACTICE II"," ",52,85.2,4.4,93,73,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,21,14,11
UBC,2016,S,RSOT,551, ,001,"SOCI ENVIRON","",49,86.1,5.16,95,64,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,22,12
UBC,2016,S,RSOT,551, ,OVERALL,"SOCI ENVIRON"," ",49,86.1,5.16,95,64,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,22,12
UBC,2016,S,RSOT,553, ,001,"DEV EFFECTIVE PR","",49,88.24,3.49,94,79,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,21
UBC,2016,S,RSOT,553, ,OVERALL,"DEV EFFECTIVE PR"," ",49,88.24,3.49,94,79,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,21
