Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,BAEN,502, ,001,"GRW&EXIT VENTURE","Simonite, James",41,83.17,2.71,90,79,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,12,1
UBC,2016,W,BAEN,502, ,OVERALL,"GRW&EXIT VENTURE"," ",41,83.17,2.71,90,79,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,12,1
UBC,2016,W,BAEN,505, ,001,"ENTR FINANCE","Mackellar, Richard",40,80.44,6.03,94,64,39,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,13,14,6,2
UBC,2016,W,BAEN,505, ,OVERALL,"ENTR FINANCE"," ",40,80.44,6.03,94,64,39,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,13,14,6,2
UBC,2016,W,BAEN,506, ,001,"TECH ENTRPRNRSHP","Etmannski, Tamara;Miller, David",20,83.15,3.05,87,79,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,0
UBC,2016,W,BAEN,506, ,002,"TECH ENTRPRNRSHP","Cubbon, Paul;Fitzgerald, Gregory",18,82.94,5.22,90,74,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,5,2
UBC,2016,W,BAEN,506, ,OVERALL,"TECH ENTRPRNRSHP"," ",38,83.05,4.16,90,74,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,12,2
UBC,2016,W,BAEN,510, ,001,"INTRAPRENEURSHIP","Simonite, James",41,84.68,3.76,94,78,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,11,6
UBC,2016,W,BAEN,510, ,OVERALL,"INTRAPRENEURSHIP"," ",41,84.68,3.76,94,78,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,11,6
UBC,2016,W,BAEN,541, ,001,"INNOV&ENTREPREN","Cubbon, Paul",23,79.26,2.7,84,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,10,0,0
UBC,2016,W,BAEN,541, ,002,"INNOV&ENTREPREN","Cubbon, Paul",45,81.22,3.48,89,74,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,25,8,0
UBC,2016,W,BAEN,541, ,OVERALL,"INNOV&ENTREPREN"," ",68,80.56,3.35,89,74,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,35,8,0
UBC,2016,W,BAEN,550, ,MM1,"FUND ENTRPRENEUR","Etmannski, Tamara",54,83.41,3.52,92,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24,22,3
UBC,2016,W,BAEN,550, ,OVERALL,"FUND ENTRPRENEUR"," ",54,83.41,3.52,92,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24,22,3
UBC,2016,W,BAEN,580, ,816,"TPCS ENTREPR'SHP","Mackellar, Richard",39,78.47,5.26,87,65,38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,11,6,0
UBC,2016,W,BAEN,580,A,001,"TPCS ENTREPR'SHP","",28,82,5.45,90,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,13,9,1
UBC,2016,W,BAEN,580,B,001,"TPCS ENTREPR'SHP","",16,86.56,2.45,91,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2
UBC,2016,W,BAEN,580,C,001,"TPCS ENTREPR'SHP","",24,83.43,4.97,92,70,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,9,1
UBC,2016,W,BAEN,580, ,OVERALL,"TPCS ENTREPR'SHP"," ",107,81.73,5.64,92,65,105,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,8,16,36,35,4
UBC,2016,W,BAEN,580,A,001,"TPCS ENTREPR'SHP","Milne, Tamar",28,82,5.45,90,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,13,9,1
UBC,2016,W,BAEN,580, ,OVERALL,"TPCS ENTREPR'SHP"," ",107,81.73,5.64,92,65,105,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,8,16,36,35,4
UBC,2016,W,BAEN,580,B,001,"TPCS ENTREPR'SHP","Cubbon, Paul",16,86.56,2.45,91,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2
UBC,2016,W,BAEN,580, ,OVERALL,"TPCS ENTREPR'SHP"," ",107,81.73,5.64,92,65,105,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,8,16,36,35,4
UBC,2016,W,BAEN,580,C,001,"TPCS ENTREPR'SHP","Etmannski, Tamara",24,83.43,4.97,92,70,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,9,1
UBC,2016,W,BAEN,580, ,OVERALL,"TPCS ENTREPR'SHP"," ",107,81.73,5.64,92,65,105,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,8,16,36,35,4
