Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,BAFI,500, ,001,"INTRO FINANCE","Carlson, Murray",49,88.39,5.22,99,76,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,18,20
UBC,2016,W,BAFI,500, ,002,"INTRO FINANCE","Carlson, Murray",50,87.82,6.85,99,61,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,8,14,24
UBC,2016,W,BAFI,500, ,301,"INTRO FINANCE","Giammarino, Ronald",45,83.96,7.45,97,62,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,13,13,11
UBC,2016,W,BAFI,500, ,816,"INTRO FINANCE","Giammarino, Ronald",34,78.71,10.07,98,51,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,2,5,8,5,5
UBC,2016,W,BAFI,500, ,MM1,"INTRO FINANCE","Yuill, Garry",55,85.58,8.17,99,57,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,4,12,16,18
UBC,2016,W,BAFI,500, ,OVERALL,"INTRO FINANCE"," ",233,85.33,8.13,99,51,233,0,0,0,0,0,0,0,0,0,0,1,1,3,1,10,9,13,51,66,78
UBC,2016,W,BAFI,502, ,001,"CORP FINANCE","Ortiz Molina, Hernan",35,83.23,4.69,93,74,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,11,4
UBC,2016,W,BAFI,502, ,OVERALL,"CORP FINANCE"," ",35,83.23,4.69,93,74,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,11,4
UBC,2016,W,BAFI,503, ,001,"TPC CORP FINANCE","Alimov, Azizjon",13,83.85,6.19,92,74,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,3
UBC,2016,W,BAFI,503, ,302,"TPC CORP FINANCE","Alimov, Azizjon",12,83.92,6.92,94,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,3
UBC,2016,W,BAFI,503, ,OVERALL,"TPC CORP FINANCE"," ",25,83.88,6.41,94,73,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,9,6
UBC,2016,W,BAFI,507, ,001,"MERGERS & ACQSNS","Pikulina, Elena",40,82.03,3.6,90,76,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,11,1
UBC,2016,W,BAFI,507, ,302,"MERGERS & ACQSNS","Pikulina, Elena",18,84,3.66,90,77,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,3
UBC,2016,W,BAFI,507, ,OVERALL,"MERGERS & ACQSNS"," ",58,82.64,3.7,90,76,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,17,4
UBC,2016,W,BAFI,511, ,001,"INVEST THEORY","Bena, Jan",25,83,5.89,93,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,10,3
