Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,BAHR,505, ,MM1,"LEADERSHIP","Bayazit, Mahmut",54,88.98,4.6,100,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,19,28
UBC,2016,W,BAHR,505, ,OVERALL,"LEADERSHIP"," ",54,88.98,4.6,100,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,19,28
UBC,2016,W,BAHR,507, ,001,"2 PARTY NEGOTNS","Skarlicki, Dan",45,80.8,3.71,86,64,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,37,1,0
UBC,2016,W,BAHR,507, ,002,"2 PARTY NEGOTNS","Skarlicki, Dan",45,81.18,3.26,87,67,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,33,5,0
UBC,2016,W,BAHR,507, ,301,"2 PARTY NEGOTNS","Aquino, Karl",46,80.37,4.7,91,67,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,19,7,1
UBC,2016,W,BAHR,507, ,815,"2 PARTY NEGOTNS","Skarlicki, Dan",27,77.85,4.05,84,71,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,13,0,0
UBC,2016,W,BAHR,507, ,MM1,"2 PARTY NEGOTNS","Atwal, Perdip",54,83.52,4.49,93,74,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,22,16,6
UBC,2016,W,BAHR,507, ,OVERALL,"2 PARTY NEGOTNS"," ",217,81.1,4.41,93,64,217,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16,36,124,29,7
UBC,2016,W,BAHR,508, ,001,"MNG'G CHANGE","Prowse, Robert",33,76.82,6.68,93,68,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,4,3,2
UBC,2016,W,BAHR,508, ,301,"MNG'G CHANGE","Prowse, Robert",27,78.89,3.02,85,74,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,10,1,0
UBC,2016,W,BAHR,508, ,816,"MNG'G CHANGE","Prowse, Robert",28,76.57,3.62,86,71,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,3,1,0
UBC,2016,W,BAHR,508, ,OVERALL,"MNG'G CHANGE"," ",88,77.38,4.92,93,68,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,33,17,5,2
UBC,2016,W,BAHR,516, ,MM1,"LEADING TEAMS","Prowse, Robert",54,82.37,5.11,94,68,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,21,15,4
UBC,2016,W,BAHR,516, ,OVERALL,"LEADING TEAMS"," ",54,82.37,5.11,94,68,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,21,15,4
UBC,2016,W,BAHR,520, ,001,"MNG EMPLOY REL","Atwal, Perdip",17,82.82,5.65,94,71,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,6,2
UBC,2016,W,BAHR,520, ,302,"MNG EMPLOY REL","Atwal, Perdip",16,82.81,4.31,89,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,0
UBC,2016,W,BAHR,520, ,OVERALL,"MNG EMPLOY REL"," ",33,82.82,4.97,94,71,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,14,2
UBC,2016,W,BAHR,550, ,001,"ORG BEHAV","Gurton, Tracey",49,81.24,3.42,88,72,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,30,7,0
UBC,2016,W,BAHR,550, ,002,"ORG BEHAV","Gurton, Tracey",50,80.92,3.84,88,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,18,11,0
UBC,2016,W,BAHR,550, ,300,"ORG BEHAV","Prowse, Robert",39,80.79,4.32,91,73,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,15,5,1
UBC,2016,W,BAHR,550, ,816,"ORG BEHAV","Kirkpatrick, Karin",35,77.76,4.97,88,70,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,9,8,4,0
UBC,2016,W,BAHR,550, ,MM1,"ORG BEHAV","Atwal, Perdip",55,81.07,3.33,90,74,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,34,7,2
UBC,2016,W,BAHR,550, ,OVERALL,"ORG BEHAV"," ",228,80.53,4.06,91,70,226,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,20,62,105,34,3
UBC,2016,W,BAHR,580,D,MM1,"TPCS HUMAN RES","Silver Sweeney, Marlisse",28,77.64,5.4,86,64,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,10,5,5,0
UBC,2016,W,BAHR,580,D,MM2,"TPCS HUMAN RES","Silver Sweeney, Marlisse",27,78.33,6.35,90,67,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,7,7,1
UBC,2016,W,BAHR,580, ,OVERALL,"TPCS HUMAN RES"," ",55,77.98,5.85,90,64,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,13,12,12,1
