Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,CIVL,200, ,99A,"ENG&SUSTAIN DEV","Nesbit, Susan",184,75.18,10.47,95,32,177,3,4,0,0,0,0,0,2,1,3,4,7,10,6,29,23,23,39,32,4
UBC,2016,W,CIVL,200, ,OVERALL,"ENG&SUSTAIN DEV"," ",186,75.2,10.42,95,32,179,3,4,0,0,0,0,0,2,1,3,4,7,10,6,29,23,25,39,32,4
UBC,2016,W,CIVL,201, ,101,"CIVL ENGINEER I","Isaacson, Michael D",129,87.74,5.49,100,64,129,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,20,41,61
UBC,2016,W,CIVL,201, ,OVERALL,"CIVL ENGINEER I"," ",129,87.74,5.49,100,64,129,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,20,41,61
UBC,2016,W,CIVL,202, ,201,"CIVL ENGINEER II","Keen, Patricia",125,77.35,10.73,93,0,124,1,0,0,0,1,0,0,0,0,1,1,3,3,6,8,23,24,29,21,6
UBC,2016,W,CIVL,202, ,OVERALL,"CIVL ENGINEER II"," ",125,77.35,10.73,93,0,124,1,0,0,0,1,0,0,0,0,1,1,3,3,6,8,23,24,29,21,6
UBC,2016,W,CIVL,210, ,201,"SOIL MECH I","Fannin, R Jonathan;Taiebat, Mahdi",146,70.83,19.71,97,0,131,14,1,0,0,3,4,5,0,2,14,1,5,6,11,17,15,22,20,21,13
UBC,2016,W,CIVL,210, ,202,"SOIL MECH I","Fannin, R Jonathan;Taiebat, Mahdi",130,72.04,18.51,98,0,120,10,0,0,0,2,3,5,0,0,10,0,2,7,7,15,12,24,31,13,9
UBC,2016,W,CIVL,210, ,OVERALL,"SOIL MECH I"," ",278,71.4,19.13,98,0,251,24,3,0,0,5,7,10,0,2,24,1,7,13,18,32,27,46,51,34,22
UBC,2016,W,CIVL,215, ,101,"FLUID MECH I","Yonemitsu, Noboru",175,79,9.39,97,31,172,2,1,0,0,0,0,0,2,0,2,1,1,4,9,12,20,30,43,36,16
UBC,2016,W,CIVL,215, ,201,"FLUID MECH I","Yonemitsu, Noboru",94,74.04,12.86,98,40,90,4,0,0,0,0,0,0,0,4,4,2,9,3,10,11,9,12,10,15,9
UBC,2016,W,CIVL,215, ,OVERALL,"FLUID MECH I"," ",270,77.26,10.97,98,31,262,6,2,0,0,0,0,0,2,4,6,3,10,7,19,23,29,42,53,51,25
UBC,2016,W,CIVL,228, ,201,"INTRO STRUCT ENG","Joghataie, Abdolreza",133,77.56,11.18,98,26,130,3,0,0,0,0,0,1,0,2,3,1,3,9,4,9,15,23,25,25,16
UBC,2016,W,CIVL,228, ,OVERALL,"INTRO STRUCT ENG"," ",133,77.56,11.18,98,26,130,3,0,0,0,0,0,1,0,2,3,1,3,9,4,9,15,23,25,25,16
UBC,2016,W,CIVL,230, ,101,"SOLID MECH I","Vaziri, Reza",180,81.28,10.95,100,40,176,2,2,0,0,0,0,0,0,2,2,0,3,6,6,16,22,15,31,33,44
UBC,2016,W,CIVL,230, ,OVERALL,"SOLID MECH I"," ",182,81.28,10.95,100,40,176,2,4,0,0,0,0,0,0,2,2,0,3,6,6,16,22,15,31,33,44
UBC,2016,W,CIVL,231, ,201,"SOLID MECH II","Zanotti, Cristina",181,74.59,16.53,100,0,175,6,0,0,0,2,1,1,1,1,6,13,8,12,9,11,21,26,28,19,28
