Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,COMM,100, ,201,"INTRO BUSINESS","Svedic, Zorana",201,74.74,11.1,93,19,189,8,4,0,0,0,1,0,2,5,8,6,5,3,12,22,30,34,50,21,6
UBC,2016,W,COMM,100, ,OVERALL,"INTRO BUSINESS"," ",201,74.74,11.1,93,19,189,8,4,0,0,0,1,0,2,5,8,6,5,3,12,22,30,34,50,21,6
UBC,2016,W,COMM,101, ,101,"BUSN FUNDAMENTAL","Cubbon, Paul;Kroeker, Jeff",109,72.88,8.19,89,46,108,1,0,0,0,0,0,0,0,1,1,1,3,6,21,12,22,18,16,9,0
UBC,2016,W,COMM,101, ,102,"BUSN FUNDAMENTAL","Cubbon, Paul;Kroeker, Jeff",121,74.09,6.51,87,55,121,0,0,0,0,0,0,0,0,0,0,0,2,6,12,18,33,24,18,8,0
UBC,2016,W,COMM,101, ,103,"BUSN FUNDAMENTAL","Salzberg, Elicia;Stone, Ann",118,73.27,7.28,85,41,117,1,0,0,0,0,0,0,0,1,1,1,3,4,15,17,26,27,21,3,0
UBC,2016,W,COMM,101, ,104,"BUSN FUNDAMENTAL","Salzberg, Elicia;Stone, Ann",121,70.75,8.89,83,0,119,2,0,0,0,1,0,0,0,1,2,0,5,3,21,24,39,16,11,0,0
UBC,2016,W,COMM,101, ,105,"BUSN FUNDAMENTAL","Salzberg, Elicia;Stone, Ann",115,71.89,7.6,87,50,115,0,0,0,0,0,0,0,0,0,0,4,2,9,14,23,27,16,17,3,0
UBC,2016,W,COMM,101, ,106,"BUSN FUNDAMENTAL","Kopke, Darrell;Svedic, Zorana",102,72.24,8.23,88,44,101,1,0,0,0,0,0,0,0,1,1,2,2,13,7,17,21,19,16,4,0
UBC,2016,W,COMM,101, ,OVERALL,"BUSN FUNDAMENTAL"," ",686,72.52,7.85,89,0,681,5,0,0,0,1,0,0,0,4,5,8,17,41,90,111,168,120,99,27,0
UBC,2016,W,COMM,120, ,DD1,"BUSI IMMERSION","Salzberg, Elicia",35,76.71,2.46,83,71,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,19,4,0,0
UBC,2016,W,COMM,120, ,DD2,"BUSI IMMERSION","Milne, Tamar",45,78.98,4.57,86,64,44,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,12,23,2,0
UBC,2016,W,COMM,120, ,DD3,"BUSI IMMERSION","Milne, Tamar",12,80,1.35,82,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0
UBC,2016,W,COMM,120, ,DD4,"BUSI IMMERSION","Salzberg, Elicia",19,80.74,5.04,90,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,2,2
UBC,2016,W,COMM,120, ,DD5,"BUSI IMMERSION","Salzberg, Elicia",29,79.96,5.53,89,60,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,15,4,0
UBC,2016,W,COMM,120, ,OVERALL,"BUSI IMMERSION"," ",140,78.93,4.42,90,60,138,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,21,44,58,8,2
UBC,2016,W,COMM,202, ,101,"CAREER FUNDMTLS","Welsby, Victoria",120,81.07,11.45,100,33,118,2,0,0,0,0,0,0,1,1,2,2,1,3,6,7,7,17,25,25,25
UBC,2016,W,COMM,202, ,102,"CAREER FUNDMTLS","Welsby, Victoria",121,80.28,11.33,99,33,119,1,1,0,0,0,0,0,1,0,1,3,2,3,9,4,12,12,29,17,28
UBC,2016,W,COMM,202, ,103,"CAREER FUNDMTLS","Welsby, Victoria",125,78.47,12.71,96,20,122,3,0,0,0,0,0,1,2,0,3,3,5,3,4,6,12,18,28,21,22
UBC,2016,W,COMM,202, ,104,"CAREER FUNDMTLS","Welsby, Victoria",116,82.53,10.57,98,31,115,1,0,0,0,0,0,0,1,0,1,1,1,3,3,5,9,16,24,21,32
UBC,2016,W,COMM,202, ,201,"CAREER FUNDMTLS","Welsby, Victoria",116,78.63,13.52,96,0,113,3,0,0,0,1,0,2,0,0,3,0,4,3,4,8,9,15,33,23,14
UBC,2016,W,COMM,202, ,202,"CAREER FUNDMTLS","Welsby, Victoria",114,74.36,13.96,95,7,109,4,1,0,0,1,0,1,1,1,4,5,4,8,6,7,13,22,20,16,8
UBC,2016,W,COMM,202, ,203,"CAREER FUNDMTLS","Welsby, Victoria",95,76.75,13.95,96,5,93,2,0,0,0,2,0,0,0,0,2,1,3,4,4,8,13,15,17,20,8
