Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,FNEL,101, ,001,"INTRO SALISH I","Campbell, Fiona;Grant, Larry",38,81.32,12.39,98,26,36,1,1,0,0,0,0,1,0,0,1,0,0,0,2,1,4,6,4,12,7
UBC,2016,W,FNEL,101, ,OVERALL,"INTRO SALISH I"," ",38,81.32,12.39,98,26,36,1,1,0,0,0,0,1,0,0,1,0,0,0,2,1,4,6,4,12,7
UBC,2016,W,FNEL,102, ,001,"INTRO SALISH II","Campbell, Fiona;Grant, Larry",26,81.88,8.11,96,62,25,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,5,4
UBC,2016,W,FNEL,102, ,OVERALL,"INTRO SALISH II"," ",26,81.88,8.11,96,62,25,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,5,4
UBC,2016,W,FNEL,141, ,001,"INTR WAKASHAN I","Shaw, Patricia",14,84.77,4.25,94,76,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1
UBC,2016,W,FNEL,141, ,OVERALL,"INTR WAKASHAN I"," ",14,84.77,4.25,94,76,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1
UBC,2016,W,FNEL,180, ,001,"INTRO ENDG LANG","Turin, Mark",9,69.75,10.07,82,56,8,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,3,0,0
UBC,2016,W,FNEL,180, ,OVERALL,"INTRO ENDG LANG"," ",9,69.75,10.07,82,56,8,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,3,0,0
UBC,2016,W,FNEL,201, ,001,"INTMED SALISH I","Point, Marny",14,87.5,19.45,98,21,13,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,11
UBC,2016,W,FNEL,201, ,OVERALL,"INTMED SALISH I"," ",14,87.5,19.45,98,21,13,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,11
UBC,2016,W,FNEL,202, ,001,"INTMED SALISH II","Point, Marny",13,82.58,26.7,97,0,11,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,7
UBC,2016,W,FNEL,202, ,OVERALL,"INTMED SALISH II"," ",13,82.58,26.7,97,0,11,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,7
UBC,2016,W,FNEL,281, ,001,"CONSRV&REVITLZT","Shaw, Patricia",8,84.83,12.34,92,60,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
UBC,2016,W,FNEL,281, ,OVERALL,"CONSRV&REVITLZT"," ",8,84.83,12.34,92,60,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
UBC,2016,W,FNEL,282, ,001,"STRUC ENDG LANG","Rosenblum, Daisy",11,87.18,9.82,97,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6
UBC,2016,W,FNEL,282, ,OVERALL,"STRUC ENDG LANG"," ",11,87.18,9.82,97,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6
UBC,2016,W,FNEL,381, ,001,"BIOCULTRL DVRSTY","Rosenblum, Daisy",15,82.67,9.91,97,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,4,4
UBC,2016,W,FNEL,381, ,OVERALL,"BIOCULTRL DVRSTY"," ",15,82.67,9.91,97,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,4,4
UBC,2016,W,FNEL,382, ,001,"LEXI ENDANG LANG","Turin, Mark",10,77.4,14.79,94,44,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,2,2
UBC,2016,W,FNEL,382, ,OVERALL,"LEXI ENDANG LANG"," ",10,77.4,14.79,94,44,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,2,2
UBC,2016,W,FNEL,389, ,001,"COLBRTV RSRC FNL","Shaw, Patricia",8,77.38,31.65,93,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4
UBC,2016,W,FNEL,389, ,OVERALL,"COLBRTV RSRC FNL"," ",8,77.38,31.65,93,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4
UBC,2016,W,FNEL,481, ,001,"HERITG RSRCS FNL","Rosenblum, Daisy",6,79.5,15.11,91,57,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3
UBC,2016,W,FNEL,481, ,OVERALL,"HERITG RSRCS FNL"," ",6,79.5,15.11,91,57,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3
