Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,GREK,101, ,001,"1YR ANC GREEK I","Griffin, Michael",28,82.7,17.88,98,9,26,1,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,1,4,4,13
UBC,2016,W,GREK,101, ,OVERALL,"1YR ANC GREEK I"," ",28,82.7,17.88,98,9,26,1,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,1,4,4,13
UBC,2016,W,GREK,102, ,001,"1YR ANC GREEK II","Williams, Arden",12,75,17.27,91,42,10,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,2,4,1
UBC,2016,W,GREK,102, ,OVERALL,"1YR ANC GREEK II"," ",13,75,17.27,91,42,10,1,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,2,4,1
UBC,2016,W,GREK,201, ,001,"2YR ANC GREEK I","Reid, Shelley",5,75.4,18.7,98,50,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
UBC,2016,W,GREK,201, ,OVERALL,"2YR ANC GREEK I"," ",5,75.4,18.7,98,50,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
UBC,2016,W,GREK,202, ,001,"2YR ANC GREEK II","Reid, Shelley",5,81.75,15.48,97,61,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
UBC,2016,W,GREK,202, ,OVERALL,"2YR ANC GREEK II"," ",6,81.75,15.48,97,61,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
UBC,2016,W,GREK,351, ,001,"INT ANC GREK PRS","Williams, Arden",7,80.71,6.99,89,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0
UBC,2016,W,GREK,351, ,OVERALL,"INT ANC GREK PRS"," ",7,80.71,6.99,89,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0
UBC,2016,W,GREK,402,E,001,"GREEK VERSE","Marshall, Christopher Warren",6,90.67,2.42,94,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
UBC,2016,W,GREK,402, ,OVERALL,"GREEK VERSE"," ",6,90.67,2.42,94,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
UBC,2016,W,GREK,501,D,001,"GREEK PROSE","De Angelis, Franco",7,85.75,3.95,89,80,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2016,W,GREK,501, ,OVERALL,"GREEK PROSE"," ",7,85.75,3.95,89,80,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2016,W,GREK,649, ,001,"DOC DISSERTATION","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,GREK,649, ,OVERALL,"DOC DISSERTATION"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
