Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,HGSE,350, ,610,"H GWAII CSE STDY","",17,88.18,5.39,96,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7
UBC,2016,W,HGSE,350, ,OVERALL,"H GWAII CSE STDY"," ",17,88.18,5.39,96,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7
UBC,2016,W,HGSE,351, ,610,"HIST RESRCE MGMT","",17,89.06,3.29,95,85,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
UBC,2016,W,HGSE,351, ,OVERALL,"HIST RESRCE MGMT"," ",17,89.06,3.29,95,85,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
UBC,2016,W,HGSE,352, ,610,"FRST NTNS RSORCS","",17,80.35,4.57,90,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,3,1
UBC,2016,W,HGSE,352, ,OVERALL,"FRST NTNS RSORCS"," ",17,80.35,4.57,90,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,3,1
UBC,2016,W,HGSE,353, ,610,"RNFRST ECOLOGY","",17,85.41,6.34,94,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,5
UBC,2016,W,HGSE,353, ,OVERALL,"RNFRST ECOLOGY"," ",17,85.41,6.34,94,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,5
UBC,2016,W,HGSE,354, ,610,"RSRC-DPNDNT COMM","",17,79.82,8.52,94,60,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,5,4,2
UBC,2016,W,HGSE,354, ,OVERALL,"RSRC-DPNDNT COMM"," ",17,79.82,8.52,94,60,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,5,4,2
UBC,2016,W,HGSE,355, ,610,"COAST TERR ESYST","",19,86.63,2.36,91,82,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,2
UBC,2016,W,HGSE,355, ,OVERALL,"COAST TERR ESYST"," ",19,86.63,2.36,91,82,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,2
UBC,2016,W,HGSE,356, ,610,"BIO DYN MAR-TER","",19,80.42,8.2,91,56,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,7,4,2
UBC,2016,W,HGSE,356, ,OVERALL,"BIO DYN MAR-TER"," ",19,80.42,8.2,91,56,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,7,4,2
UBC,2016,W,HGSE,357, ,610,"ISLND WILD MGMT","",19,95.26,1.97,99,91,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
UBC,2016,W,HGSE,357, ,OVERALL,"ISLND WILD MGMT"," ",19,95.26,1.97,99,91,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
UBC,2016,W,HGSE,358, ,610,"SYS RESRC MGMT","",19,85.26,1.48,88,83,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0
UBC,2016,W,HGSE,358, ,OVERALL,"SYS RESRC MGMT"," ",19,85.26,1.48,88,83,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0
UBC,2016,W,HGSE,359, ,610,"ECO-BASED MGMT","",19,85.26,2.83,90,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1
UBC,2016,W,HGSE,359, ,OVERALL,"ECO-BASED MGMT"," ",19,85.26,2.83,90,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1
