Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,MICB,201, ,101,"INT ENV MICRBIOL","Beatty, John;Bingle, Wade",217,74.37,11.21,93,37,210,5,1,0,0,0,0,0,1,4,5,8,9,15,15,22,32,24,45,25,15
UBC,2016,W,MICB,201, ,201,"INT ENV MICRBIOL","Bingle, Wade;Mohn, William",188,72.38,13.25,93,0,182,4,2,0,0,2,0,0,0,2,4,9,19,6,11,29,22,21,31,29,5
UBC,2016,W,MICB,201, ,OVERALL,"INT ENV MICRBIOL"," ",405,73.45,12.22,93,0,392,9,3,0,0,2,0,0,1,6,9,17,28,21,26,51,54,45,76,54,20
UBC,2016,W,MICB,202, ,101,"MED MICB & IMMUN","Gaynor, Erin;Kion, Tracy;Krebs, Danielle;Osborne, Lisa",299,78.78,12.53,98,36,289,7,3,0,0,0,0,0,1,6,7,7,14,14,14,16,30,31,47,55,61
UBC,2016,W,MICB,202, ,201,"MED MICB & IMMUN","Gaynor, Erin;Kion, Tracy;Osborne, Lisa;Sibley, Jennifer;Steiner, Theodore",246,79.29,12.77,98,0,240,3,3,0,0,1,1,0,0,1,3,5,9,6,11,18,25,22,52,42,50
UBC,2016,W,MICB,202, ,203,"MED MICB & IMMUN","Gaynor, Erin;Kion, Tracy;Osborne, Lisa;Sibley, Jennifer;Steiner, Theodore",213,78.33,14.44,98,0,204,6,2,1,0,1,0,0,1,4,6,10,6,10,13,11,16,16,31,50,41
UBC,2016,W,MICB,202, ,OVERALL,"MED MICB & IMMUN"," ",758,78.82,13.15,98,0,733,16,8,1,0,2,1,0,2,11,16,22,29,30,38,45,71,69,130,147,152
UBC,2016,W,MICB,203, ,201,"BASIC MICROB LAB","Smith, Karen",23,77.95,5.49,87,68,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,6,1,11,1,0
UBC,2016,W,MICB,203, ,OVERALL,"BASIC MICROB LAB"," ",24,77.95,5.49,87,68,21,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,6,1,11,1,0
UBC,2016,W,MICB,301, ,101,"MICROB ECOPHYS","Eltis, Lindsay;Hallam, Steven;Mohn, William",125,76.77,9.35,93,51,123,0,1,1,0,0,0,0,0,0,0,4,4,3,7,12,24,10,35,18,6
UBC,2016,W,MICB,301, ,OVERALL,"MICROB ECOPHYS"," ",125,76.77,9.35,93,51,123,0,1,1,0,0,0,0,0,0,0,4,4,3,7,12,24,10,35,18,6
UBC,2016,W,MICB,302, ,101,"IMMUNOLOGY","Kion, Tracy",215,75.05,15.98,100,24,192,17,3,2,1,0,0,2,4,11,17,9,8,12,14,12,19,15,35,20,48
UBC,2016,W,MICB,302, ,OVERALL,"IMMUNOLOGY"," ",218,75.05,15.98,100,24,192,17,5,3,1,0,0,2,4,11,17,9,8,12,14,12,19,15,35,20,48
UBC,2016,W,MICB,306, ,101,"MOLECUL VIROLOGY","Jean, Francois;Krebs, Danielle",257,81.57,9.44,95,35,252,1,2,2,0,0,0,0,1,0,1,2,4,7,4,14,19,30,40,75,57
UBC,2016,W,MICB,306, ,OVERALL,"MOLECUL VIROLOGY"," ",260,81.57,9.44,95,35,252,1,4,3,0,0,0,0,1,0,1,2,4,7,4,14,19,30,40,75,57
UBC,2016,W,MICB,308, ,201,"PARADM BACT PATH","Fernandez, Rachel",130,75.25,13.96,95,16,121,6,1,1,1,0,1,1,3,1,6,4,6,6,2,11,14,12,36,19,11
UBC,2016,W,MICB,308, ,OVERALL,"PARADM BACT PATH"," ",130,75.25,13.96,95,16,121,6,1,1,1,0,1,1,3,1,6,4,6,6,2,11,14,12,36,19,11
UBC,2016,W,MICB,322, ,101,"MOLECLR MICB LAB","Nomellini, John;Sibley, Jennifer",84,83.95,5.17,95,65,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,26,30,10
UBC,2016,W,MICB,322, ,OVERALL,"MOLECLR MICB LAB"," ",84,83.95,5.17,95,65,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,26,30,10
UBC,2016,W,MICB,323, ,201,"MOLC IMMN&VIR LB","Kion, Tracy;Krebs, Danielle",78,84.28,5.85,96,67,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,26,25,14
UBC,2016,W,MICB,323, ,OVERALL,"MOLC IMMN&VIR LB"," ",78,84.28,5.85,96,67,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,26,25,14
UBC,2016,W,MICB,325, ,201,"ANLYSIS MCRO G&G","Beatty, John;Haney, Cara;Murphy, Michael",119,76.02,12.42,94,44,108,9,1,0,1,0,0,0,0,9,9,0,4,6,8,8,10,12,30,18,12
UBC,2016,W,MICB,325, ,OVERALL,"ANLYSIS MCRO G&G"," ",119,76.02,12.42,94,44,108,9,1,0,1,0,0,0,0,9,9,0,4,6,8,8,10,12,30,18,12
UBC,2016,W,MICB,353, ,101,"FOOD MICROBI LAB","Nomellini, John;Smith, Karen",27,87.26,5.48,96,68,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,11,9
UBC,2016,W,MICB,353, ,OVERALL,"FOOD MICROBI LAB"," ",27,87.26,5.48,96,68,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,11,9
UBC,2016,W,MICB,398, ,610,"COOP WRK PLCMT 1","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MICB,398, ,620,"COOP WRK PLCMT 1","",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MICB,398, ,OVERALL,"COOP WRK PLCMT 1"," ",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MICB,399, ,610,"COOP WRK PLCMT 2","",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MICB,399, ,620,"COOP WRK PLCMT 2","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MICB,399, ,OVERALL,"COOP WRK PLCMT 2"," ",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MICB,401, ,101,"ENV MICROBI LAB","Bingle, Wade",37,85.38,3.34,92,80,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,6
UBC,2016,W,MICB,401, ,201,"ENV MICROBI LAB","Bingle, Wade",33,81.88,4.38,90,74,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,13,1
UBC,2016,W,MICB,401, ,OVERALL,"ENV MICROBI LAB"," ",70,83.73,4.22,92,74,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,25,29,7
UBC,2016,W,MICB,402, ,101,"ADV IMMUNOLOGY","Johnson, Pauline;Kion, Tracy",47,78.66,9.37,95,50,44,0,2,1,0,0,0,0,0,0,0,2,0,0,3,4,5,8,8,11,3
UBC,2016,W,MICB,402, ,OVERALL,"ADV IMMUNOLOGY"," ",48,78.66,9.37,95,50,44,0,3,1,0,0,0,0,0,0,0,2,0,0,3,4,5,8,8,11,3
UBC,2016,W,MICB,404, ,201,"TOP MOL BAC PATH","Hancock, Robert E",16,88.94,3.96,95,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6
UBC,2016,W,MICB,404, ,OVERALL,"TOP MOL BAC PATH"," ",16,88.94,3.96,95,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6
UBC,2016,W,MICB,405, ,101,"BIOINFORMATICS","Gardy, Jennifer;Hallam, Steven;Hirst, Martin",68,77.38,10.97,95,52,68,0,0,0,0,0,0,0,0,0,0,2,3,7,3,2,7,10,13,13,8
UBC,2016,W,MICB,405, ,OVERALL,"BIOINFORMATICS"," ",68,77.38,10.97,95,52,68,0,0,0,0,0,0,0,0,0,0,2,3,7,3,2,7,10,13,13,8
UBC,2016,W,MICB,406, ,201,"Top Mol Virology","Horwitz, Marc;Jean, Francois",24,88.67,6.22,97,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,14
UBC,2016,W,MICB,406, ,OVERALL,"Top Mol Virology"," ",24,88.67,6.22,97,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,14
UBC,2016,W,MICB,407, ,101,"VIRAL INFEC HUMN","Gantt, Soren;Horwitz, Marc",29,90.97,4.08,100,83,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18
UBC,2016,W,MICB,407, ,OVERALL,"VIRAL INFEC HUMN"," ",29,90.97,4.08,100,83,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18
UBC,2016,W,MICB,408, ,101,"ADV BACT PATHGNS","Thompson, Charles",24,81.29,8.3,91,62,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,8,4
UBC,2016,W,MICB,408, ,OVERALL,"ADV BACT PATHGNS"," ",24,81.29,8.3,91,62,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,8,4
UBC,2016,W,MICB,412, ,201,"Top Immun Resrch","Abraham, Ninan;Johnson, Pauline",23,88,5.95,96,78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,9
UBC,2016,W,MICB,412, ,OVERALL,"Top Immun Resrch"," ",23,88,5.95,96,78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,9
UBC,2016,W,MICB,418, ,201,"MICROBIO&BIOTECH","Smit, John Kenneth",59,72.83,19.98,97,0,51,7,1,0,0,1,1,0,3,2,7,3,0,4,1,3,7,1,16,6,10
