Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,MUSC,100, ,001,"PRNC MUSCL FORM","Roeder, John Barlow",64,75.22,12.14,97,50,59,0,2,3,0,0,0,0,0,0,0,3,4,3,6,6,9,3,7,12,6
UBC,2016,W,MUSC,100, ,OVERALL,"PRNC MUSCL FORM"," ",66,75.22,12.14,97,50,59,0,4,3,0,0,0,0,0,0,0,3,4,3,6,6,9,3,7,12,6
UBC,2016,W,MUSC,101, ,001,"DIATNC HRMNY&VCE","Poudrier, Eve",51,82.29,12.94,98,47,50,1,0,0,0,0,0,0,0,1,1,3,1,0,3,1,4,2,5,13,18
UBC,2016,W,MUSC,101, ,OVERALL,"DIATNC HRMNY&VCE"," ",51,82.29,12.94,98,47,50,1,0,0,0,0,0,0,0,1,1,3,1,0,3,1,4,2,5,13,18
UBC,2016,W,MUSC,103, ,001,"INTRO MUSC THRY","Konoval, Michael Brandon",73,76.8,18.4,99,7,67,3,1,0,0,1,1,0,1,0,3,4,3,3,4,6,4,5,10,11,17
UBC,2016,W,MUSC,103, ,002,"INTRO MUSC THRY","Palmer, James",15,80.8,11.71,99,60,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,5,0,5
UBC,2016,W,MUSC,103, ,OVERALL,"INTRO MUSC THRY"," ",88,77.51,17.42,99,7,82,3,1,0,0,1,1,0,1,0,3,4,3,4,6,7,4,6,15,11,22
UBC,2016,W,MUSC,104, ,001,"INTR TO DIATONIC","Konoval, Michael Brandon",20,78.13,11.65,94,55,16,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,2,1,5,1,3
UBC,2016,W,MUSC,104, ,002,"INTR TO DIATONIC","Palmer, James",14,75.64,16.91,97,38,13,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,1,4,1,3
UBC,2016,W,MUSC,104, ,OVERALL,"INTR TO DIATONIC"," ",34,76.97,14.14,97,38,29,1,1,1,0,0,0,0,1,0,1,2,2,0,0,3,3,2,9,2,6
UBC,2016,W,MUSC,105, ,001,"AURAL SKILLS I","Paslawski, Gordon",31,,,,,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MUSC,105, ,OVERALL,"AURAL SKILLS I"," ",32,,,,,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MUSC,106, ,001,"AURAL SKILLS II","Paslawski, Gordon",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MUSC,106, ,002,"AURAL SKILLS II","Paslawski, Gordon",29,,,,,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MUSC,106, ,OVERALL,"AURAL SKILLS II"," ",43,,,,,0,0,8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,MUSC,107, ,OVERALL,"COMPOSITION I"," ",13,85,2.83,90,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1
UBC,2016,W,MUSC,107,C,002,"COMPOSITION I","Chang Bortolussi, Dorothy;Chatman, Stephen",11,84.91,2.88,90,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1
UBC,2016,W,MUSC,107, ,OVERALL,"COMPOSITION I"," ",13,85,2.83,90,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1
UBC,2016,W,MUSC,108, ,001,"CNTMPRY ART MUSC","Chang Bortolussi, Dorothy;Pritchard, Robert",6,80.5,8.43,90,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1
UBC,2016,W,MUSC,108, ,OVERALL,"CNTMPRY ART MUSC"," ",6,80.5,8.43,90,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1
UBC,2016,W,MUSC,112, ,001,"CLASS BRASS&PERC","King, Sharman;Littleford, James S",17,84.25,9.41,95,56,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,5,5
UBC,2016,W,MUSC,112, ,OVERALL,"CLASS BRASS&PERC"," ",17,84.25,9.41,95,56,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,5,5
UBC,2016,W,MUSC,119, ,001,"INTR MUSIC TECH","Pritchard, Robert",92,73.94,20.1,98,0,82,5,4,1,0,3,0,1,0,1,5,6,4,2,6,10,7,5,12,10,20
