Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,S,BA  ,511, ,DD1,"COMMUN BUSNS PRJ","",47,89.15,4.4,96,76,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,24
UBC,2017,S,BA  ,511, ,OVERALL,"COMMUN BUSNS PRJ"," ",47,89.15,4.4,96,76,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,24
UBC,2017,S,BA  ,512, ,001,"BUS STR INT EX L","",25,83.68,7.26,90,66,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,10,4
UBC,2017,S,BA  ,512, ,002,"BUS STR INT EX L","",20,79.95,6.25,90,63,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,8,2,2
UBC,2017,S,BA  ,512, ,003,"BUS STR INT EX L","",27,86.81,4.1,90,74,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,13
UBC,2017,S,BA  ,512, ,004,"BUS STR INT EX L","",27,82.56,9.87,90,39,26,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,7,7,6
UBC,2017,S,BA  ,512, ,301,"BUS STR INT EX L","",19,85.63,3.89,91,79,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,2
UBC,2017,S,BA  ,512, ,302,"BUS STR INT EX L","",13,89.85,2.41,92,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
UBC,2017,S,BA  ,512, ,303,"BUS STR INT EX L","",15,91.2,1.61,94,88,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
UBC,2017,S,BA  ,512, ,OVERALL,"BUS STR INT EX L"," ",147,85.07,6.97,94,39,146,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,4,17,30,42,49
UBC,2017,S,BA  ,520, ,DD1,"CAREER DEVLPMT","",52,,,,,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,520, ,OVERALL,"CAREER DEVLPMT"," ",52,,,,,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530,A,001,"STUDY ABR'D&EXCH","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530, ,OVERALL,"STUDY ABR'D&EXCH"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530,B,001,"STUDY ABR'D&EXCH","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530, ,OVERALL,"STUDY ABR'D&EXCH"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530,C,001,"STUDY ABR'D&EXCH","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530, ,OVERALL,"STUDY ABR'D&EXCH"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530,D,001,"STUDY ABR'D&EXCH","",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,530, ,OVERALL,"STUDY ABR'D&EXCH"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,551, ,MM1,"BUSNS CAPSTONE","",54,,,,,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,BA  ,551, ,OVERALL,"BUSNS CAPSTONE"," ",54,,,,,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
