Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,S,EDCP,325, ,951,"APP TO HEALTH ED","Renwick, Kerry",21,95.14,3.23,100,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
UBC,2017,S,EDCP,325, ,OVERALL,"APP TO HEALTH ED"," ",21,95.14,3.23,100,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
UBC,2017,S,EDCP,327,A,951,"TPCS HEALTH ED","Petherick, LeAnne",25,84.92,4.21,94,78,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,7,5
UBC,2017,S,EDCP,327, ,OVERALL,"TPCS HEALTH ED"," ",25,84.92,4.21,94,78,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,7,5
UBC,2017,S,EDCP,328, ,951,"ENVIRONMTL ED","Scott, Sandra",28,96.46,0.79,98,95,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
UBC,2017,S,EDCP,328, ,OVERALL,"ENVIRONMTL ED"," ",28,96.46,0.79,98,95,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
UBC,2017,S,EDCP,329, ,96A,"AGRICLTR IN CURR","Massie, Joseph",24,91.13,9.11,100,55,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,17
UBC,2017,S,EDCP,329, ,OVERALL,"AGRICLTR IN CURR"," ",24,91.13,9.11,100,55,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,17
UBC,2017,S,EDCP,403, ,951,"VISUAL ART: 3D","Bogen, Kory",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDCP,403, ,OVERALL,"VISUAL ART: 3D"," ",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDCP,409, ,952,"ART ED THRY&RES","Han, Hsiao-Cheng",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDCP,409, ,OVERALL,"ART ED THRY&RES"," ",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
