Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,S,POLI,100, ,921,"INTRO TO POLITIC","Prest, Stewart",56,76.46,11.82,91,23,52,2,0,0,0,0,0,2,0,0,2,0,0,0,0,9,9,7,19,5,3
UBC,2017,S,POLI,100, ,OVERALL,"INTRO TO POLITIC"," ",56,76.46,11.82,91,23,52,2,0,0,0,0,0,2,0,0,2,0,0,0,0,9,9,7,19,5,3
UBC,2017,S,POLI,101, ,951,"GOVERNMENT CAN","BYRNE, MATTHEW",44,70.58,12.74,91,41,38,2,1,0,2,0,0,0,0,2,2,3,3,2,5,7,1,2,11,3,1
UBC,2017,S,POLI,101, ,OVERALL,"GOVERNMENT CAN"," ",44,70.58,12.74,91,41,38,2,1,0,2,0,0,0,0,2,2,3,3,2,5,7,1,2,11,3,1
UBC,2017,S,POLI,110, ,921,"INVESTIGAT POLIT","Breton, Charles",68,76.52,12.29,94,36,64,2,2,0,0,0,0,0,1,1,2,3,2,4,2,3,7,9,15,16,3
UBC,2017,S,POLI,110, ,OVERALL,"INVESTIGAT POLIT"," ",68,76.52,12.29,94,36,64,2,2,0,0,0,0,0,1,1,2,3,2,4,2,3,7,9,15,16,3
UBC,2017,S,POLI,240, ,921,"CUR POLI THOUGHT","Gagnon, Jennifer",28,77.48,4.24,85,70,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,3,4,0
UBC,2017,S,POLI,240, ,OVERALL,"CUR POLI THOUGHT"," ",28,77.48,4.24,85,70,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,3,4,0
UBC,2017,S,POLI,260, ,951,"INTRO GLOBAL POL","Alger, Justin",57,74.8,9.48,90,41,50,1,5,0,1,0,0,0,0,1,1,1,1,2,7,4,8,7,13,6,1
UBC,2017,S,POLI,260, ,OVERALL,"INTRO GLOBAL POL"," ",57,74.8,9.48,90,41,50,1,5,0,1,0,0,0,0,1,1,1,1,2,7,4,8,7,13,6,1
UBC,2017,S,POLI,308,B,951,"ISSUES CDN POLI","Baier, Gerald",17,78.35,2.83,85,74,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,1,0
UBC,2017,S,POLI,308, ,OVERALL,"ISSUES CDN POLI"," ",17,78.35,2.83,85,74,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,1,0
UBC,2017,S,POLI,321,A,951,"CHIN POLIT DEVEL","Kornreich, Yoel",64,75.51,10.91,87,28,59,2,1,0,0,0,0,1,0,1,2,2,1,0,3,5,11,10,18,9,0
UBC,2017,S,POLI,321, ,OVERALL,"CHIN POLIT DEVEL"," ",64,75.51,10.91,87,28,59,2,1,0,0,0,0,1,0,1,2,2,1,0,3,5,11,10,18,9,0
UBC,2017,S,POLI,326, ,921,"EUROPEAN POLITCS","Huebner, Kurt",10,89.1,1.85,92,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
UBC,2017,S,POLI,326, ,OVERALL,"EUROPEAN POLITCS"," ",10,89.1,1.85,92,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
UBC,2017,S,POLI,333,B,921,"ISSUES COMP PLTC","STECULA, DOMINIK",61,77.98,11.96,93,37,58,2,1,0,0,0,0,0,1,1,2,4,0,1,1,0,10,7,15,17,3
UBC,2017,S,POLI,333, ,OVERALL,"ISSUES COMP PLTC"," ",62,78.11,11.9,93,37,59,2,1,0,0,0,0,0,1,1,2,4,0,1,1,0,10,7,15,18,3
UBC,2017,S,POLI,373, ,921,"ETH WLD POL","Erickson, Chris",56,77.09,14.75,92,0,51,3,1,1,0,1,0,0,1,1,3,0,2,0,0,2,7,11,19,6,4
UBC,2017,S,POLI,373, ,OVERALL,"ETH WLD POL"," ",56,77.09,14.75,92,0,51,3,1,1,0,1,0,0,1,1,3,0,2,0,0,2,7,11,19,6,4
UBC,2017,S,POLI,464,F,921,"PROB INTRL RELTN","Farkasch, Robert",19,79.63,4.61,86,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,0
UBC,2017,S,POLI,464, ,OVERALL,"PROB INTRL RELTN"," ",19,79.63,4.61,86,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,0
UBC,2017,S,POLI,549,B,941,"MASTERS THESIS","",24,85.43,4.83,90,76,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2
UBC,2017,S,POLI,549,B,942,"MASTERS THESIS","",4,87,0.82,88,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2017,S,POLI,549, ,OVERALL,"MASTERS THESIS"," ",28,86,3.85,90,76,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2
UBC,2017,S,POLI,649, ,941,"DOC DISSERTATION","",50,,,,,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,POLI,649, ,OVERALL,"DOC DISSERTATION"," ",53,,,,,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
