Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,ARTH,101, ,001,"WAYS OF SEEING","Horacek, Ivana",105,74.8,10.79,95,24,100,2,2,0,0,0,0,1,1,0,2,4,1,1,4,15,18,18,23,13,3
UBC,2017,W,ARTH,101, ,OVERALL,"WAYS OF SEEING"," ",107,74.8,10.79,95,24,100,2,4,0,0,0,0,1,1,0,2,4,1,1,4,15,18,18,23,13,3
UBC,2017,W,ARTH,102, ,001,"CRISIS & CONTRAD","Salgirli, Saygin",107,75.99,15.69,98,0,100,5,2,0,0,1,0,1,1,2,5,1,2,8,10,7,13,12,14,8,25
UBC,2017,W,ARTH,102, ,OVERALL,"CRISIS & CONTRAD"," ",109,75.99,15.69,98,0,100,5,4,0,0,1,0,1,1,2,5,1,2,8,10,7,13,12,14,8,25
UBC,2017,W,ARTH,225, ,001,"PRE 1600 EUR","Salgirli, Saygin",54,86.96,9.06,98,45,50,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,9,11,25
UBC,2017,W,ARTH,225, ,OVERALL,"PRE 1600 EUR"," ",55,86.96,9.06,98,45,50,1,2,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,9,11,25
UBC,2017,W,ARTH,226, ,001,"ART GLOB EXPAN","Ryan, Maureen",55,77.33,5.86,88,57,54,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,14,13,16,5,0
UBC,2017,W,ARTH,226, ,OVERALL,"ART GLOB EXPAN"," ",55,77.33,5.86,88,57,54,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,14,13,16,5,0
UBC,2017,W,ARTH,227, ,001,"VIS ENV MOD&POST","Adriasola Munoz, Ignacio Alber",61,77.1,13,94,0,59,1,1,0,0,1,0,0,0,0,1,1,0,1,3,7,7,13,14,8,5
UBC,2017,W,ARTH,227, ,002,"VIS ENV MOD&POST","Smith, Tai",60,77.69,11.24,96,34,57,2,0,1,0,0,0,0,1,1,2,0,0,3,4,6,5,7,15,10,7
UBC,2017,W,ARTH,227, ,OVERALL,"VIS ENV MOD&POST"," ",122,77.39,12.11,96,0,116,3,2,1,0,1,0,0,1,1,3,1,0,4,7,13,12,20,29,18,12
UBC,2017,W,ARTH,253, ,001,"ASIA ARCH SPACE ","Hacker, Katherine",20,77.72,6.81,88,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,4,0
UBC,2017,W,ARTH,253, ,OVERALL,"ASIA ARCH SPACE "," ",20,77.72,6.81,88,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,4,0
UBC,2017,W,ARTH,300, ,001,"ART HX METHODS","Smith, Tai",38,79.69,21.75,95,0,33,3,2,0,0,1,1,1,0,0,3,0,0,1,1,0,2,0,6,11,12
UBC,2017,W,ARTH,300, ,002,"ART HX METHODS","Soussloff, Catherine",8,78,6.56,86,71,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
UBC,2017,W,ARTH,300, ,OVERALL,"ART HX METHODS"," ",48,79.42,20.02,95,0,40,3,5,0,0,1,1,1,0,0,3,0,0,1,1,1,4,1,7,13,12
UBC,2017,W,ARTH,311, ,001,"EAR MED WEST","Knicely Guilbaut, Carol",31,77.15,10.38,92,52,27,0,1,2,0,0,0,0,0,0,0,1,1,2,1,2,2,2,11,2,3
UBC,2017,W,ARTH,311, ,OVERALL,"EAR MED WEST"," ",31,77.15,10.38,92,52,27,0,1,2,0,0,0,0,0,0,0,1,1,2,1,2,2,2,11,2,3
UBC,2017,W,ARTH,321, ,001,"ART&CULT 1350-","Monteyne, Joseph",72,76.3,15.04,95,0,65,2,2,1,0,1,0,0,1,0,2,2,3,1,2,10,5,7,15,14,6
UBC,2017,W,ARTH,321, ,OVERALL,"ART&CULT 1350-"," ",72,76.3,15.04,95,0,65,2,2,1,0,1,0,0,1,0,2,2,3,1,2,10,5,7,15,14,6
UBC,2017,W,ARTH,338, ,001,"VIS CULTURE 18 C","Ryan, Maureen",64,74.92,12.37,91,0,58,1,1,0,0,1,0,0,0,0,1,1,1,1,4,6,7,18,13,6,1
UBC,2017,W,ARTH,338, ,OVERALL,"VIS CULTURE 18 C"," ",64,74.92,12.37,91,0,58,1,1,0,0,1,0,0,0,0,1,1,1,1,4,6,7,18,13,6,1
UBC,2017,W,ARTH,339, ,001,"19TH CENTURY ART","Ryan, Maureen",81,75.27,12.53,90,0,75,3,1,0,0,1,0,1,0,1,3,0,1,0,2,8,16,15,28,4,1
UBC,2017,W,ARTH,339, ,OVERALL,"19TH CENTURY ART"," ",81,75.27,12.53,90,0,75,3,1,0,0,1,0,1,0,1,3,0,1,0,2,8,16,15,28,4,1
UBC,2017,W,ARTH,340, ,001,"MODERNISM","Mansoor, Jaleh",70,81.54,12.87,95,10,64,1,1,0,0,0,1,0,0,0,1,2,1,0,1,3,2,8,16,14,17
UBC,2017,W,ARTH,340, ,OVERALL,"MODERNISM"," ",70,81.54,12.87,95,10,64,1,1,0,0,0,1,0,0,0,1,2,1,0,1,3,2,8,16,14,17
UBC,2017,W,ARTH,341, ,001,"POSTMODERN ART","Carter, Kristen",77,73.99,10.07,90,40,70,1,2,0,0,0,0,0,0,1,1,3,2,2,10,10,5,14,13,10,1
UBC,2017,W,ARTH,341, ,OVERALL,"POSTMODERN ART"," ",77,73.99,10.07,90,40,70,1,2,0,0,0,0,0,0,1,1,3,2,2,10,10,5,14,13,10,1
UBC,2017,W,ARTH,344, ,001,"CDN PHOTO -1920","Silver, Erin",75,80.74,9.25,97,52,70,0,3,1,0,0,0,0,0,0,0,1,2,2,1,3,6,11,19,16,9
UBC,2017,W,ARTH,344, ,OVERALL,"CDN PHOTO -1920"," ",75,80.74,9.25,97,52,70,0,3,1,0,0,0,0,0,0,0,1,2,2,1,3,6,11,19,16,9
UBC,2017,W,ARTH,345, ,001,"HIST OF PHOTOGRY","Silver, Erin",72,80.41,9.49,96,25,69,1,2,0,0,0,0,1,0,0,1,0,0,1,2,0,8,17,18,15,8
UBC,2017,W,ARTH,345, ,OVERALL,"HIST OF PHOTOGRY"," ",72,80.41,9.49,96,25,69,1,2,0,0,0,0,1,0,0,1,0,0,1,2,0,8,17,18,15,8
UBC,2017,W,ARTH,351,B,001,"ART ARCH ISLAMIC","Salgirli, Saygin",47,85.23,11.49,98,45,45,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,4,7,12,18
UBC,2017,W,ARTH,351, ,OVERALL,"ART ARCH ISLAMIC"," ",47,85.23,11.49,98,45,45,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,4,7,12,18
UBC,2017,W,ARTH,352, ,001,"HISTORIC INDIA","Hacker, Katherine",24,75.55,13.34,90,37,20,2,2,0,0,0,0,0,1,1,2,0,0,1,0,3,1,5,4,5,1
UBC,2017,W,ARTH,352, ,OVERALL,"HISTORIC INDIA"," ",24,75.55,13.34,90,37,20,2,2,0,0,0,0,0,1,1,2,0,0,1,0,3,1,5,4,5,1
UBC,2017,W,ARTH,353, ,001,"NEPAL & TIBET","Hacker, Katherine",38,75.71,8.46,93,47,37,1,0,0,0,0,0,0,0,1,1,0,1,0,2,4,11,4,10,3,2
UBC,2017,W,ARTH,353, ,OVERALL,"NEPAL & TIBET"," ",38,75.71,8.46,93,47,37,1,0,0,0,0,0,0,0,1,1,0,1,0,2,4,11,4,10,3,2
UBC,2017,W,ARTH,358, ,001,"CHIN ART AFTRLFE","Orell, Julia",36,72.61,15.51,91,6,30,1,1,1,0,1,0,0,0,0,1,0,2,2,3,3,7,3,4,5,1
UBC,2017,W,ARTH,358, ,OVERALL,"CHIN ART AFTRLFE"," ",36,72.61,15.51,91,6,30,1,1,1,0,1,0,0,0,0,1,0,2,2,3,3,7,3,4,5,1
UBC,2017,W,ARTH,363, ,001,"JPN: PROB PAINT","Adriasola Munoz, Ignacio Alber",38,78.71,7.76,91,56,35,0,3,0,0,0,0,0,0,0,0,0,1,0,0,6,4,7,8,5,4
UBC,2017,W,ARTH,363, ,OVERALL,"JPN: PROB PAINT"," ",38,78.71,7.76,91,56,35,0,3,0,0,0,0,0,0,0,0,0,1,0,0,6,4,7,8,5,4
UBC,2017,W,ARTH,368, ,001,"JPN: PRINT MEDIA","Adriasola Munoz, Ignacio Alber",33,76.5,15.98,87,0,30,2,1,0,0,1,0,0,0,1,2,0,0,0,0,2,5,4,13,6,0
