Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,ASTU,100, ,G01,"CAP SEMINAR","McNeill, Laurie",24,73.73,7.13,85,57,22,0,2,0,0,0,0,0,0,0,0,0,1,1,2,4,3,7,3,1,0
UBC,2017,W,ASTU,100, ,G02,"CAP SEMINAR","Luger, Moberley",24,66.33,16.25,85,26,20,4,0,0,0,0,0,1,1,2,4,1,1,1,3,2,1,6,4,1,0
UBC,2017,W,ASTU,100, ,G03,"CAP SEMINAR","Luger, Moberley",23,70.14,14.77,87,20,21,1,1,0,0,0,0,1,0,0,1,1,2,1,1,3,3,5,3,2,0
UBC,2017,W,ASTU,100, ,G04,"CAP SEMINAR","Luger, Moberley",20,63.16,20.24,85,1,15,4,1,0,0,1,0,0,1,2,4,0,1,0,3,3,4,1,2,1,0
UBC,2017,W,ASTU,100, ,I01,"CAP SEMINAR","Mauro, Evan",24,73,8.48,88,60,24,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,2,5,2,0
UBC,2017,W,ASTU,100, ,I02,"CAP SEMINAR","Mauro, Evan",24,68.88,15.97,84,0,23,1,0,0,0,1,0,0,0,0,1,0,1,1,3,3,9,4,2,0,0
UBC,2017,W,ASTU,100, ,I03,"CAP SEMINAR","Mauro, Evan",24,73.21,6.53,86,57,24,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,7,5,3,1,0
UBC,2017,W,ASTU,100, ,I04,"CAP SEMINAR","Tastekin, Emel",26,74.42,17.97,93,8,25,1,0,0,0,1,0,0,0,0,1,2,0,2,2,1,2,4,4,3,5
UBC,2017,W,ASTU,100, ,I05,"CAP SEMINAR","Tastekin, Emel",21,78.74,9.81,93,62,19,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3,1,0,6
UBC,2017,W,ASTU,100, ,L01,"CAP SEMINAR","McAlister, Sean",24,74.25,8.84,85,43,23,1,0,0,0,0,0,0,0,1,1,0,0,0,3,3,5,5,6,1,0
