Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,GRS ,290, ,001,"GLOBAL ISSUES","",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,290, ,OVERALL,"GLOBAL ISSUES"," ",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,390, ,001,"GLOBAL ISSUES","",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,390, ,104,"GLOBAL ISSUES","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,390, ,OVERALL,"GLOBAL ISSUES"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,397, ,OVERALL,"REG DIR FLD STUD"," ",8,91.5,5.18,96,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
UBC,2017,W,GRS ,397,B,004,"REG DIR FLD STUD","",5,94,2.35,96,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2017,W,GRS ,397, ,OVERALL,"REG DIR FLD STUD"," ",8,91.5,5.18,96,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
UBC,2017,W,GRS ,490, ,001,"GLOBAL ISSUES","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,490, ,103,"GLOBAL ISSUES","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,490, ,104,"GLOBAL ISSUES","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,490, ,OVERALL,"GLOBAL ISSUES"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,GRS ,497,B,001,"REG DIR FLD STUD","",8,94.25,2.82,98,90,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2017,W,GRS ,497,B,002,"REG DIR FLD STUD","",11,94.18,2.75,98,88,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
UBC,2017,W,GRS ,497, ,OVERALL,"REG DIR FLD STUD"," ",23,93.91,2.89,98,87,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
UBC,2017,W,GRS ,497, ,OVERALL,"REG DIR FLD STUD"," ",23,93.91,2.89,98,87,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
