Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,KIN ,101, ,001,"COOP WORK PLCMNT","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,KIN ,101, ,002,"COOP WORK PLCMNT","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,KIN ,101, ,OVERALL,"COOP WORK PLCMNT"," ",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,KIN ,103, ,L1A,"ACTIVE HEALTH","",36,73.49,7.81,86,53,35,0,1,0,0,0,0,0,0,0,0,1,1,2,3,5,5,10,6,2,0
UBC,2017,W,KIN ,103, ,L1B,"ACTIVE HEALTH","",37,73.36,6.8,84,55,36,0,0,1,0,0,0,0,0,0,0,0,3,0,1,7,12,6,7,0,0
UBC,2017,W,KIN ,103, ,L1C,"ACTIVE HEALTH","",36,71.17,7.53,81,45,35,1,0,0,0,0,0,0,0,1,1,0,0,4,5,8,7,5,6,0,0
UBC,2017,W,KIN ,103, ,L2A,"ACTIVE HEALTH","",35,70.86,9.91,89,41,34,1,0,0,0,0,0,0,0,1,1,2,2,1,4,6,7,7,3,2,0
UBC,2017,W,KIN ,103, ,L2B,"ACTIVE HEALTH","",38,76.55,8.27,90,56,38,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,9,3,12,4,1
UBC,2017,W,KIN ,103, ,L2C,"ACTIVE HEALTH","",34,72.12,6.76,88,57,34,0,0,0,0,0,0,0,0,0,0,0,2,1,3,11,5,9,2,1,0
UBC,2017,W,KIN ,103, ,OVERALL,"ACTIVE HEALTH"," ",218,72.97,8.07,90,41,212,2,2,2,0,0,0,0,0,2,2,3,9,11,18,40,45,40,36,9,1
UBC,2017,W,KIN ,115,A,0A1,"PERF ANYL SPORTS","",19,85.26,3.93,91,77,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,3
UBC,2017,W,KIN ,115,A,0A2,"PERF ANYL SPORTS","",12,84.33,6.12,93,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3
UBC,2017,W,KIN ,115, ,OVERALL,"PERF ANYL SPORTS"," ",64,83.27,6.05,93,64,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,8,17,20,11
UBC,2017,W,KIN ,115,B,0B1,"PERF ANYL SPORTS","",17,81.29,7.66,91,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,4,3
