Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,LATN,101, ,001,"1YR LATIN I","Gorrie, Charmaine",29,74.85,21.31,99,23,24,2,2,0,0,0,0,1,0,1,2,4,3,1,0,0,0,2,1,5,8
UBC,2017,W,LATN,101, ,002,"1YR LATIN I","O'Hogan, Cillian",30,73.04,16.39,96,43,23,3,2,1,1,0,0,0,0,3,3,0,3,3,0,2,2,3,2,2,6
UBC,2017,W,LATN,101, ,003,"1YR LATIN I","Reid, Shelley",25,68.21,19.51,92,3,23,1,1,0,0,1,0,0,0,0,1,4,1,1,3,3,4,0,2,1,4
UBC,2017,W,LATN,101, ,004,"1YR LATIN I","Rae, Andrea Lyn",30,79.07,16.7,100,41,25,3,1,0,0,0,0,0,0,3,3,0,1,2,1,1,0,2,6,4,8
UBC,2017,W,LATN,101, ,005,"1YR LATIN I","Rae, Andrea Lyn",34,71.33,22.76,99,10,26,4,3,0,1,0,2,0,1,1,4,0,2,3,2,2,3,0,4,5,5
UBC,2017,W,LATN,101, ,OVERALL,"1YR LATIN I"," ",148,73.4,19.6,100,3,121,13,9,1,2,1,2,1,1,8,13,8,10,10,6,8,9,7,15,17,31
UBC,2017,W,LATN,102, ,001,"1YR LATIN II","Gorrie, Charmaine",21,74.05,20.89,98,29,17,3,1,0,0,0,0,1,1,1,3,1,1,0,1,1,1,2,3,1,6
UBC,2017,W,LATN,102, ,002,"1YR LATIN II","Reid, Shelley",14,71.14,14.32,90,50,14,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,2,1,2,2
UBC,2017,W,LATN,102, ,003,"1YR LATIN II","Minard, Antone Lanata",12,69.33,19.87,93,45,10,2,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,1,3,2
UBC,2017,W,LATN,102, ,OVERALL,"1YR LATIN II"," ",47,71.93,18.55,98,29,41,5,1,0,0,0,0,1,1,3,5,5,4,2,3,1,1,4,5,6,10
UBC,2017,W,LATN,201, ,001,"2YR LATIN I","Gorrie, Charmaine",17,75.94,11.15,95,53,17,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,4,2,3,1
UBC,2017,W,LATN,201, ,002,"2YR LATIN I","Rae, Andrea Lyn",15,80.62,15.62,100,50,13,0,0,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,3,0,5
UBC,2017,W,LATN,201, ,OVERALL,"2YR LATIN I"," ",32,77.97,13.24,100,50,30,0,0,2,0,0,0,0,0,0,0,2,1,2,1,3,3,4,5,3,6
UBC,2017,W,LATN,202, ,001,"2YR LATIN II","Gorrie, Charmaine",16,73.69,15.08,95,44,15,1,0,0,0,0,0,0,0,1,1,2,0,0,2,1,1,0,5,3,1
UBC,2017,W,LATN,202, ,002,"2YR LATIN II","Rae, Andrea Lyn",17,81.75,13.82,99,55,16,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,1,6
UBC,2017,W,LATN,202, ,OVERALL,"2YR LATIN II"," ",33,77.72,14.8,99,44,31,1,0,1,0,0,0,0,0,1,1,2,1,1,3,1,2,3,7,4,7
UBC,2017,W,LATN,350, ,001,"LATN LIT CLS PRS","Rae, Andrea Lyn",13,77.17,10.6,89,60,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,5,0
UBC,2017,W,LATN,350, ,OVERALL,"LATN LIT CLS PRS"," ",13,77.17,10.6,89,60,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,5,0
UBC,2017,W,LATN,351, ,001,"LATN LIT CLS VRS","Gorrie, Charmaine",11,77.91,14.45,93,50,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,2
UBC,2017,W,LATN,351, ,OVERALL,"LATN LIT CLS VRS"," ",11,77.91,14.45,93,50,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,2
UBC,2017,W,LATN,401,C,001,"LATIN PROSE","Huemoeller, Katharine",5,85.8,7.12,96,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
UBC,2017,W,LATN,401, ,OVERALL,"LATIN PROSE"," ",5,85.8,7.12,96,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
UBC,2017,W,LATN,402,B,001,"LATIN VERSE","O'Hogan, Cillian",7,85.57,11.72,98,63,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
UBC,2017,W,LATN,402, ,OVERALL,"LATIN VERSE"," ",7,85.57,11.72,98,63,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
