Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,LIBR,504, ,001,"INFO ORG MGMT","Farrell, Adam",28,92.33,2.5,96,88,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23
UBC,2017,W,LIBR,504, ,002,"INFO ORG MGMT","Freeman, Andrea;Middlemass, Christine",37,90.97,1.87,94,88,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27
UBC,2017,W,LIBR,504, ,OVERALL,"INFO ORG MGMT"," ",65,91.56,2.25,96,88,62,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,50
UBC,2017,W,LIBR,506, ,001,"HUMAN-INFRMATION","Freund, Luanne",41,82.15,3.71,88,72,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,23,10,0
UBC,2017,W,LIBR,506, ,002,"HUMAN-INFRMATION","O'Brien, Heather",40,84.82,1.45,88,82,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0
UBC,2017,W,LIBR,506, ,OVERALL,"HUMAN-INFRMATION"," ",81,83.43,3.14,88,72,79,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,42,29,0
UBC,2017,W,LIBR,507, ,001,"METHS OF RESRCH","Kopak, Richard",44,83,1.67,86,79,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,32,8,0
UBC,2017,W,LIBR,507, ,002,"METHS OF RESRCH","Kopak, Richard",40,83.61,1.53,87,81,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0
UBC,2017,W,LIBR,507, ,OVERALL,"METHS OF RESRCH"," ",84,83.29,1.62,87,79,80,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,62,16,0
UBC,2017,W,LIBR,508, ,001,"INFO PRACTICES","Arias Hernandez, Richard",44,88.43,3.18,93,78,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,19
UBC,2017,W,LIBR,508, ,002,"INFO PRACTICES","Arias Hernandez, Richard",40,89.16,2.4,94,81,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,20
UBC,2017,W,LIBR,508, ,OVERALL,"INFO PRACTICES"," ",84,88.77,2.85,94,78,82,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,38,39
UBC,2017,W,LIBR,509, ,001,"RESDESC KNOWORG","Bullard, Julia",43,87.05,6.89,100,62,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,18,15
UBC,2017,W,LIBR,509, ,002,"RESDESC KNOWORG","Bullard, Julia",40,88.95,2.81,95,81,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,14
UBC,2017,W,LIBR,509, ,OVERALL,"RESDESC KNOWORG"," ",83,87.94,5.43,100,62,81,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6,40,29
UBC,2017,W,LIBR,511, ,001,"CATLG & CLASS","Ehrensperger, Florian",19,83.33,4.69,87,66,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,9,0
UBC,2017,W,LIBR,511, ,OVERALL,"CATLG & CLASS"," ",19,83.33,4.69,87,66,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,9,0
UBC,2017,W,LIBR,512, ,002,"INDEXING","Ehrensperger, Florian",21,86.5,5.99,91,70,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,6
UBC,2017,W,LIBR,512, ,OVERALL,"INDEXING"," ",21,86.5,5.99,91,70,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,6
UBC,2017,W,LIBR,514,F,001,"TPCS BBL CTL INF","Lemieux, Victoria",16,87.27,6.37,96,71,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,7
UBC,2017,W,LIBR,514, ,OVERALL,"TPCS BBL CTL INF"," ",28,88,6.18,97,71,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,13
UBC,2017,W,LIBR,514, ,OVERALL,"TPCS BBL CTL INF"," ",28,88,6.18,97,71,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,13
UBC,2017,W,LIBR,514, ,OVERALL,"TPCS BBL CTL INF"," ",28,88,6.18,97,71,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,13
UBC,2017,W,LIBR,514,K,002,"TPCS BBL CTL INF","Lemieux, Victoria",7,91.86,5.43,97,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
UBC,2017,W,LIBR,514, ,OVERALL,"TPCS BBL CTL INF"," ",28,88,6.18,97,71,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,13
UBC,2017,W,LIBR,516, ,001,"INFO ASSET MGMT","Bradley, Alexandra",19,88.26,2.02,92,84,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5
UBC,2017,W,LIBR,516, ,OVERALL,"INFO ASSET MGMT"," ",19,88.26,2.02,92,84,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5
UBC,2017,W,LIBR,520, ,001,"CHILD LITERATURE","Ozirny, Shannon",24,81.13,4.59,92,71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,14,3,1
UBC,2017,W,LIBR,520, ,OVERALL,"CHILD LITERATURE"," ",24,81.13,4.59,92,71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,14,3,1
UBC,2017,W,LIBR,526, ,002,"LIT & MATRL Y AD","Meyers, Eric",28,85.89,3.25,92,77,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,2
UBC,2017,W,LIBR,526, ,OVERALL,"LIT & MATRL Y AD"," ",28,85.89,3.25,92,77,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,2
UBC,2017,W,LIBR,528, ,002," YOUNG ADLT SERV","Caldwell, Jennifer",21,89.19,4.04,95,81,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8
UBC,2017,W,LIBR,528, ,OVERALL," YOUNG ADLT SERV"," ",21,89.19,4.04,95,81,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8
UBC,2017,W,LIBR,530, ,001,"SUBJ INFO SERVIC","Didegah, Fereshteh",7,93.14,4.26,97,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
UBC,2017,W,LIBR,530, ,OVERALL,"SUBJ INFO SERVIC"," ",7,93.14,4.26,97,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
UBC,2017,W,LIBR,533, ,002,"LEGAL INF SERV","Petrie, Carolyn",24,87.22,2.24,92,83,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4
UBC,2017,W,LIBR,533, ,OVERALL,"LEGAL INF SERV"," ",24,87.22,2.24,92,83,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4
UBC,2017,W,LIBR,535, ,001,"INSTRUCTNL ROLE","Meyers, Eric",22,84.55,3.31,91,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,1
UBC,2017,W,LIBR,535, ,002,"INSTRUCTNL ROLE","Hunt, Fiona",21,93.14,3.2,99,84,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19
UBC,2017,W,LIBR,535, ,OVERALL,"INSTRUCTNL ROLE"," ",43,88.74,5.41,99,78,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,13,20
UBC,2017,W,LIBR,539,J,002,"SPECIALIZED MATS","Abdul-Mageed, Muhammad;Freund, Luanne",19,84.05,2.32,88,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0
UBC,2017,W,LIBR,539, ,OVERALL,"SPECIALIZED MATS"," ",19,84.05,2.32,88,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0
UBC,2017,W,LIBR,541, ,001,"NEW MEDIA","Meyers, Eric",21,86.24,2.17,90,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1
UBC,2017,W,LIBR,541, ,OVERALL,"NEW MEDIA"," ",21,86.24,2.17,90,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1
UBC,2017,W,LIBR,554, ,001,"DATABASE DESIGN","Mooney, Gabrielle",19,90.78,7.07,98,68,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,12
UBC,2017,W,LIBR,554, ,002,"DATABASE DESIGN","Arias Hernandez, Richard",22,87.52,10.33,99,60,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,13
UBC,2017,W,LIBR,554, ,OVERALL,"DATABASE DESIGN"," ",41,89.03,9.01,99,60,39,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,5,25
UBC,2017,W,LIBR,555, ,001,"IN DESG I - SYST","Kopak, Richard",28,83.82,1.76,89,80,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0
UBC,2017,W,LIBR,555, ,002,"IN DESG I - SYST","Ballay, Laura",27,88.15,9.59,99,64,26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,8,12
UBC,2017,W,LIBR,555, ,OVERALL,"IN DESG I - SYST"," ",55,85.91,7.06,99,64,54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,23,15,12
UBC,2017,W,LIBR,556, ,002,"IN DESG II - DOC","Kopak, Richard",26,83.73,1.93,88,81,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0
UBC,2017,W,LIBR,556, ,OVERALL,"IN DESG II - DOC"," ",26,83.73,1.93,88,81,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0
UBC,2017,W,LIBR,559,C,001,"TPCS CP-BSED INF","Abdul-Mageed, Muhammad",10,90.13,3.44,94,85,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
UBC,2017,W,LIBR,559, ,OVERALL,"TPCS CP-BSED INF"," ",57,85.85,3.94,95,77,54,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,26,8
UBC,2017,W,LIBR,559,D,002,"TPCS CP-BSED INF","Abdul-Mageed, Muhammad",9,82.33,2.96,86,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0
UBC,2017,W,LIBR,559, ,OVERALL,"TPCS CP-BSED INF"," ",57,85.85,3.94,95,77,54,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,26,8
UBC,2017,W,LIBR,559,L,001,"TPCS CP-BSED INF","Meijer, Karen",15,86.2,1.52,90,84,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1
UBC,2017,W,LIBR,559, ,OVERALL,"TPCS CP-BSED INF"," ",57,85.85,3.94,95,77,54,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,26,8
UBC,2017,W,LIBR,559,S,001,"TPCS CP-BSED INF","Barsky, Eugene",23,85.5,4.22,95,77,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,6,4
UBC,2017,W,LIBR,559, ,OVERALL,"TPCS CP-BSED INF"," ",57,85.85,3.94,95,77,54,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,26,8
UBC,2017,W,LIBR,561, ,002,"INFO POLICY","Nathan, Lisa",22,84.86,1.06,87,83,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0
UBC,2017,W,LIBR,561, ,OVERALL,"INFO POLICY"," ",22,84.86,1.06,87,83,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0
UBC,2017,W,LIBR,569,A,002,"CUR ISS&TRND LIB","Nathan, Lisa",21,85.67,0.66,87,85,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
UBC,2017,W,LIBR,569, ,OVERALL,"CUR ISS&TRND LIB"," ",41,85.48,6.91,90,44,39,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,35,2
UBC,2017,W,LIBR,569,C,002,"CUR ISS&TRND LIB","Bullard, Julia",20,85.26,10.14,90,44,18,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,14,2
UBC,2017,W,LIBR,569, ,OVERALL,"CUR ISS&TRND LIB"," ",41,85.48,6.91,90,44,39,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,35,2
UBC,2017,W,LIBR,569, ,OVERALL,"CUR ISS&TRND LIB"," ",41,85.48,6.91,90,44,39,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,35,2
UBC,2017,W,LIBR,574, ,002,"PROJ MANAGEMENT","Smith, Trevor Douglas",25,82.84,2.17,87,78,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,7,0
