Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,S,APBI,200, ,98A,"INTR SOIL SCIE","Padda, Kiran",31,71.42,16.56,96,29,22,2,5,1,1,0,0,1,0,1,2,2,2,0,0,3,1,3,8,1,2
UBC,2018,S,APBI,200, ,OVERALL,"INTR SOIL SCIE"," ",31,71.42,16.56,96,29,22,2,5,1,1,0,0,1,0,1,2,2,2,0,0,3,1,3,8,1,2
UBC,2018,S,APBI,314, ,941,"ANIMALS&SOCIETY","Ormandy, Elisabeth",38,81.46,9.47,96,42,36,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,3,4,10,13,4
UBC,2018,S,APBI,314, ,OVERALL,"ANIMALS&SOCIETY"," ",38,81.46,9.47,96,42,36,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,3,4,10,13,4
UBC,2018,S,APBI,365, ,951,"PRACT SUSTN AGRI","",5,93.6,2.07,96,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2018,S,APBI,365, ,OVERALL,"PRACT SUSTN AGRI"," ",5,93.6,2.07,96,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2018,S,APBI,428, ,98A,"INTEGR PEST MAN","Akhtar, Yasmin",24,78.45,11.9,90,30,21,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,11,2,2
UBC,2018,S,APBI,428, ,OVERALL,"INTEGR PEST MAN"," ",24,78.45,11.9,90,30,21,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,11,2,2
UBC,2018,S,APBI,490, ,921,"TPCS APPL BIOLGY","Castellarin, Simone",6,86,4.94,92,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
UBC,2018,S,APBI,490, ,OVERALL,"TPCS APPL BIOLGY"," ",6,86,4.94,92,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
UBC,2018,S,APBI,496, ,OVERALL,"APBI PRACTICUM"," ",12,84.17,5.15,93,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,2
UBC,2018,S,APBI,496,B,951,"APBI PRACTICUM","Dubois, Sara",9,83.11,4.88,92,76,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1
UBC,2018,S,APBI,496, ,OVERALL,"APBI PRACTICUM"," ",12,84.17,5.15,93,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,2
UBC,2018,S,APBI,497, ,OVERALL,"DIR STUDIES"," ",7,90,5.77,95,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
UBC,2018,S,APBI,497,B,002,"DIR STUDIES","",4,88.25,7.32,94,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
UBC,2018,S,APBI,497, ,OVERALL,"DIR STUDIES"," ",7,90,5.77,95,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
UBC,2018,S,APBI,497, ,OVERALL,"DIR STUDIES"," ",7,90,5.77,95,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
UBC,2018,S,APBI,497, ,OVERALL,"DIR STUDIES"," ",7,90,5.77,95,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
