Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,S,ARCH,538,K,001,"ARCH ABROAD","Macdonald, Christopher",8,80.75,4.23,85,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0
UBC,2018,S,ARCH,538, ,OVERALL,"ARCH ABROAD"," ",11,81.64,3.96,86,75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,0
UBC,2018,S,ARCH,538, ,OVERALL,"ARCH ABROAD"," ",11,81.64,3.96,86,75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,0
UBC,2018,S,ARCH,544,G,001,"SEMINR ARCHTECTR","Roecker, Inge",12,84.4,1.43,86,82,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0
UBC,2018,S,ARCH,544, ,OVERALL,"SEMINR ARCHTECTR"," ",32,85.47,3.45,90,78,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,8
UBC,2018,S,ARCH,544,H,001,"SEMINR ARCHTECTR","Tak, Thena",13,83.85,3.39,90,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1
UBC,2018,S,ARCH,544, ,OVERALL,"SEMINR ARCHTECTR"," ",32,85.47,3.45,90,78,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,8
UBC,2018,S,ARCH,544,Y,001,"SEMINR ARCHTECTR","Johnson, Gregory",7,90,0,90,90,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
UBC,2018,S,ARCH,544, ,OVERALL,"SEMINR ARCHTECTR"," ",32,85.47,3.45,90,78,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,8
UBC,2018,S,ARCH,545,A,941,"DRECTD STDY ARCH","",18,85.8,3.75,90,78,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,2
UBC,2018,S,ARCH,545, ,OVERALL,"DRECTD STDY ARCH"," ",27,84.79,4.09,90,77,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,3
UBC,2018,S,ARCH,545,B,942,"DRECTD STDY ARCH","",9,83.11,4.28,90,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1
UBC,2018,S,ARCH,545, ,OVERALL,"DRECTD STDY ARCH"," ",27,84.79,4.09,90,77,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,3
UBC,2018,S,ARCH,545, ,OVERALL,"DRECTD STDY ARCH"," ",27,84.79,4.09,90,77,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,3
UBC,2018,S,ARCH,551, ,001,"COMM CONSTRUC","Johnson, Gregory",45,85.53,9.96,98,60,43,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,5,2,3,8,20
UBC,2018,S,ARCH,551, ,OVERALL,"COMM CONSTRUC"," ",45,85.53,9.96,98,60,43,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,5,2,3,8,20
UBC,2018,S,ARCH,555, ,941,"CO-OP EDUC","Johnson, Gregory",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,ARCH,555, ,OVERALL,"CO-OP EDUC"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,ARCH,556, ,942,"CO-OP WORK 2","Johnson, Gregory",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,ARCH,556, ,OVERALL,"CO-OP WORK 2"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,ARCH,577,B,001,"SMNR DESGN MEDIA","Cloutier, Roy",38,81.82,7.27,96,65,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,13,11,5
UBC,2018,S,ARCH,577, ,OVERALL,"SMNR DESGN MEDIA"," ",38,81.82,7.27,96,65,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,13,11,5
UBC,2018,S,ARCH,597,B,001,"SPECIAL TOPICS","Meyboom, Annalisa",7,87.29,4.86,92,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
UBC,2018,S,ARCH,597, ,OVERALL,"SPECIAL TOPICS"," ",7,87.29,4.86,92,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
