Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,S,CPSC,103, ,V01,"INTRO SYS PRG DS","Allen, Meghan",29,76.03,13.46,98,45,26,3,0,0,0,0,0,0,0,3,3,0,1,0,1,2,6,3,5,5,3
UBC,2018,S,CPSC,103, ,OVERALL,"INTRO SYS PRG DS"," ",29,76.03,13.46,98,45,26,3,0,0,0,0,0,0,0,3,3,0,1,0,1,2,6,3,5,5,3
UBC,2018,S,CPSC,110, ,911,"COMPTN, PROGRMNG","Kiczales, Gregor",197,72.69,16.21,97,27,143,29,19,1,2,0,0,1,0,28,29,1,5,10,10,14,15,11,31,23,23
UBC,2018,S,CPSC,110, ,9CH,"COMPTN, PROGRMNG","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,CPSC,110, ,OVERALL,"COMPTN, PROGRMNG"," ",220,72.69,16.21,97,27,143,29,36,1,8,0,0,1,0,28,29,1,5,10,10,14,15,11,31,23,23
UBC,2018,S,CPSC,121, ,911,"MODEL COMPTN","Heeren, Cinda",131,78.19,14.17,97,35,115,11,5,0,0,0,0,0,2,9,11,0,2,4,4,8,17,5,23,26,26
UBC,2018,S,CPSC,121, ,V01,"MODEL COMPTN","Allen, Meghan",45,76.98,13.54,99,45,41,4,0,0,0,0,0,0,0,4,4,0,1,0,2,7,4,5,6,11,5
UBC,2018,S,CPSC,121, ,OVERALL,"MODEL COMPTN"," ",184,77.87,13.98,99,35,156,15,13,0,0,0,0,0,2,13,15,0,3,4,6,15,21,10,29,37,31
UBC,2018,S,CPSC,210, ,921,"SFTWR CONSTRUCTN","Madooei, Ali",167,76,14.97,99,18,139,14,12,0,2,0,1,1,0,12,14,4,2,4,11,12,13,19,23,26,25
UBC,2018,S,CPSC,210, ,L2A,"SFTWR CONSTRUCTN","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,CPSC,210, ,OVERALL,"SFTWR CONSTRUCTN"," ",178,76,14.97,99,18,139,14,23,0,2,0,1,1,0,12,14,4,2,4,11,12,13,19,23,26,25
UBC,2018,S,CPSC,213, ,911,"INTRO COMP SYS","Berg, Celina",110,75.65,13.29,99,38,102,6,2,0,0,0,0,0,2,4,6,1,5,8,8,11,5,16,16,16,16
UBC,2018,S,CPSC,213, ,OVERALL,"INTRO COMP SYS"," ",112,75.65,13.29,99,38,102,6,4,0,0,0,0,0,2,4,6,1,5,8,8,11,5,16,16,16,16
UBC,2018,S,CPSC,221, ,911,"BASIC ALG&DATA","Estey, Anthony",210,78.39,11.46,96,34,199,6,1,0,4,0,0,0,1,5,6,2,6,3,14,18,22,32,35,33,34
UBC,2018,S,CPSC,221, ,OVERALL,"BASIC ALG&DATA"," ",211,78.39,11.46,96,34,199,6,2,0,4,0,0,0,1,5,6,2,6,3,14,18,22,32,35,33,34
UBC,2018,S,CPSC,298, ,CP3,"WORK PLACMNT I","",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
