Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,S,ETEC,500, ,66A,"RES METH EDUC","Macfadyen, Leah",20,87.5,5.96,95,76,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,9
UBC,2018,S,ETEC,500, ,66B,"RES METH EDUC","Cho, Sunah",24,89.78,4.56,96,78,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,13
UBC,2018,S,ETEC,500, ,OVERALL,"RES METH EDUC"," ",44,88.78,5.28,96,76,41,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,22
UBC,2018,S,ETEC,530, ,66A,"CONSTR STRAT","Janes, Diane",21,90.55,2.67,95,84,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11
UBC,2018,S,ETEC,530, ,66B,"CONSTR STRAT","Janes, Diane",22,91.6,1.96,94,87,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
UBC,2018,S,ETEC,530, ,OVERALL,"CONSTR STRAT"," ",43,91.08,2.37,95,84,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,28
UBC,2018,S,ETEC,532, ,66A,"TECH ARTS HUM","de Cosson, Alexander",21,92.53,5.82,98,71,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,16
UBC,2018,S,ETEC,532, ,66B,"TECH ARTS HUM","de Cosson, Alexander",20,88.15,5.56,98,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,8
UBC,2018,S,ETEC,532, ,OVERALL,"TECH ARTS HUM"," ",41,90.28,6.03,98,71,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,10,24
UBC,2018,S,ETEC,540, ,66A,"TEXT TECH","Pena Alonso, Ernesto Jose",19,92.06,1.95,95,86,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
UBC,2018,S,ETEC,540, ,66B,"TEXT TECH","Pena Alonso, Ernesto Jose",19,87.25,23.39,97,0,15,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14
UBC,2018,S,ETEC,540, ,OVERALL,"TEXT TECH"," ",38,89.79,16.02,97,0,33,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,31
UBC,2018,S,ETEC,565,M,66A,"SC SUB MAT FIELD","Vogt, David",19,84.21,4.7,93,74,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,8,1
UBC,2018,S,ETEC,565,M,66B,"SC SUB MAT FIELD","Vogt, David",21,83.33,4.37,92,72,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,5,2
UBC,2018,S,ETEC,565, ,OVERALL,"SC SUB MAT FIELD"," ",40,83.75,4.49,93,72,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,19,13,3
UBC,2018,S,ETEC,580, ,OVERALL,"PROBLEMS IN EDUC"," ",6,92.83,2.48,96,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UBC,2018,S,ETEC,580, ,OVERALL,"PROBLEMS IN EDUC"," ",6,92.83,2.48,96,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UBC,2018,S,ETEC,590, ,66A,"GRAD PROJECT","Feng, Francis",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,ETEC,590, ,OVERALL,"GRAD PROJECT"," ",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
