Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,W,CENS,201, ,001,"CONTR & CONFL","Gassner, Florian",57,73.79,17.81,96,5,53,3,0,0,0,1,0,2,0,0,3,3,3,3,2,2,7,6,13,8,6
UBC,2018,W,CENS,201, ,OVERALL,"CONTR & CONFL"," ",57,73.79,17.81,96,5,53,3,0,0,0,1,0,2,0,0,3,3,3,3,2,2,7,6,13,8,6
UBC,2018,W,CENS,202, ,001,"GRT WRKS LIT","Iurascu, Ilinca",45,80.74,13.61,90,0,42,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,8,10,15,4
UBC,2018,W,CENS,202, ,003,"GRT WRKS LIT","Salumets, Thomas",40,79.44,5.92,88,61,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,10,12,10,0
UBC,2018,W,CENS,202, ,004,"GRT WRKS LIT","Hallensleben, Markus",32,74.72,16.51,93,6,31,1,0,0,0,1,0,0,0,0,1,1,1,2,2,3,5,3,4,6,4
UBC,2018,W,CENS,202, ,005,"GRT WRKS LIT","Malakaj, Ervin",34,79.59,12.08,95,25,31,1,2,0,0,0,0,1,0,0,1,0,0,1,0,2,3,4,9,11,1
UBC,2018,W,CENS,202, ,OVERALL,"GRT WRKS LIT"," ",151,78.82,12.54,95,0,143,3,4,0,0,2,0,1,0,0,3,1,1,4,2,7,17,25,35,42,9
UBC,2018,W,CENS,303,A,99A,"REPRESENTNS HOLO","Nowak, Anja",42,79.87,9.62,92,59,39,0,0,0,1,0,0,0,0,0,0,0,1,2,3,2,3,4,11,6,7
UBC,2018,W,CENS,303,A,99C,"REPRESENTNS HOLO","Karwowska, Bozena",42,81.18,8.14,93,53,39,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,3,4,9,15,3
UBC,2018,W,CENS,303, ,OVERALL,"REPRESENTNS HOLO"," ",169,78.6,8.36,93,51,161,0,1,0,1,0,0,0,0,0,0,2,3,4,9,10,18,30,44,30,11
UBC,2018,W,CENS,303,B,001,"REPRESENTNS HOLO","Switzer, Anna Maria",43,78.45,4.99,86,58,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,15,16,3,0
UBC,2018,W,CENS,303,B,99B,"REPRESENTNS HOLO","Karwowska, Bozena",42,75.07,9.06,90,51,41,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,7,8,6,1
UBC,2018,W,CENS,303, ,OVERALL,"REPRESENTNS HOLO"," ",169,78.6,8.36,93,51,161,0,1,0,1,0,0,0,0,0,0,2,3,4,9,10,18,30,44,30,11
UBC,2018,W,CENS,307, ,001,"WTCHES MYTH RLTY","Frackman, Kyle",64,83,8.42,94,59,62,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,3,1,12,26,10
UBC,2018,W,CENS,307, ,OVERALL,"WTCHES MYTH RLTY"," ",64,83,8.42,94,59,62,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,3,1,12,26,10
