Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,W,CHBE,201, ,101,"TECHNICAL COMM","Qi, Hongxing Estella;Schoen, Michael",36,73.11,4.77,83,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,5,6,0,0
UBC,2018,W,CHBE,201, ,102,"TECHNICAL COMM","Qi, Hongxing Estella;Schoen, Michael",39,71.1,8.1,88,47,37,2,0,0,0,0,0,0,0,2,2,0,0,1,6,11,7,6,5,1,0
UBC,2018,W,CHBE,201, ,104,"TECHNICAL COMM","Qi, Hongxing Estella;Schoen, Michael",40,72.67,10.91,91,40,35,4,1,0,0,0,0,0,0,4,4,0,0,0,1,7,10,8,5,3,1
UBC,2018,W,CHBE,201, ,OVERALL,"TECHNICAL COMM"," ",115,72.27,8.36,91,40,108,6,1,0,0,0,0,0,0,6,6,0,0,1,9,31,27,19,16,4,1
UBC,2018,W,CHBE,230, ,201,"COMP METHODS","Wachs, Anthony",128,63.67,16.25,100,18,105,17,1,0,5,0,1,0,5,11,17,18,20,15,8,10,9,4,3,7,11
UBC,2018,W,CHBE,230, ,OVERALL,"COMP METHODS"," ",129,63.67,16.25,100,18,105,17,2,0,5,0,1,0,5,11,17,18,20,15,8,10,9,4,3,7,11
UBC,2018,W,CHBE,241, ,101,"MASS&ENRGY BALNC","Verrett, Jonathan",179,72.08,14.25,100,30,171,6,1,0,1,0,0,0,3,3,6,12,13,15,21,29,16,15,16,12,22
UBC,2018,W,CHBE,241, ,OVERALL,"MASS&ENRGY BALNC"," ",180,72.08,14.25,100,30,171,6,2,0,1,0,0,0,3,3,6,12,13,15,21,29,16,15,16,12,22
UBC,2018,W,CHBE,243, ,101,"INT CHEM&BIO ENG","Verrett, Jonathan",117,79.37,7.64,96,45,116,1,0,0,0,0,0,0,0,1,1,0,1,1,5,6,17,25,32,21,8
UBC,2018,W,CHBE,243, ,OVERALL,"INT CHEM&BIO ENG"," ",117,79.37,7.64,96,45,116,1,0,0,0,0,0,0,0,1,1,0,1,1,5,6,17,25,32,21,8
UBC,2018,W,CHBE,244, ,201,"CHEM & BIO THRMO","Hatzikiriakos, Savvas",210,70.2,13.33,100,0,194,9,0,0,7,1,0,0,2,6,9,13,11,24,21,29,26,21,22,13,14
UBC,2018,W,CHBE,244, ,OVERALL,"CHEM & BIO THRMO"," ",210,70.2,13.33,100,0,194,9,0,0,7,1,0,0,2,6,9,13,11,24,21,29,26,21,22,13,14
UBC,2018,W,CHBE,251, ,201,"TRANS PHENMNA I","Martinez, Mark",182,68.49,11.85,96,10,171,7,0,0,4,0,1,1,4,1,7,9,11,20,26,31,34,14,17,6,3
UBC,2018,W,CHBE,251, ,OVERALL,"TRANS PHENMNA I"," ",182,68.49,11.85,96,10,171,7,0,0,4,0,1,1,4,1,7,9,11,20,26,31,34,14,17,6,3
UBC,2018,W,CHBE,262, ,001,"CHEM ENG APP LAB","Sella Kapu, Nuwan Umantha",65,80.51,3.64,87,68,63,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,15,34,8,0
UBC,2018,W,CHBE,262, ,002,"CHEM ENG APP LAB","Sella Kapu, Nuwan Umantha",52,80.43,5.33,93,69,49,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,7,12,17,9,2
UBC,2018,W,CHBE,262, ,OVERALL,"CHEM ENG APP LAB"," ",117,80.47,4.44,93,68,112,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,12,27,51,17,2
UBC,2018,W,CHBE,344, ,101,"UNIT OPER I","Frostad, John",192,73.77,12.76,100,23,185,6,1,0,0,0,0,1,1,4,6,10,11,9,17,17,23,40,24,15,19
UBC,2018,W,CHBE,344, ,OVERALL,"UNIT OPER I"," ",193,73.77,12.76,100,23,185,6,2,0,0,0,0,1,1,4,6,10,11,9,17,17,23,40,24,15,19
UBC,2018,W,CHBE,345, ,201,"UNIT OPERATNS II","Srebnik, Simcha",120,74.54,11.61,98,43,113,3,1,0,3,0,0,0,0,3,3,4,5,10,7,12,19,15,16,15,10
UBC,2018,W,CHBE,345, ,OVERALL,"UNIT OPERATNS II"," ",121,74.54,11.61,98,43,113,3,2,0,3,0,0,0,0,3,3,4,5,10,7,12,19,15,16,15,10
UBC,2018,W,CHBE,346, ,101,"APPL THERMODY II","Hatzikiriakos, Savvas",139,73.41,15.62,100,18,130,6,0,0,3,0,1,0,0,5,6,8,9,16,11,14,12,11,11,12,26
UBC,2018,W,CHBE,346, ,OVERALL,"APPL THERMODY II"," ",139,73.41,15.62,100,18,130,6,0,0,3,0,1,0,0,5,6,8,9,16,11,14,12,11,11,12,26
UBC,2018,W,CHBE,351, ,101,"TRANS PHENMNA II","Trajano, Heather",171,79.59,11.19,100,22,167,2,0,0,2,0,0,1,0,1,2,1,4,7,7,14,19,23,37,25,30
UBC,2018,W,CHBE,351, ,OVERALL,"TRANS PHENMNA II"," ",171,79.59,11.19,100,22,167,2,0,0,2,0,0,1,0,1,2,1,4,7,7,14,19,23,37,25,30
UBC,2018,W,CHBE,355, ,201,"KINET REACT DESG","Yadav, Vikramaditya",127,71.22,10.31,91,13,124,2,0,0,1,0,1,0,1,0,2,4,5,11,16,19,20,27,16,4,2
UBC,2018,W,CHBE,355, ,OVERALL,"KINET REACT DESG"," ",127,71.22,10.31,91,13,124,2,0,0,1,0,1,0,1,0,2,4,5,11,16,19,20,27,16,4,2
UBC,2018,W,CHBE,356, ,201,"PROC DYN&CONTROL","Cao, Yankai",146,74.99,13.09,100,37,139,3,1,0,3,0,0,0,1,2,3,4,14,7,8,18,25,12,18,13,20
UBC,2018,W,CHBE,356, ,OVERALL,"PROC DYN&CONTROL"," ",147,74.99,13.09,100,37,139,3,2,0,3,0,0,0,1,2,3,4,14,7,8,18,25,12,18,13,20
