Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2018,W,FRST,100, ,101,"SUSTAIN FORESTS","Larson, Bruce",250,83.27,12.82,100,0,243,4,0,0,1,1,1,0,0,2,4,3,5,3,9,8,18,18,48,46,85
UBC,2018,W,FRST,100, ,OVERALL,"SUSTAIN FORESTS"," ",250,83.27,12.82,100,0,243,4,0,0,1,1,1,0,0,2,4,3,5,3,9,8,18,18,48,46,85
UBC,2018,W,FRST,101, ,101,"FRST MICROECON","Gulati, Sumeet",28,83.86,10.64,100,56,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,7,5,8
UBC,2018,W,FRST,101, ,OVERALL,"FRST MICROECON"," ",28,83.86,10.64,100,56,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,7,5,8
UBC,2018,W,FRST,110, ,101,"LAND ONE","Tomaselli Crespo, Maria",28,84.86,6.04,95,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,5,7
UBC,2018,W,FRST,110, ,OVERALL,"LAND ONE"," ",28,84.86,6.04,95,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,5,7
UBC,2018,W,FRST,150, ,201,"FRST SCHOL WRIT","Roberts, Duff",21,74.62,6.02,85,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,2,2,0
UBC,2018,W,FRST,150, ,OVERALL,"FRST SCHOL WRIT"," ",21,74.62,6.02,85,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,2,2,0
UBC,2018,W,FRST,200, ,001,"FOR PLANT BIO I","Guy, Robert;McKown, Athena",174,72.66,11.74,94,22,165,6,3,0,0,0,0,1,0,5,6,6,11,16,8,20,26,21,31,18,8
UBC,2018,W,FRST,200, ,OVERALL,"FOR PLANT BIO I"," ",177,72.66,11.74,94,22,165,6,6,0,0,0,0,1,0,5,6,6,11,16,8,20,26,21,31,18,8
UBC,2018,W,FRST,201, ,001,"FOREST ECOLOGY","Simard, Suzanne",170,76.22,10.84,97,53,167,0,3,0,0,0,0,0,0,0,0,1,9,16,14,20,21,15,27,23,21
UBC,2018,W,FRST,201, ,OVERALL,"FOREST ECOLOGY"," ",173,76.22,10.84,97,53,167,0,6,0,0,0,0,0,0,0,0,1,9,16,14,20,21,15,27,23,21
