Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2021,W,EESC,101,,001,Environmental Science,Robert Friberg,259,77.4,79.0,71.5,87.0,99.0,17.0,14,2,8,6,14,21,30,39,36,43,46
UBCO,2021,W,EESC,101,,101,Environmental Science,Robert Friberg,285,74.7,76.0,69.0,84.0,97.0,16.0,8,7,18,12,15,33,41,42,46,41,22
UBCO,2021,W,EESC,104,,001,Four Billion Years and Counting,Robert Young,44,72.3,76.5,67.0,80.0,88.0,50.0,,,,,,,,10,9,,
UBCO,2021,W,EESC,104,,101,Four Billion Years and Counting,Robert Young,57,70.3,72.0,61.0,76.0,93.0,44.0,,,,,,9,8,9,,,6
UBCO,2021,W,EESC,106,,001,The Catastrophic Earth,Stephanie Hunter,75,75.2,75.0,67.0,84.5,95.0,55.0,,,,,11,7,14,7,7,14,
UBCO,2021,W,EESC,106,,101,The Catastrophic Earth,Stephanie Hunter,107,76.0,79.0,70.5,83.5,94.0,10.0,,,6,,7,11,6,19,26,13,11
UBCO,2021,W,EESC,111,,001,Earth Science,Karla Panchuk,141,77.0,79.0,69.0,87.0,99.0,15.0,6,,,,10,15,11,16,18,24,28
UBCO,2021,W,EESC,111,,101,Earth Science,Karla Panchuk,77,71.1,71.0,62.0,79.0,95.0,18.0,,,7,10,9,12,9,7,,9,
UBCO,2021,W,EESC,121,,001,Earth History,Robert Young,42,75.4,76.0,69.3,83.0,91.0,30.0,,,,,,7,,,11,,
UBCO,2021,W,EESC,200,,001,Mineralogy,Yuan Chen,21,75.6,76.0,67.0,84.0,94.0,60.0,,,,,,,,,,,
UBCO,2021,W,EESC,201,,001,Optical Mineralogy and Petrology,John Greenough,9,71.9,85.0,60.0,90.0,95.0,11.0,,,,,,,,,,,
UBCO,2021,W,EESC,205,,001,Introduction to Hydrology,David Scott,39,68.6,68.0,60.5,80.0,92.0,7.0,,,6,,,,,,10,,
