Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2022,W,MANF,230,,101,Manufacturing Engineering Laboratory,Hassan Iqbal,13,63.3,66.0,60.0,77.0,82.0,27.0,2,0,1,2,2,1,0,4,1,0,0
UBCO,2022,W,MANF,270,,201,Production Systems Management I,Abbas Hosseini,12,70.8,70.0,62.5,76.8,94.0,52.0,0,1,1,2,0,3,1,2,0,1,1
UBCO,2022,W,MANF,330,,001,Manufacturing Engineering Project I,Hassan Iqbal,12,85.8,86.0,83.0,90.3,96.0,72.0,0,0,0,0,0,0,1,1,2,4,4
UBCO,2022,W,MANF,368,,001,Engineering Measurements and Instrumentation,Dima Kilani,11,78.6,79.0,72.5,86.0,91.0,66.0,0,0,0,0,2,1,2,1,2,1,2
UBCO,2022,W,MANF,370,,101,Production Systems Management II,Babak Mohamadpour Tosarkani,10,78.0,76.5,75.3,84.8,92.0,56.0,0,0,1,0,0,1,1,3,1,1,2
UBCO,2022,W,MANF,386,,001,Industrial Automation,Dean Richert,53,72.6,74.0,66.0,80.0,97.0,20.0,2,0,5,1,7,6,6,9,8,6,3
UBCO,2022,W,MANF,450,,001,Life Cycle Analysis and Sustainability,Abul Fazal Arif,53,79.6,81.0,76.0,85.0,93.0,51.0,0,1,1,0,2,1,6,12,16,7,7
UBCO,2022,W,MANF,455,,001,Factory Planning,Dean Richert,6,80.8,81.5,80.3,84.3,87.0,70.0,0,0,0,0,0,1,0,0,3,2,0
UBCO,2022,W,MANF,460,,001,Supply Chain Tactics and Strategies,Babak Mohamadpour Tosarkani,25,79.9,80.0,76.0,86.0,97.0,66.0,0,0,0,0,2,2,2,6,6,3,4
UBCO,2022,W,MANF,470,,001,Production Systems Management III,Hassan Iqbal,11,78.2,80.0,74.5,84.0,86.0,63.0,0,0,0,1,0,0,2,2,3,3,0
UBCO,2022,W,MANF,475,,001,Welding and Joining: Processes and Metallurgy,Michael Benoit,22,81.4,81.0,77.0,86.0,91.0,69.0,0,0,0,0,0,2,3,1,9,5,2
UBCO,2022,W,MANF,486,,001,Mechatronic Systems Laboratory,Dean Richert,37,84.9,85.0,82.0,90.0,94.0,68.0,0,0,0,0,0,1,2,3,8,11,12
UBCO,2022,W,MANF,555,,001,Factory Planning,Dean Richert,18,88.1,87.0,86.0,90.8,97.0,76.0,0,0,0,0,0,0,0,1,1,9,7
UBCO,2022,W,MANF,560,,001,Supply Chain Tactics and Strategies,Babak Mohamadpour Tosarkani,19,84.1,83.0,81.0,87.5,94.0,75.0,0,0,0,0,0,0,1,3,6,6,3
