Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2023,W,BIOC,211,,001,Chemical and Biochemical Analysis,Susan Murch,7,69.3,80.0,66.3,92.3,98.0,0.0,1,0,0,1,0,0,0,1,1,0,2
UBCO,2023,W,BIOC,304,,001,Molecular Biochemistry I,Jose Sapien Fernandez,123,87.4,89.0,83.0,93.0,100.0,67.0,0,0,0,0,1,2,8,6,23,23,60
UBCO,2023,W,BIOC,305,,101,Molecular Biochemistry II,Richard Plunkett,95,80.1,81.0,75.0,86.0,97.0,54.0,0,1,0,1,9,7,8,14,21,18,14
UBCO,2023,W,BIOC,308,,001,Pharmacology I,Andis Klegeris,63,65.3,64.0,55.0,75.0,98.0,41.0,6,7,8,6,7,8,4,3,4,3,3
UBCO,2023,W,BIOC,309,,101,Pharmacology II,Sanjoy Ghosh,45,69.9,70.0,64.0,76.0,85.0,56.0,0,0,3,8,10,6,5,8,4,1,0
UBCO,2023,W,BIOC,310,,001,Plant Chemistry,Thu Thuy Dang;Duy Dinh do Pham,16,82.3,84.0,79.0,87.5,91.0,65.0,0,0,0,0,1,0,1,3,4,4,2
UBCO,2023,W,BIOC,393,,101,Biochemistry Laboratory,Brendan D'Souza;Richard Plunkett,81,85.3,88.0,83.0,93.0,100.0,33.0,4,1,0,1,0,1,5,1,10,21,36
UBCO,2023,W,BIOC,402,,001,Proteins: Structure and Function,Xia Li,80,79.6,81.5,74.0,88.0,100.0,54.0,0,1,1,5,7,3,5,12,13,22,11
UBCO,2023,W,BIOC,403,,101,Enzymology,Kirsten Wolthers,25,63.8,67.0,51.0,81.0,95.0,7.0,4,5,1,2,1,0,2,3,3,3,1
UBCO,2023,W,BIOC,405,,001,Lipids and Biomembranes,Sanjoy Ghosh,26,70.9,77.0,60.0,82.0,88.0,41.0,3,1,1,4,0,1,2,3,6,4,0
UBCO,2023,W,BIOC,407,,101,The Biochemical Basis of Disease,Andis Klegeris,60,74.4,76.0,66.0,82.5,94.0,45.0,1,2,3,4,7,3,9,3,16,8,3
UBCO,2023,W,BIOC,410,,001,Nucleic Acids - Structure and Function,Xia Li,57,82.2,84.5,76.0,90.3,99.0,37.0,1,0,1,1,2,5,2,6,10,11,17
UBCO,2023,W,BIOC,412,,001,Methods in Metabolomics,Susan Murch,6,90.2,91.5,89.3,93.0,93.0,83.0,0,0,0,0,0,0,0,0,1,1,4
UBCO,2023,W,BIOC,425,,001,Biocatalysis,Kirsten Wolthers,23,80.0,81.5,74.5,87.5,97.0,61.0,0,0,0,3,0,1,2,4,5,2,5
UBCO,2023,W,BIOC,494,,001,Biotechnology Laboratory I: DNA Manipulation,Brendan D'Souza,48,81.0,83.0,75.5,87.3,97.0,55.0,0,0,1,1,4,2,4,4,9,12,11
UBCO,2023,W,BIOC,495,,101,Biotechnology Laboratory II: Gene Expression,Soheil Mahmoud,35,87.5,91.0,83.0,93.0,96.0,70.0,0,0,0,0,0,1,1,3,6,5,19
UBCO,2023,W,BIOC,530,,001,Biochemistry Seminar,Ken Savage,6,90.5,92.0,91.0,93.0,95.0,80.0,0,0,0,0,0,0,0,0,1,0,5
