Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2024,W,CRWR,150,,001,Introduction to Writing Poetry and Non-Fiction,Brianna Ferguson,89,79.8,82.0,76.0,87.0,95,0,2,0,2,1,1,4,12,14,20,24,9
UBCO,2024,W,CRWR,150,,002,Introduction to Writing Poetry and Non-Fiction,Brianna Ferguson,80,78.9,81.0,75.75,86.0,94,26,2,1,2,1,1,6,7,15,22,12,11
UBCO,2024,W,CRWR,160,,001,Introduction to Writing Fiction and Drama,Umar Turaki,87,80.2,83.0,77.0,88.0,96,28,2,1,2,4,4,2,6,10,15,26,15
UBCO,2024,W,CRWR,160,,002,Introduction to Writing Fiction and Drama,Adam Schroeder,69,79.6,85.0,76.0,89.0,96,0,2,4,0,2,1,5,3,4,13,18,17
UBCO,2024,W,CRWR,160,,101,Introduction to Writing Fiction and Drama,Umar Turaki,80,82.6,86.0,81.0,90.0,98,10,2,3,1,0,0,1,2,8,10,30,23
UBCO,2024,W,CRWR,216,,001,Intermediate Workshop in Creative Writing: Poetry,Michael Smith,23,82.5,83.0,77.5,88.0,92,69,0,0,0,0,0,2,3,2,6,6,4
UBCO,2024,W,CRWR,217,,001,Intermediate Workshop in Creative Writing: Fiction,Joanna Cockerline,14,83.5,88.5,81.0,91.0,94,53,0,1,1,0,0,0,0,0,3,3,6
UBCO,2024,W,CRWR,219,,101,Intermediate Workshop in Creative Writing: Non-Fiction,Kevin Chong,24,79.3,84.5,74.25,89.75,94,21,1,0,2,0,0,1,4,1,3,6,6
UBCO,2024,W,CRWR,250,,001,Workshop in Creative Writing: Screenwriting,Michael Smith,29,78.7,81.0,74.0,88.0,95,52,0,1,1,2,1,2,4,3,5,4,6
UBCO,2024,W,CRWR,260,,001,Theory and Practice of Creative Writing,Matthew Lee Rader,24,85.0,87.5,80.75,91.0,97,65,0,0,0,0,1,2,0,2,4,7,8
UBCO,2024,W,CRWR,310,,001,The Power of Metaphor,Umar Turaki,47,82.1,81.0,78.0,87.0,98,64,0,0,0,0,1,2,2,11,17,6,8
UBCO,2024,W,CRWR,380,,001,Writing of the Short Story,Umar Turaki,15,87.3,91.0,85.5,93.0,96,59,0,0,1,0,0,0,0,1,1,3,9
UBCO,2024,W,CRWR,381,A,001,Writing of Poetry,Margo Tamez,15,99.2,100.0,100.0,100.0,100,92,0,0,0,0,0,0,0,0,0,0,15
UBCO,2024,W,CRWR,384,,101,Spoken Word,Cole Mash,14,88.7,95.5,88.25,100.0,100,10,1,0,0,0,0,0,0,0,0,4,9
UBCO,2024,W,CRWR,385,,101,Writing for Children,Tom Leveen,14,93.4,96.0,95.25,97.0,97,75,0,0,0,0,0,0,1,0,1,1,11
UBCO,2024,W,CRWR,470,A,001,Portfolio,Adam Schroeder,11,93.6,95.0,91.5,97.5,99,85,0,0,0,0,0,0,0,0,0,2,9
UBCO,2024,W,CRWR,472,,101,Editing and Publishing,Michael Smith,15,89.5,90.0,88.0,92.0,93,83,0,0,0,0,0,0,0,0,1,6,8
UBCO,2024,W,CRWR,473,,001,Writing and Community Learning,Umar Turaki,14,85.6,88.5,80.5,91.75,95,70,0,0,0,0,0,2,0,1,2,2,7
UBCO,2024,W,CRWR,474,,001,Writing with Media,Michael Smith,16,85.2,87.5,80.75,90.0,91,77,0,0,0,0,0,0,0,3,4,4,5
UBCO,2024,W,CRWR,475,,001,Preparing for a Career as a Writer,Umar Turaki,13,93.5,94.0,92.0,96.0,97,88,0,0,0,0,0,0,0,0,0,2,11
UBCO,2024,W,CRWR,581,A,001,Graduate Workshop in Creative Writing - Lyric,Matthew Lee Rader,8,93.5,92.5,92.0,94.75,97,91,0,0,0,0,0,0,0,0,0,0,8
