Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2025,W,HINT,110,,001,Applied Research in Health,Alex Lukey,243,87.9,89.0,85.0,92.0,98,33,120,74,10,30,1,3,1,1,0,1,2
UBCO,2025,W,HINT,231,,001,Pathophysiology for Health Sciences,Zoë Soon,99,88.8,90.0,85.0,93.0,99,61,50,28,5,14,1,0,1,0,0,0,0
UBCO,2025,W,HINT,231,,002,Pathophysiology for Health Sciences,Zoë Soon,81,83.6,83.0,81.0,87.0,100,50,16,16,10,35,1,0,1,0,1,1,0
UBCO,2025,W,HINT,320,,001,Global Health,Nicole de Bosch Kemper,79,85.4,88.0,83.0,91.0,98,40,30,25,3,10,5,1,0,0,1,3,1
UBCO,2025,W,HINT,320,,002,Global Health,Amielya Keast,66,89.7,90.0,88.0,92.75,96,76,36,25,2,3,0,0,0,0,0,0,0
UBCO,2025,W,HINT,320,,003,Global Health,Rodrigo Curty Pereira,66,88.2,89.0,84.0,95.0,100,28,30,18,2,13,2,0,0,0,0,0,1
UBCO,2025,W,HINT,320,,004,Global Health,Lisa Coate,74,89.6,91.0,89.0,93.0,98,0,52,18,2,1,0,0,0,0,0,0,1
UBCO,2025,W,HINT,320,,005,Global Health,Lisa Coate,41,86.4,88.0,85.0,90.0,93,68,11,23,4,2,0,0,0,0,0,1,0
UBCO,2025,W,HINT,331,,001,Nutrition for Health Sciences,Katherine Gaudreau-Provost,49,87.5,90.0,85.0,92.0,97,68,26,11,2,6,2,0,0,0,0,2,0
UBCO,2025,W,HINT,331,,002,Nutrition for Health Sciences,Katherine Gaudreau-Provost,42,89.8,94.0,89.0,95.75,98,29,30,6,1,2,0,0,0,0,0,2,1
UBCO,2025,W,HINT,429,,001,Advanced Global Health,Shahin Kassam,26,87.9,88.0,84.25,91.0,96,78,11,8,1,6,0,0,0,0,0,0,0
