Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2025,W,MGMT,100,,001,Introduction to Business,Grace Fan,102,70.6,71.0,65.0,76.0,89,45,2,2,5,11,17,19,18,10,12,6,0
UBCO,2025,W,MGMT,100,,002,Introduction to Business,Grace Fan,106,68.9,71.0,64.0,75.75,86,5,3,3,5,13,12,22,21,14,12,1,0
UBCO,2025,W,MGMT,100,,003,Introduction to Business,Grace Fan,109,69.4,70.0,66.0,75.0,87,36,4,3,4,8,19,26,19,13,11,2,0
UBCO,2025,W,MGMT,100,,101,Introduction to Business,Tamara Ebl,109,71.7,74.0,63.0,85.0,100,0,4,9,12,3,8,6,13,12,14,13,15
UBCO,2025,W,MGMT,110,,001,Introduction to Management Thought and Social Responsibility,Mike Chiasson,103,66.6,69.0,57.5,77.0,96,0,9,8,12,6,12,14,10,10,10,7,5
UBCO,2025,W,MGMT,110,,102,Introduction to Management Thought and Social Responsibility,Matt Husain,94,78.9,80.5,76.0,84.0,90,21,1,2,0,2,1,4,12,12,42,15,3
UBCO,2025,W,MGMT,110,,103,Introduction to Management Thought and Social Responsibility,Roger Sugden,74,69.1,71.0,64.0,77.75,93,6,5,3,4,6,7,13,7,15,11,2,1
UBCO,2025,W,MGMT,110,,104,Introduction to Management Thought and Social Responsibility,Matt Husain,98,77.1,78.0,75.0,80.0,90,5,2,0,0,1,1,6,16,24,39,8,1
UBCO,2025,W,MGMT,201,,001,Introduction to Financial Accounting,Sheila Westwell,90,71.4,69.5,61.25,82.25,99,36,1,6,7,12,13,11,9,7,9,6,9
UBCO,2025,W,MGMT,201,,002,Introduction to Financial Accounting,Sheila Westwell,87,70.6,69.0,62.5,78.5,99,50,0,5,10,14,9,11,10,7,8,8,5
UBCO,2025,W,MGMT,202,,101,Introduction to Managerial Accounting,Tamara Ebl,81,67.7,66.0,56.0,80.0,100,41,7,7,16,8,3,6,4,8,8,7,7
UBCO,2025,W,MGMT,202,,102,Introduction to Managerial Accounting,Tamara Ebl,85,71.3,69.0,62.0,80.0,100,43,1,10,5,6,13,9,6,9,9,7,10
UBCO,2025,W,MGMT,220,,101,Introduction to Marketing,Asfiya Taji,80,71.9,72.0,67.0,76.0,87,53,0,1,1,5,15,15,18,13,10,2,0
UBCO,2025,W,MGMT,220,,102,Introduction to Marketing,Nathan Beloud,89,75.4,75.0,67.0,82.0,98,52,0,2,4,3,15,10,11,12,14,10,8
UBCO,2025,W,MGMT,230,,001,Introduction to Organizational Behaviour,David Walker,87,80.7,81.0,77.5,84.5,95,43,1,0,0,1,0,3,7,16,37,17,5
UBCO,2025,W,MGMT,230,,002,Introduction to Organizational Behaviour,David Walker,70,76.0,79.0,75.0,82.0,91,32,5,0,0,2,2,2,9,19,21,9,1
UBCO,2025,W,MGMT,230,,101,Introduction to Organizational Behaviour,Nathan Beloud,98,74.1,75.0,66.25,86.0,97,15,4,3,4,9,7,15,8,8,10,14,16
UBCO,2025,W,MGMT,230,,102,Introduction to Organizational Behaviour,Nathan Beloud,94,74.3,76.0,66.25,85.0,98,0,3,3,5,10,6,7,12,9,11,13,15
UBCO,2025,W,MGMT,240,,001,Introduction to Management Communications,Joanna Cockerline,83,72.6,73.0,70.0,76.0,85,43,1,1,0,3,6,20,28,13,10,1,0
UBCO,2025,W,MGMT,240,,002,Introduction to Management Communications,Joanna Cockerline,83,70.4,71.0,67.5,74.0,85,38,1,3,1,6,10,23,21,8,9,1,0
UBCO,2025,W,MGMT,250,,101,Introduction to Information Technology Management,Barb Marcolin,79,74.3,74.0,70.0,78.0,90,55,0,0,1,4,9,11,23,14,8,8,1
UBCO,2025,W,MGMT,250,,102,Introduction to Information Technology Management,Barb Marcolin,89,75.0,75.0,70.0,79.0,91,58,0,0,1,2,6,18,20,20,12,8,2
UBCO,2025,W,MGMT,300,,001,Intermediate Financial Accounting I,Sheila Westwell,54,73.5,74.0,63.0,81.75,99,50,0,3,3,9,6,3,5,7,6,6,6
UBCO,2025,W,MGMT,304,,001,Intermediate Financial Accounting II,Sheila Westwell,38,76.3,77.5,65.0,88.75,100,54,0,1,3,4,6,0,2,7,3,3,9
UBCO,2025,W,MGMT,310,,001,Introduction to Finance,Jana Martin,86,76.2,76.5,67.0,87.0,98,42,3,2,5,7,6,6,13,6,9,10,19
UBCO,2025,W,MGMT,310,,002,Introduction to Finance,Jana Martin,79,67.3,66.0,57.0,78.0,96,31,6,10,9,11,8,5,6,5,5,6,8
UBCO,2025,W,MGMT,310,,101,Introduction to Finance,Jana Martin,90,74.5,76.0,64.0,88.75,97,0,8,4,4,4,6,11,6,6,10,10,21
UBCO,2025,W,MGMT,310,,102,Introduction to Finance,Jana Martin,30,71.9,75.0,59.0,84.5,95,42,3,4,1,0,3,3,1,2,5,4,4
UBCO,2025,W,MGMT,319,B,001,AI FOR BUS. APPS,Ying Zhu,59,75.1,76.0,72.0,80.0,90,36,1,0,1,3,5,4,13,14,11,5,2
UBCO,2025,W,MGMT,329,D,001,DATA ANALYTICS,Amin Ahmadi Digehsara,36,79.5,80.0,72.75,87.75,98,36,1,0,1,1,3,2,3,5,7,4,9
UBCO,2025,W,MGMT,355,,001,Operations Management,Amin Ahmadi Digehsara,67,76.7,78.0,63.5,88.5,100,45,1,1,3,12,4,2,7,5,8,10,14
UBCO,2025,W,MGMT,355,,002,Operations Management,Amin Ahmadi Digehsara,82,78.5,78.0,71.0,87.0,100,49,1,0,1,5,7,10,9,11,14,8,16
UBCO,2025,W,MGMT,355,,101,Operations Management,Niloofar Akbarian-Saravi,87,78.0,80.0,71.0,89.5,100,0,2,3,3,1,6,9,8,10,17,6,22
UBCO,2025,W,MGMT,355,,102,Operations Management,Niloofar Akbarian-Saravi,26,78.2,76.0,71.0,87.5,96,58,0,0,2,0,1,5,4,3,3,4,4
UBCO,2025,W,MGMT,380,,101,Sustainability and Business,Adam Saifer,144,76.2,77.5,72.0,80.25,95,45,1,1,2,8,8,14,21,38,34,8,9
UBCO,2025,W,MGMT,401,,001,Intermediate Managerial Accounting,Tamara Ebl,37,71.9,76.0,64.0,85.0,100,14,3,2,1,2,3,1,5,4,6,4,6
UBCO,2025,W,MGMT,402,,001,Introduction to Income Taxes in Canada,Sandy Hilton,44,78.0,81.5,70.75,89.5,100,12,2,1,3,2,2,3,1,5,6,8,11
UBCO,2025,W,MGMT,403,,001,Auditing and Assurance Services,Sheila Westwell,32,77.8,79.5,75.0,82.75,93,55,0,0,1,2,1,2,3,7,8,6,2
UBCO,2025,W,MGMT,404,,101,Advanced Financial Accounting,Sheila Westwell,24,79.2,80.0,71.0,90.0,93,50,0,1,0,0,3,2,3,3,3,2,7
UBCO,2025,W,MGMT,405,,101,Advanced Managerial Accounting,Tamara Ebl,28,84.6,86.0,80.0,88.5,99,64,0,0,0,0,1,1,0,4,5,10,7
UBCO,2025,W,MGMT,410,,002,Leadership in Complex Environments,Roger Sugden,36,75.3,74.0,71.0,80.0,90,63,0,0,0,1,2,7,12,4,5,4,1
UBCO,2025,W,MGMT,411,,001,Human Resources Management,David Walker,49,75.9,77.0,71.0,81.0,89,58,0,0,1,1,4,11,4,10,12,6,0
