Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2025,W,NRSG,101,,001,Nursing Lab Practice I,Michelle Scranton; Amielya Keast,49,85.1,86.0,82.0,89.0,95,70,10,16,2,18,2,0,0,0,0,1,0
UBCO,2025,W,NRSG,101,,002,Nursing Lab Practice I,Michelle Scranton; Amielya Keast,50,87.2,88.0,84.0,91.0,94,75,20,15,1,13,1,0,0,0,0,0,0
UBCO,2025,W,NRSG,101,,003,Nursing Lab Practice I,Michelle Scranton; Amielya Keast,50,86.7,88.0,83.25,90.75,93,74,19,16,4,9,2,0,0,0,0,0,0
UBCO,2025,W,NRSG,101,,004,Nursing Lab Practice I,Michelle Scranton; Amielya Keast,49,85.6,85.0,83.0,90.0,98,66,15,16,1,12,3,0,0,1,0,1,0
UBCO,2025,W,NRSG,111,,001,Foundations of Health,Sandra Christine Balfour,97,84.3,85.0,82.0,89.0,95,39,21,34,6,27,6,0,0,1,0,1,1
UBCO,2025,W,NRSG,111,,002,Foundations of Health,Sandra Christine Balfour,99,85.2,86.0,81.0,90.0,95,68,27,34,13,20,2,0,0,0,0,3,0
UBCO,2025,W,NRSG,115,,001,Introduction to the Profession of Nursing,Nicole de Bosch Kemper,98,85.9,87.0,82.0,91.0,97,64,33,35,12,10,4,0,0,2,0,2,0
UBCO,2025,W,NRSG,115,,002,Introduction to the Profession of Nursing,Sarah Camacho,98,85.2,86.0,80.25,92.0,99,46,31,25,15,19,3,0,1,2,0,1,1
UBCO,2025,W,NRSG,120,,001,Introduction to Nursing Research,Kara Malcolm,108,88.0,90.0,85.0,92.0,97,35,56,30,3,16,1,0,0,0,0,1,1
UBCO,2025,W,NRSG,120,,002,Introduction to Nursing Research,Kara Malcolm,94,86.4,87.0,83.25,90.0,95,57,30,36,6,18,1,0,0,1,0,1,1
UBCO,2025,W,NRSG,125,,001,Relational Practice I,Natalie Matthews,63,89.9,91.0,87.0,96.0,100,67,37,14,4,5,2,0,0,1,0,0,0
UBCO,2025,W,NRSG,125,,002,Relational Practice I,Maggie Weninger,66,88.1,93.0,84.25,96.75,99,0,44,5,2,6,2,0,1,2,0,3,1
