Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2025,W,SUST,100,,001,"Sustainability: People, Place, and Process",Robert Friberg,43,69.3,72.0,63.0,79.0,92,0,2,1,4,5,1,8,7,5,6,2,2
UBCO,2025,W,SUST,100,,101,"Sustainability: People, Place, and Process",Robert Friberg,118,65.9,69.0,60.0,75.0,94,2,8,7,13,11,16,19,17,14,6,4,3
UBCO,2025,W,SUST,104,,101,Introduction to Environmental Humanities,Greg Garrard,35,64.6,75.0,60.5,83.0,88,0,6,1,1,4,3,2,2,4,5,7,0
UBCO,2025,W,SUST,200,,001,"Application, Practice and Management Approaches",Vikas Menghwani,31,80.2,81.0,74.0,87.0,91,60,0,0,0,1,1,3,5,3,6,7,5
UBCO,2025,W,SUST,201,,001,Introduction to Research in Sustainability and Geography,Catherine Kyle,25,86.2,86.0,84.0,90.0,94,68,0,0,0,0,0,1,0,1,7,9,7
UBCO,2025,W,SUST,204,,001,Creative Communication and Engagement,Denise Kenney,19,84.9,84.0,82.5,88.0,94,76,0,0,0,0,0,0,0,1,9,8,1
UBCO,2025,W,SUST,205,,001,Sustainability Economics,Johannus Janmaat,25,79.4,80.0,73.0,86.0,94,62,0,0,0,2,1,2,3,4,2,6,5
UBCO,2025,W,SUST,300,,101,Achieving Sustainability at the Regional Scale,Vikas Menghwani,32,77.7,80.0,70.5,85.0,95,52,0,1,1,0,5,2,3,2,6,10,2
UBCO,2025,W,SUST,304,,001,Place-based Methods for Interdisciplinary Research,Astrida Neimanis,30,84.0,85.5,81.25,89.0,93,65,0,0,0,0,2,0,1,3,8,9,7
UBCO,2025,W,SUST,400,,001,Capstone Project in Sustainability,Vikas Menghwani,18,92.7,92.5,90.0,98.25,100,78,0,0,0,0,0,0,0,1,0,3,14
