Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,S,ASIA,200,,921,Cultural Foundations of East Asia,Tae Yeon Eom,31,77.5,81.0,70.0,86.0,95.0,41.0,,,,,,,,,,9,
UBCV,2021,S,ASIA,211,,951,"Sex, Sexual Ethics, and Asian Religions",Jessica Main,58,71.0,76.5,69.0,84.8,95.0,2.0,6,,,,,9,8,6,9,10,
UBCV,2021,S,ASIA,250,,921,Introduction to Buddhism,Jeffrey Kotyk,95,82.5,84.0,77.5,89.0,99.0,48.0,,,,,,,,12,21,24,22
UBCV,2021,S,ASIA,300,,951,Writing and Culture in East Asia,Minoru Takano,54,74.5,76.0,68.3,82.8,92.0,47.0,,,,,,,8,,12,7,
UBCV,2021,S,ASIA,304,,951,Survey of South and Southeast Asian Performing Arts,Sai Diwan,35,83.4,85.0,76.5,89.5,96.0,67.0,,,,,,,,,6,9,9
UBCV,2021,S,ASIA,315,,921,Japan from Feudal to Modern State,Elijah Greenstein,52,71.8,74.0,67.8,80.3,89.0,18.0,,,,,,8,7,10,8,6,
UBCV,2021,S,ASIA,320,,951,History of Early China,Clayton Ashton,95,75.1,79.0,71.0,84.0,92.0,0.0,,,,,6,8,11,14,22,16,7
UBCV,2021,S,ASIA,325,,921,Hong Kong Cinema,Dongchen Hou,62,78.0,83.5,70.8,87.0,97.0,15.0,,,,,6,,,,9,19,9
UBCV,2021,S,ASIA,326,,921,Critical Approaches to Manga and Anime,Yuki Ohsawa,64,77.5,77.5,73.0,84.3,92.0,59.0,,,,,,7,11,12,11,15,
UBCV,2021,S,ASIA,326,,951,Critical Approaches to Manga and Anime,Yuki Ohsawa,57,76.1,78.0,71.0,84.0,95.0,11.0,,,,,,6,8,8,15,7,
UBCV,2021,S,ASIA,339,,921,The Construction of South Asian Communities in the Diaspora,Harjot Singh Oberoi,33,87.0,87.0,86.0,89.0,90.0,80.0,,,,,,,,,,29,
UBCV,2021,S,ASIA,345,,921,Chinese Film Classics,Christopher Rea,68,79.9,83.0,74.8,87.0,91.0,54.0,,,,,,,,7,21,16,6
UBCV,2021,S,ASIA,351,,921,Modern Chinese Fiction in Translation,Meng Wu,33,75.0,75.0,70.0,81.0,90.0,55.0,,,,,,6,7,,7,,
UBCV,2021,S,ASIA,354,,921,Introduction to Japanese Cinema,Ayaka Yoshimizu,63,75.3,76.0,68.0,85.0,95.0,32.0,,,,,,10,,12,8,12,
UBCV,2021,S,ASIA,355,,921,History of Chinese Cinema,Christopher Rea,99,76.0,79.0,70.0,86.0,97.0,8.0,,,,6,6,6,13,12,15,21,10
UBCV,2021,S,ASIA,355,,951,History of Chinese Cinema,Meng Wu,45,75.9,77.0,74.0,80.0,85.0,50.0,,,,,,,11,11,15,,
UBCV,2021,S,ASIA,365,,951,Punjabi Cinema,Ranbir Johal,39,83.5,87.0,77.5,90.0,96.0,52.0,,,,,,,,,,13,11
UBCV,2021,S,ASIA,371,,951,Foundations of Chinese Thought,Clayton Ashton,58,77.1,79.5,74.0,84.8,93.0,46.0,,,,,,,8,10,14,12,
UBCV,2021,S,ASIA,375,,921,Global Chinese Cinemas,Dongchen Hou,61,80.1,83.0,77.0,88.0,95.0,18.0,,,,,,,,8,17,11,12
UBCV,2021,S,ASIA,397,,951,The Idea of India,Harjot Singh Oberoi,33,85.7,86.0,85.0,88.0,89.0,79.0,,,,,,,,,7,25,
UBCV,2021,S,ASIA,428,,921,Mughal India,Hasan Zahid Siddiqui,45,76.0,76.0,72.0,80.0,94.0,59.0,,,,,,,10,10,9,,
UBCV,2021,S,ASIA,444,,951,Topics in Modern Japanese Fiction and Cultural History,Shota Iwasaki,53,78.5,81.0,76.0,83.0,92.0,40.0,,,,,,,,10,20,9,
