Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,S,CNPS,362,,922,Basic Interviewing Skills,Rosalynn Lemon,16,91.0,91.0,89.0,92.0,95.0,87.0,,,,,,,,,,,11
UBCV,2021,S,CNPS,362,,923,Basic Interviewing Skills,Shekoofeh Skrenes,15,90.0,91.0,89.0,92.0,94.0,75.0,,,,,,,,,,,10
UBCV,2021,S,CNPS,362,,952,Basic Interviewing Skills,Shekoofeh Skrenes,14,89.6,89.0,89.0,91.0,92.0,88.0,,,,,,,,,,9,
UBCV,2021,S,CNPS,363,,93Q,Career Counselling,Janet Vaughan Marshall,34,84.8,86.0,81.0,88.0,97.0,69.0,,,,,,,,,7,17,
UBCV,2021,S,CNPS,363,,93S,Career Counselling,Janet Vaughan Marshall,31,88.5,89.0,86.0,90.5,97.0,77.0,,,,,,,,,,15,12
UBCV,2021,S,CNPS,363,,93T,Career Counselling,Talino Bruno,23,89.3,90.0,89.0,90.5,93.0,77.0,,,,,,,,,,8,14
UBCV,2021,S,CNPS,364,,93Q,Family Education and Consultation,Erika Horwitz,30,86.5,88.0,82.3,91.8,98.0,59.0,,,,,,,,,,7,13
UBCV,2021,S,CNPS,365,,93Q,Introduction to Theories of Counselling,Mircea Munteanu,31,80.7,82.0,75.0,87.0,96.0,51.0,,,,,,,,,6,7,
UBCV,2021,S,CNPS,365,,93S,Introduction to Theories of Counselling,Mircea Munteanu,29,81.8,82.0,77.0,88.0,95.0,61.0,,,,,,,,,8,,7
UBCV,2021,S,CNPS,427,,93Q,Guidance: Planning and Decision-making,Mircea Munteanu,17,83.4,83.0,80.0,86.0,91.0,75.0,,,,,,,,,,6,
UBCV,2021,S,CNPS,433,,93Q,The Personal and Social Development of the Adult,Janet Vaughan Marshall,35,87.3,88.0,84.5,90.5,96.0,77.0,,,,,,,,,,13,13
UBCV,2021,S,CNPS,532,C,921,Psychological Assessment in Counselling,Bradley Erford,24,92.9,94.5,90.8,96.3,100.0,78.0,,,,,,,,,,,19
UBCV,2021,S,CNPS,545,,951,Family Counselling - Interventions and Research,Tatjana Elez,13,92.1,92.0,91.0,94.0,95.0,89.0,,,,,,,,,,,11
UBCV,2021,S,CNPS,574,,951,Career Planning and Decision-Making Counselling,Roberta Borgen,16,96.3,96.0,96.0,97.0,99.0,93.0,0,0,0,0,0,0,0,0,0,0,16
UBCV,2021,S,CNPS,584,,921,Program Development and Professional Practice in Counselling,Roberta Borgen,16,96.7,97.0,96.0,98.0,99.0,93.0,0,0,0,0,0,0,0,0,0,0,16
UBCV,2021,S,CNPS,594,,941,Cross-Cultural Counselling,Robinder Bedi,7,90.6,90.0,90.0,91.0,98.0,84.0,,,,,,,,,,,6
UBCV,2021,S,CNPS,595,B,921,"Stress, Coping and Adaptation Related to Trauma and Addictions",Marla Buchanan,19,93.2,93.0,93.0,94.0,95.0,91.0,0,0,0,0,0,0,0,0,0,0,19
