Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,ASIA,101,,001,Introduction to Modern Asia,Elijah Greenstein,56,70.1,75.0,66.5,81.3,89.0,0.0,6,,,,,,12,10,10,6,
UBCV,2021,W,ASIA,110,,001,Introduction to Religions in Asia,Jessica Main,100,68.9,76.5,67.0,84.0,95.0,0.0,15,,,,,12,10,14,16,14,9
UBCV,2021,W,ASIA,150,,001,Asian Internets,Bruce Rusk,64,72.2,77.0,69.0,81.0,90.0,0.0,,,,,,7,10,12,16,,
UBCV,2021,W,ASIA,206,,001,Modern Islam,Rumee Ahmed,19,87.0,87.0,87.0,87.0,87.0,87.0,0,0,0,0,0,0,0,0,0,19,0
UBCV,2021,W,ASIA,207,,001,Classical Islam,Rumee Ahmed,19,87.2,87.0,87.0,87.0,90.0,87.0,,,,,,,,,,18,
UBCV,2021,W,ASIA,208,,001,Cultural Foundations of South Asia,Hasan Zahid Siddiqui,23,78.3,81.0,78.0,84.5,88.0,25.0,,,,,,,,,9,6,
UBCV,2021,W,ASIA,210,,002,Traditions of Yoga,Adheesh Sathaye,53,80.6,85.0,71.0,93.0,98.0,5.0,,,,,,,,,6,7,20
UBCV,2021,W,ASIA,211,,001,"Sex, Sexual Ethics, and Asian Religions",Jessica Main,42,69.4,76.5,61.0,84.0,91.0,1.0,6,,,,,,,,9,7,
UBCV,2021,W,ASIA,212,,001,Writing About Japan,Haley Blum,57,72.2,73.0,67.0,80.0,88.0,28.0,,,,,7,9,8,10,10,,
UBCV,2021,W,ASIA,250,,001,Introduction to Buddhism,Jeffrey Kotyk,118,80.4,82.0,77.0,88.0,97.0,20.0,,,,,,9,8,17,32,25,20
UBCV,2021,W,ASIA,254,,001,"Sex, Gender, and Sexuality in Japanese Literature and Film",Ayaka Yoshimizu,77,77.1,80.0,71.0,85.0,93.0,54.0,,,,,8,,8,10,19,15,
UBCV,2021,W,ASIA,254,,002,"Sex, Gender, and Sexuality in Japanese Literature and Film",Ayaka Yoshimizu,76,73.2,76.0,70.0,82.0,94.0,22.0,,,,,6,7,13,10,16,12,
UBCV,2021,W,ASIA,300,,002,Writing and Culture in East Asia,Minoru Takano,43,82.6,85.0,80.5,91.5,98.0,29.0,,,,,,,,,9,6,18
UBCV,2021,W,ASIA,304,,001,Survey of South and Southeast Asian Performing Arts,Sai Diwan,49,83.8,85.0,78.0,90.0,96.0,64.0,,,,,,,,9,10,9,16
UBCV,2021,W,ASIA,305,,001,Asian Horror Cinema: National Nightmares and Specters of Trauma,Jee-Yeon Song,43,70.2,76.0,68.5,80.0,88.0,1.0,,,,,,7,,9,11,,
UBCV,2021,W,ASIA,305,,002,Asian Horror Cinema: National Nightmares and Specters of Trauma,Haley Blum,58,81.4,83.5,79.0,91.0,96.0,11.0,,,,,,,,8,16,9,16
UBCV,2021,W,ASIA,308,,001,"Myth, Ritual and Epic in Ancient India",Adheesh Sathaye,66,82.7,87.0,77.0,91.0,97.0,17.0,,,,,,,,6,,21,21
UBCV,2021,W,ASIA,309,,001,South Asian Beyond South Asia,Harjot Singh Oberoi,37,81.2,82.0,79.0,83.0,86.0,76.0,,,,,,,,10,22,,
UBCV,2021,W,ASIA,311,,001,Tibetan Buddhism,Tsering Shakya,66,77.5,80.5,74.0,85.0,91.0,0.0,,,,,,,,9,17,20,
UBCV,2021,W,ASIA,311,,002,Tibetan Buddhism,Dagmar Schwerk,50,77.3,81.0,76.3,85.0,91.0,2.0,,,,,,,,10,12,13,
UBCV,2021,W,ASIA,313,,001,Tibetan and Himalayan Culture and Society,Tsering Shakya,61,83.7,84.0,80.0,88.0,98.0,60.0,,,,,,,6,6,17,18,11
UBCV,2021,W,ASIA,314,,001,Premodern Japan,Elijah Greenstein,51,71.3,72.0,65.0,78.0,93.0,15.0,,,,8,,,11,9,,,
UBCV,2021,W,ASIA,314,,003,Premodern Japan,Minami Orihara,52,65.7,69.0,60.5,79.0,91.0,0.0,7,,,,6,6,,6,10,,
UBCV,2021,W,ASIA,315,,001,Japan from Feudal to Modern State,Nam-Lin Hur,31,67.9,75.0,69.0,80.5,93.0,0.0,,,,,,,6,6,6,,
UBCV,2021,W,ASIA,315,,003,Japan from Feudal to Modern State,Peter Nosco,22,80.9,81.5,72.0,92.5,97.0,55.0,,,,,,,,,,,7
UBCV,2021,W,ASIA,317,,001,The Rise of Korean Civilization,Jee-Yeon Song,33,69.2,72.0,65.0,77.0,88.0,11.0,,,,,,,6,,,,
UBCV,2021,W,ASIA,319,,002,Contemporary Chinese Popular Cultures,Dongchen Hou,62,80.0,81.0,77.0,85.0,90.0,41.0,,,,,,6,,16,16,16,
UBCV,2021,W,ASIA,319,,003,Contemporary Chinese Popular Cultures,Renren Yang,45,81.3,80.0,76.0,88.0,99.0,50.0,,,,,,,,12,,13,7
UBCV,2021,W,ASIA,320,,001,History of Early China,Zoudan Ma,56,81.7,84.5,77.0,87.0,94.0,41.0,,,,,,,6,,13,19,9
UBCV,2021,W,ASIA,320,,002,History of Early China,Clayton Ashton,59,76.9,78.0,74.0,85.0,93.0,5.0,,,,,,,12,9,13,11,
UBCV,2021,W,ASIA,321,,001,Celebrity Culture in Chinese Societies,Renren Yang,34,78.6,79.0,76.0,89.0,99.0,50.0,,,,,,,,10,,,9
UBCV,2021,W,ASIA,324,,001,Literature of Hong Kong,Helena Wu,30,80.7,83.5,69.3,91.8,98.0,51.0,,,,,,,,,,,10
UBCV,2021,W,ASIA,325,,001,Hong Kong Cinema,Helena Wu,52,81.2,82.0,78.0,87.0,93.0,63.0,,,,,,,,7,17,13,
